marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
audi,A8,5 800 €,3 000 cm³,232 CP,Diesel,Berlina,340 000 km,Albastru,2007,Automata,"De vânzare Audi A8, quattro an fabricație 2007, motorizare 3.0 TDI, cod motor asb, o limuzină de clasă premium, confortabilă și puternică.
Dpf activ.
Mașina este înmatriculată.
Caroserie asf
faruri cu xenon
stopuri led
lumini de zi
follow me home
leave me home
Oglinzi heliomate reglabile electric + rabatabil + lumina sub oglinda care lumineaza noaptea ușile la deschidere
Sistem Audio Bose
Incalzire in luneta
clima pe 2 zone
bluethooth
interior piele
scaune cu reglaje full electrice + 4 memorii
volan reglabil electric in 3 spițe  + comenzi pe volan
suspensie adaptiva pe perne de aer 4 moduri
Jante aliaj originale Audi s8 pe 20 si încă un set de jante de iarnă pe 19 cu cauciucuri
Compresor perne nou, perna stânga față nouă , ulei cutie schimbat, ulei motor, filtre.
ITP,  VALABIL PANA IN 2026
Stare perfecta de funcționare.
Mașina o vând pentru ca nu imi oferă suficient spațiu pentru muncă, schimb doar cu ceva break 4x4. Ex duster, audi a4 break, a6 break."
audi,TT,6 990 €,1 998 cm³,170 CP,Diesel,Coupe,245 000 km,Negru,2009,Manuala,"RARIS AUTO SRL OFERĂ SPRE VÂNZARE
# Audi TT S-Line
^ An 2009
^ Motorizare 2.0 TDI 170CP (CBBB)
^ Cutie manuala 6+1 trepte
^  245.000 km istoric service
^ Import Germania
^ Quattro - 4x4 permanent
GARANTIE MOTOR SI CUTIE
SERIA Truzzz8j091017165
^ Model S-LINE !
# Optiuni :
• Interior piele partial
• Scaune Sport
• Clima
• Incalzire in scaune
• Bi-Xenon / Spalatoare faruri
• ABS+
• ESP
• Sistem monitorizare presiune pneuri
• Volan S reglabil multifunctional
• Linie audio BOSE Surround
• Sistem Navigatie
• Asistenta la franarea de urgenta
• Airbag-uri fata (sofer + pasager), laterale fata
• Senzori ploaie
• Senzori lumini
• Senzori antiorbire
• Aprindere automata faruri de intalnire
• Privacy Glass (geamuri cu tenta fumurie de fabrica)
• Geamuri electrice
• Oglinzi reglabile, incalzite si rabatabile
• Conexiune Bluetooth (car-kit)
• Oglinda retrovizoare interioara electrocroma
• Pilot automat
• Proiectoare ceata
• Follow me home
• Lumini ambientale
• Computer de bord
• Jante aliaj R19
Toate actele se finalizeaza la vanzarea autoturismului!
Stare tehnica si estetica foarte buna!!
~ Mai multe detalii telefonic sau whatsapp 0 *********49
~ PRET - 6990 EURO"
audi,A6,15 399 €,2 000 cm³,190 CP,Diesel,Berlina,N/A,Negru,2016,Automata,"‼️AUDI A6 Ultra - Facelift impecabil‼️
Proprietar in acte!
Masina personala!
Certificat fiscal la momentul vanzarii‼️
^ An fabricatie 2016
^ Motorizare 2.0 TDI 190CP
^ Norma de poluare Euro 6
# Echipare - Exclusive :
• Lumini ambientale - inclusiv trimuri luminate
• Asistenta la franarea de urgenta
• Asistenta camera faza scurta / lunga
• Scaune Sport
• Interior s line
• Faruri Matrix LED
• Lumini de zi LED + stopuri LED
• ESP + Sistem monitorizare presiune pneuri
• Sistem Comfort Keyless
• Volan Sport reglabil multifunctional
• Dublu Climatronic fata / spate
• Linie audio Surround + Tweetere Pilot
• Park Assist (asistenta la parcare)
• Sound Booster - 5 moduri
• Sistem Multimedia
• Sistem NAVIGATIE 3D (include Harta Europei inclusiv Romania detaliata)
• Airbag-uri fata (sofer + pasager), laterale fata si cortina fata /spate
• Aprindere automata faruri de intalnire
• Senzori ploaie
• Senzori lumini
• Senzori parcare
• Senzori antiorbire
• Privacy Glass
• Oglinzi  incalzite
• Conexiune Bluetooth (car-kit)
• Oglinda retrovizoare interioara electrocroma
• Cotiera centrala fata culisanta, reglabila si cu spatiu depozitare
• Follow me home
• Computer de bord multifunctional
• Jante aliaj R17
• 3 chei
Pret: Brut
Culoare: Negru
Norma de poluare: Euro 6"
audi,A4,9 900 €,1 968 cm³,177 CP,Diesel,Break,238 200 km,Alb,2014,Automata,"– AUDI A4 AVANT QUATTRO
– Tractiune 4×4 permanent
– Motorizare 2.0 TDI, 177 CP, Euro 5
– Cutie de viteze automata
– Dublu climatronic
– Senzori de ploaie
– Senzori de lumina
– Senzori de parcare
– Servodirectie
– Navigatie
– Tapiterie din velur
– Faruri automate
– Pachet exterior crom
– Portbagaj electric
– Computer bord
– Pilot automat
– Cotiere fata / spate
– Faruri Bi-Xenon
– Spalatoare de faruri
– Geamuri electrice
– Oglinzi reglabile eletric si incalzite
– Radio CD/DVD/AUX
– Bluetooth
– Proiectoare de ceata
– Isofix
– 2 Chei
Cauciucuri de iarna.
Mașina întreținută, in stare foarte buna."
audi,A6,3 490 €,1 998 cm³,177 CP,Diesel,Berlina,150 000 km,Gri,2011,Manuala,"Vând Audi A6 c7
An fabricație : 2011
Carte intreaga / import UK
Interior piele in stare perfectă
Climatronic / AC Funcțional
Jante aliaj cu cauciucuri bune
Navigație funcțională cu harta RO
Faruri automate
Prezintă o mică lovitură pe aripa dreaptă față
Elemente de caroserie în stare perfectă
Pentru o cerere de piese mai mare se dezmembrează!
Pentru mai multe detalii la telefon
Nu accept nici un fel de schimburi !!!"
audi,TT,8 450 €,1 968 cm³,170 CP,Diesel,Coupe,238 000 km,Albastru,2008,Manuala,"JOY AUTOMOBILE SALISTE
Va punem la dispoziție un sistem avantajos de rate către :
*Persoane fizice angajate pe teritorul României
*Persoane fizice angajate in strainatate;
*Persoane fizice cu venituri din pensie
*Soferi comunitate + diurna
*Indemnizatie creste copil
*Persoane juridice
NOU ! FINANTAM  INCLUSIV PERSOANELE CARE SUNT IN BIROUL DE CREDIT PRIN MOGO IFN!! Important sa fie platita datoria care v-a dus in biroul de credit
#  Credit auto cu aprobare rapida
#  Rate fixe începând de la 180 € / Luna
#  Dobânda fixa începând de la 1% pe luna
#  Documentație minimă
#  Doar cu buletinul
#  Aprobare în 2 ore
#  Fără avans
# Sistem Buy-back ( masina ta poate fi avans)
# Posibilitate Test Drive
# Numere provizorii
# Posibilitate vizionare autoturism apel video
# Transport gratuit in toata tara
# Km certificati / oferim serie VIN
# Punem la dispoziția dumneavoastră documentația în vederea înmatriculării
Audi TT, an fabricație 2008 , motor 1968 Diesel cu 170 de cai
Import Germania
Cutie viteze manula 6+1 trepte
Faruri Xenon + Led
Spălătoare faruri
Scaune sport Alcantara + piele
Volan piele multifuncțional
Eleron de fabrică acționat automat la viteză
Pilot automat
Cotiera fata/spate
Navigație - Cd, MP3
Board computer
Oglinzi reglabile electric și încălzite
ABS, ESP
Air-baguri frontale și laterale
Senzor ploaie
Senzori lumina
Inchidere centralizată
2 chei
Jante originale aliaj R17
Cauciucuri de iarnă"
audi,A4,9 999 €,1 995 cm³,177 CP,Diesel,Break,265 000 km,Alb,2014,Automata,"Vând Audi A4 din 2014 motorizare 2.0 TDI 177 Cp, Pachet S-Line interior exterior din fabrică .
Tracțiune integrală Quattro
Cutie de viteze automată 7+1 S Tronic
Jante aliaj R 18
Faruri Bi-Xenon
Lumini de zi led față și spate
Senzori de parcare
Senzori presiune roți
Senzori ploaie lumină etc
Oglinzi electrice și încălzite
Pilot automat
Dublu climatronic
Încălzire în scaune
Volan sport din piele
MMI nou ,conectivitate audio și media
Interior impecabil din piele plus textil
Mașina este într-o stare tehnic și estetică foarte bună,mai multe detalii la telefon !!"
audi,A4,7 000 €,1 995 cm³,143 CP,Diesel,Break,261 500 km,Negru,2011,Automata,"Audi a4 S-line b8 An 2011 Motor 2.0 143 caga cp full led față spate  varianta 3x-sline
Numere valabile pana in 19 decembrie
Extrase
Bi xenon adaptiv
Led de zi
Navigație
Comenzi volan  cu padale
Pilot automat
Computer de bord
Climatronic
Spălător faruri
Asistență fază lungă
Senzori parcare față/cu afișaj
Senzori parcare spate/cu afișaj
Senzori presiune pneuri
Senzori lumini
Faruri cu cu funcție auto
4×geamuri electrice
Oglinzi electrice +incalzite
Jante lemans R19 Anvelope 100%
Proiectoare ceață
Cotieră față spațiu depozitare
Cotieră spate
Geamuri fumurii
Masina adusă recent in ţară pe roti fara nici un fel de problemă Vopsea originală"
audi,A6,9 900 €,3 000 cm³,245 CP,Diesel,Berlina,260 000 km,N/A,2014,Automata,"Audi A6 3.0 Quatro Interior Confort (Scaune A8)
Clima fata spate( pe 4 zone)
Încălzire în scaune față spate
Senzori de parcare față spate
Key less entry key less go
Sistem audio Bose
Suspensie pe aer
Cârlig electric
Perdeluța laterale și lunetă
Geamuri duble
Pilot automat
Comenzi volan
Moduri de condus
Piele exitnsa pe fețele de uși
Senzori de ploaie si de lumini
Lumini ambientale
Discuri ventilate si aerisite noi cu plăcuțe noi
Anvelope de vară bridgestone 90% profil
Masina merge foarte bine nu are probleme
Filtru de particule activ
Se pot scoate numere roșii pe 3 luni
Se inamtriculeaza în ianuarie deci se va plăti primul impozit în 2027!"
audi,A4,5 800 €,1 996 cm³,140 CP,Diesel,Break,243 436 km,Negru,2010,Manuala,"Audi A4 B8
Anul fabricației 2010
Norma de poluare euro 5
Motor 2.0 diesel
Cutie manuala 6+1
140 cai putere (Cod motor GAGA)
DPF activ
Dotări
Navigație
Climatronic
Computer de bord
Pilot automat
Faruri automate (led)
Oglinzi electrice
4x geamuri electrice
Jante aliaj R 17
Bluetooth
Auxiliar
Senzori ploaie
Senzori de lumini
Proiectoare ceață
Frâna de mâna electrică
Abs,Esp
Keyles entry
Sistem start-stop"
