marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
bmw,Seria 1,5 500 €,2 000 cm³,177 CP,Diesel,Coupe,230 000 km,Albastru,2011,Manuala,"Vând BMW 120D seria 1 Lci din anul 2011 euro 5 de 177 cai . Masina este într-o stare foarte bună motor,cutie cat și estetic (fără butoane șterse,uzura sau rugină ) . Nu are elemente vopsite !!
Mașina adusă personal din Germania în această săptămână .
(Poze făcute direct din Germania )
Dublu climatronic
Faruri Bi-xenon
Stopuri Led
Oglinzi încălzite
Volan cu comenzi
Navigație
Bluetooth
Auxiliar
Usb
6+1 trepte
Start stop
Spălător faruri
Jante R17 All season aproape noi
Plăcuțe față/spate noi
Plus multe altele . Mai multe detalii vă pot oferii la telefon .
Nu s-au scos încă numere roși !"
bmw,X3,9 900 €,1 995 cm³,184 CP,Diesel,SUV,219 km,Negru,2012,Automata,"Carte RAR România efectuată azi 04.11.25 itp 1 an de zile
BMW X3 F25 X-Drive automat, numere roșii valabile 3 luni.
Motorizare: 2.0 diesel 184 CP
An fabricație: 2012 Euro 5
Tracțiune integrală 4x4
Transmisie automată 8+1
Km parcurși: 218.000
Plăcuțe noi + schimbul de ulei + filtru
Import recent Germania
Numere roșii valabile 3 luni
Dotări:
Faruri bi-xenon adaptiv/ spălătoare faruri
Proiectoare ceață
Keyless go/start stop
Auto hold semafor
Dublu climatronic
Scaune încălzite față
Navigație color mare Bluetooth
Volan piele cu comenzi
Pilot automat
Computer bord
4 geamuri electrice
Senzori ploaie automați
Senzori lumini automați
Senzori parcare față-spate
Oglinzi electrice încălzite rabatabile
Moduri de condus sport și normal
Cârlig electric
Jante originale BMW...
Nu mă interesează niciun fel de variante."
bmw,Seria 5,10 000 €,2 000 cm³,N/A,Diesel,Berlina,218 000 km,Negru,2015,Automata,"Vand bmw seria 5 f10 2.0l biTurbo, Motor b47, noua generatie, euro 6
-An 06/2015-218000km
-3 Moduri de conducere:Sport/Comfort/Eco
-Senzori parcare / ploaie - lumina / presiune anvelope
-Oglinzi electrocrom Electric - Interior Asistență faza lungă + / LED Spate - Frână de parcare automată + AutoHold
-Ajutor la parcare (oglinda se culca dupa bordura)
-Semnalizari in oglinzi
-Piele neagra
-GPS europa
-Pilot automat/regulator si limitator de viteza
-Jante pe 17, cauciucuri stare foarte buna
-Cutie 8+1 trepte/consum mic
Etc
Masina personala, merge si arata foarte bine interior-exterior, nu necesita nicio investitie. Pentru mai multe informații, poze si video ma puteti contacta.
PRET FIX !!!"
bmw,Seria 7,9 200 €,2 995 cm³,245 CP,Diesel,Berlina,239 456 km,N/A,2010,Automata,"BMW 730Ld
Cutie automata
Motor 3.0diesel
Distronic
Clima față/spate
Încălzire în scaune față/spate
Collesion assist
Bi-xenon adaptiv
Comenzi volan
Soft-Close usi și portbagaj
Senzori parcare față spate
Interior sport
Senzori ploaie
Faza lungă automată
Bluetooth
Pilot automat
Patru moduri de condus
DPF activ
Motor și cutia de viteze funcționează perfect fără erori
Fără elemente revopsite
Camera pe marșarier
Jante aliaj R 20 vară
Perdelute spate electrice
Oglinzi electrice încălzite și rabatabile
Memorie în scaune
Navigație cu Hdd
Mașina foarte întreținută fără nicio daună
Proprietar în acte ofer fiscal
Nu accept variante
Ofer seria pentru verificări
Preț ușor negociabil"
bmw,Seria 3,7 899 €,2 000 cm³,184 CP,Diesel,Berlina,267 000 km,Albastru,2012,Automata,"# BMW Seria 3 / E90 M packet
^ An fabricatie 03.2012
^ Motorizare 2.0 Diesel 184 CP
^ Cutie automata 6+1 trepte
^ Norma de poluare Euro 5
^ 267.000 km
^ Import Germania
Kit distributie schimbat , Turbina reconditionata la Turbo Serv Bucuresti , clapeti admisie , pompa apa , cot antigel chiuloasa , ulei+filtre , baterie , discuri + placute fata , factura + video si verificare service
# //MPAKET interior / exterior
# Gama de dotari :
• Interior M alcantara
• Scaune Sport
• Faruri cu BiXenon adaptiv
• Lumini de zi (Angel Eyes)
• ABS+ AFU
• ESP + Sistem monitorizare presiune pneuri
• Volan //M reglabil multifunctional
• Dublu Climatronic
• Incalzire in scaune
• Linie audio HiFi Surround
• Sistem NAVIGATIE 3D
• Airbag-uri fata (sofer + pasager), laterale fata si cortina
• Aprindere automata faruri de intalnire
• Senzori ploaie
• Senzori lumini
• Senzori parcare fata / spate
• Privacy Glass
• Geamuri electrice cu mod impuls
• Oglinzi reglabile, incalzite si rabatabile
• Conexiune Bluetooth (car-kit)
• Oglinda retrovizoare interioara electrocroma
• Cotiera centrala fata culisanta, reglabila si cu spatiu depozitare
• Follow me home
• Lumini ambientale
• Computer de bord
• Jante aliaj R17
~ Autoturismul se prezinta in stare excelenta din toate punctele de vedere
~ Mai multe detalii telefonic 07********47
-- PRET - 7999 EURO"
bmw,Seria 5,9 000 €,3 000 cm³,245 CP,Diesel,Berlina,300 100 km,Maro / Bej,2011,Automata,"BMW SERIA 5 F10
An fabricație: 2011
Motorizare: 3.0 Diesel
Transmisie: Automat
Rulaj: 300.100
Dotări:
•Senzori parcare față-spate cu afisaj electronic
•Oglinzi rabatabile electric/heliomate
•Faruri bixenon
•Interior confort (seria 7)
•Încălzire scaune + ventilație
•Scaune față reglabile electric pe multiple moduri
•Memorii scaune
•Dublu climatronic
•Navigație mare
•Volan reglabil electric
•Pilot automat
•Comenzi volan
•AutoHold
•Suspensie adaptiva
•3 moduri de condus (Normal/Sport/Sport+)
•Jante 17r cauciucuri noi
•afișaj limită de viteză
•Senzori ploaie
•Senzori lumina
•Ambientale uși
•Lumini mânare exterioare
Mașina se prezintă în stare foarte bună"
bmw,Seria 5,3 999 €,2 490 cm³,177 CP,Diesel,Berlina,298 000 km,Gri,2005,Manuala,"Auto Rulate Iasi
Parc Auto
Se vinde Bmw seria 5 E60 525D
An fabricatie: 2005
Km: 298.000
Motor: 2.5 diesel 177 cp M57(cel mai fiabil motor)
RATE DOAR CU BULETINUL FATA AVANS
BUY BACK
Dotari:
- clima pe 2 zone
- faruri cu bixenon
- incalzire in scaune
- navigatie mare
- senzori fata spate
- etc
Masina din punct de vedere Mecanic este IMPECABILA
Se accepta orice test
Masina are acte valabile si fiscal pe loc!
Se poate vedea pe Strada Cupidon nr 11 Iasi"
bmw,Seria 6,25 250 €,2 997 cm³,381 CP,Diesel,SUV,143 000 km,Albastru,2017,Automata,"Vand BMW X6 M50D - 381CP - an 2017 - 143000 KM, masina este absolut impecabila. Unic propritar. Accept absolut orice test.
Telefon : 07******10 sau 07******92"
bmw,Seria 3,4 800 €,1 995 cm³,140 CP,Diesel,Break,276 800 km,Negru,2009,Automata,"Vând BMW Seria 3 E91 Touring, motor 2.0 diesel, 143CP, cutie automată, motor N47.
Kilometraj actual: 278.000km
Filtru de particule activ
ABS, DTC
Dotări:
Faruri Bi-Xenon adaptive cu cornering
Proiectoare ceață
Senzori de ploaie
Senzori de lumină
Senzori parcare spate
Aer condiționat automat pe 2 zone
Scaune față încălzite
Geamuri electrice față-spate
Oglinzi acționate electric
Isofix
Pilot automat
Cârlig de remorcare
Navigație CIC iDrive
Bluetooth
Servodirecție
Volan reglabil
2 seturi de jante:
16” de iarna
17” de vara
Prezintă urme de uzură pe carosierie şi în interior specifice vârstei.
Masina se poate vedea in Iaşi, mai multe detalii la telefon."
bmw,Seria 3,9 500 €,1 995 cm³,190 CP,Diesel,Break,254 000 km,Negru,2016,Automata,"— BMW F30 xDrive Facelift –
•BMW F31 xDrive 2.0 diesel, 190cp (B47)
•An fabricație: 10.2015
•Km reali: 254000
•Cutie automată ZF8HP - schimbă impecabil
• Keyless entry/ go
• Portbagaj electric- deschidere / inchidere cu piciorul, cheie sau buton interior
• Headup display
•3 moduri de condus – Eco Pro, Comfort, Sport
• Navigație
• Senzori de parcare față - spate
• Lumini la manere
• Full led
• Faruri BMW Adaptive LED
•Înmatriculată in Romania
• Stare perfectă de funcționare"
