marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
chevrolet,Cruze,1 990 €,1 796 cm³,140 CP,Benzina,Berlina,268 000 km,Negru,2010,Manuala,"===CHEVROLET CRUZE 2010 benzina 1,8===
Jante aliaj cu anvelope iarna
AER Conditionat
Geamuri si oglinzi reglabile electric
Recent inlocuit ulei motor si kitul de distributie cu pompa de apa
Stare tehnica si mecanica ok
Toate actele se parafeaza si se elibereaza pe loc,inclusiv""FiSCALUL""
Defecte: portbagajul nu se deschide de la butonul exterior
===ZOOM AutoRulate===
Parc auto second-hand,cu experienta in domeniu,
autorizat in comertul cu autoturisme va ofera si posibilitatea de a cumpara un autoturism,cu plata pe loc,sau printr-un sistem avantajos de rate FIXE,chiar si cu AVANS 0%,
indiferent de vechimea autoturismului dorit.
Conditii flexibile si aprobare rapida a creditului ( in aproximativ 2 ore ),pe o perioada cuprinsa intre 6 luni si 60 luni.
Contractul de RATE se incheie la sediul parcului auto,posibil si cu AVANS 0%.
- Puteti avea si alte credite
- Sunt acceptate si persoanele aflate la pensie,chiar si cu pensie minima dar max 75 ani la terminarea creditului
- Sunt acceptate veniturile din chirii si diurne ca si venituri suplimentare
- Sunt eligibile pentru finantare si persoanele care lucreaza in strainatate dar cu contract de munca incheiat in Romania.
-Varsta minima 18 ani
-NU se accepta intazieri/restante la plata sau istoric negative in biroul de credite
-Se accepta salariul minim pe economie
-Minim 3 luni vechime la actualul angajator"
chevrolet,Lacetti,2 000 €,1 999 cm³,131 CP,Diesel,Berlina,149 000 km,Albastru,2008,Manuala,"Chevrolet lacetti 2.0d 2008 131cp model coreea nu europa!
Jante aliaj 16
Anvelope aproape noi allseason
Geamuri electrice fata spate
Oglinzi incalzite
Portbagaj electric
Folie geamuri
Clima
Pilot automat
Proiectoare led
Sistem audio 2din
‼️schimbat recent:
-pompa servo
-pompa abs
-plăcuțe discuri etrieri
-kit pompa rulment placa ambreiaj
-ulei filtre
-conducta ac
-freon
-curatat filtru particule cu garantie 3 ani
-senzor gaz schimbat
-cablu acceleratie
Aproximativ 6000 lei.
Itp valabil
Asigurare valabila
Rovinieta valabila
Masina sta de 4 luni parcata , am achiziționat una noua
Accept orice proba orice test orice verificare!"
chevrolet,Captiva,8 290 €,2 184 cm³,185 CP,Diesel,SUV,161 026 km,Negru,2013,Automata,"# Full Automobile Bacau #
Finanțare prin partenerii noștri TBY Bank / MOGO
PERSOANE FIZICE /PERSOANE JURIDICE
Perioada de creditare intre 6 luni si 5 ani cu AVANS 0 Rate FIXE!
Finantarea se acorda pe loc doar in baza buletinului online sau la sediul nostru
Angajatii cu o vechime de min.4 luni
Persoane cu venituri din strainatate(contract de munca)
Acceptam codebitor daca clientul nu se incadreaza singur ( codebitor nu e obligatoriu sa fie din familie )
Persoane cu istoric NEGATIV in Biroul de credite
POSIBILITATE de BUY-BACK
Autoturismul dumneavoastră poate fi considerat avans pentru achiziția unui autoturism din parcul nostru
Eliberăm factură fiscală în care sunt trecuți numărul de kilometri și seria de șasiu
Garantăm starea și funcționalitatea excelentă a autoturismelor noastre, având reviziile efectuate periodic
Raport CAR VERTICAL gratuit
Oferim transport în limita a 200 km la domiciliu clientului sau numere rosii contra cost
Oferim consultanta în vederea înmatriculării și R.A.R
Chevrolet Captiva  7 Locuri
An fab: 08/2013
Motor: 2.2 diesel 184cp
Transmisie: Automată
Tracțiune : 4x4
Km: 161.026
Istoric fără accidente
Serie sasiu (VIN): KL1CD2669DB031453
Preț 8290€
Dotări :
• Navigație mare / USB / Aux-IN / Bluetooth
•Keyless go
•Keyless entry
• Camera manșalier
• Start/Stop
•Stopuri LED
• Active ECO
• Dublu climatronic + CleanAir
• Auto HOLD
• Comenzi Volan
• Interior din Piele
• Încălzire în scaune
• Senzori parcare cu afisaj
• Banchete spate reglabile
• Pilot automat
• Jante Aliaj R19 Anvelope Noi
• Asistenta la coborarea in panta
• Suport pahare
• Senzori lumina
• Proiectoare ceata
• ABS / ESP
• Inchidere centralizata telecomanda 2 chei
• Alarma
• Senzori lumini
• Senzor de ploaie
• Oglinda retrovizoare interioara electrocromatica
• Oglinzi retrovizoare incalzite
• Oglinzi retrovizoare ajustabile electric / Pliabile electric/semnalizare in oglinda
• Torpedou cu racire
Anuntul cu privire la descrierea autoturismului este informativ! Se pot strecura erori, greseli de scriere. Pentru mai multe detalii va rugam sa ne contacti telefonic si sa stabilim o programare !"
chevrolet,Aveo,2 450 €,1 200 cm³,72 CP,Benzina,Berlina,85 330 km,N/A,2008,Manuala,"Chevrolet Aveo
An fab: 2008
Motorizare : 1.2 S TEC Euro 4
Km : 85.000 verificabili
Serie șasiu pt orice verificare
KL1SF69TJ8B191519
Unic proprietar utilizator (nefumător)
Revizi anuale la an nu la km
Echipată cu anvelope iarnă
ITP nou efectuat pe 20.10.2025
Valabilitate : 20.10.2026
Mașina se prezintă ireproșabil, interior fără uzura(ca nou) exterior curat , Usi Praguri Pasaje originale! Fara Rugină!
Totul perfect funcțional !
Mașina este ideală pentru cine caută fiabilitate,confort și costuri minime de întreținere
Dotări Aveo :
Aer condiționat perfect funcțional
Dublu air bag șofer+ pasager + air bag scaune
Servo direcție
Geamuri electrice
Oglinzi electrice și încălzite
Alarmă + închidere centralizată pe cheie//2 cheii
Radio CD original MP3 + AUX IN
Volan reglabil înălțime
Scaun șofer reglabil înălțime
Ceas bord // suport ochelari plafon
Carcase oglinzi+mânere uși în ton cu culoarea mașinii
Echipată cu roți pe 15  cu anvelope iarnă + capace originale dedicate Aveo
Roată de rezervă slim nouă nefolosită + trusa cric noi.
Trusa medicală   instictor   triunghi reflectorizant   (logan)
Se vinde cu toate actele la zi+certificat fiscal pentru înmatriculare."
chevrolet,Corvette,17 000 €,5 733 cm³,245 CP,Benzina,Cabrio,170 000 km,Rosu,1988,Automata,"De vânzare: Chevrolet Corvette C4 – 1988 – 5.7L V8
Înmatriculată istoric – sună a libertate, nu a taxe!
Ai visat vreodată să simți cum ți se ridică părul pe ceafă când apeși accelerația? Să auzi V8-ul cum urlă cu demnitate americană? Sau să te uiți în retrovizoare și să vezi cum dispar toate grijile? Atunci ai nimerit bine.
ADN-ul american:
• Motor: L98 V8 Small Block, 5.733 cm³, aspirat natural – un clasic care n-are nevoie de prezentări
• Putere: 245 CP care știu să cânte
• Cuplu: 468 Nm – destul cât să înveți ce înseamnă „muscle”
• 0-100 km/h: 6,7 secunde – nu e Tesla, dar nici nu te întreabă dacă vrei update de software
• Viteză maximă: 249 km/h
• Transmisie: automată, 4 trepte – pentru plăcerea pură de a te bucura de drum
• Tracțiune: spate – cum altfel?
Dotări originale:
• Aer condiționat automat (pentru momentele rare când nu vrei geamul jos ca să-ți asculți V8-ul)-nu functioneaza
• Servodirecție, Cruise Control
• Geamuri și oglinzi electrice
• Scaune față cu reglaj electric
• Jante din aluminiu de 17”, stil pur american, cu 5 prezoane – mai solide ca promisiunile din campanii electorale
Alte detalii:
• Kilometraj real: 170.000 km – condus cu respect și pasiune
• Înmatriculare istorică – adică 0 taxe anuale și RCA cu preț redus
• Revizii la zi, întreținută cu grijă + cateva piese care nu am apucat sa le mai schimb la ea.
• Stare tehnică foarte bună
Desi este intr-o stare foarte buna, masina nu este noua, nu este perfecta.
Accept si unele schimburi"
chevrolet,Aveo,999 €,1 196 cm³,110 CP,Benzina,Berlina,68 258 km,Gri,2007,Manuala,Chevrolet aveo 1.2i 2007 68k mii km reali  motor benzina 1.2 recent adusa in tara nu necesita investiți stare ca noua km reali se poate verifica pe car vertical preț fix
chevrolet,Aveo,3 500 lei,N/A,76 CP,Benzina,Berlina,188 000 km,Rosu,2007,Manuala,"Ac,inchidere,anvelope iarna vara,masina merge bne,km188000,mai multe rel.la tel."
chevrolet,Cruze,4 800 €,1 796 cm³,145 CP,Benzina,Berlina,256 000 km,Rosu,2012,Manuala,"Chevrolet Cruze 1.8 benzină + GPL Tomasetto
An fabricație 08.2012
226.000 km (în creștere).
Cutie manuală, mașină întreținută cu atenție, folosită zilnic.
Dotări și îmbunătățiri:
Navigație Tesla style
Volan retapitat profesional
Faruri aftermarket cu lupă și daylight
Fază scurtă și lungă LED
Lip față + difuzor spate (aspect sportiv)
Geamuri spate și lunetă fumurii
Aer condiționat funcțional
Interior negru complet (rar), bine întreținut
Jante R18 cu anvelope Kumho Wintercraft DOT 2019
Întreținere și piese noi:
Mașina a primit multe piese noi:
Articulație completă
Furtune răcire
Radiator AC + radiator răcire
Termostat, termoflot, vas antigel
Bujii, bobină, pompă de apă
Tampoane motor (ambele)
Cabluri frână de mână
Discuri și plăcuțe spate
S-au mai schimbat și alte componente — mai multe detalii la telefon.
Reviziile sunt făcute la timp.
Ultimul drum lung: București – Lefkada – Retur, fără nicio problemă.
Mașina merge impecabil.
Stare și acte:
Mici zgârieturi exterioare (normale pentru vârstă)
ITP valabil până în august 2026
Toate actele valabile
Nu se vinde fără perfectarea actelor
Se vinde pentru upgrade
Nu mă grăbesc să o vând
Nu accept oferte absurde
Accept orice verificare
Pentru mai multe poze/filmari astept mesaj in privat."
chevrolet,Captiva,4 990 €,1 991 cm³,150 CP,Diesel,SUV,235 000 km,Negru,2008,Automata,"# Full Automobile Bacau #
Finanțare prin partenerii noștri TBY Bank / MOGO
PERSOANE FIZICE /PERSOANE JURIDICE
Perioada de creditare intre 6 luni si 5 ani cu AVANS 0 Rate FIXE!
Finantarea se acorda pe loc doar in baza buletinului online sau la sediul nostru
Angajatii cu o vechime de min.4 luni
Persoane cu venituri din strainatate(contract de munca)
Acceptam codebitor daca clientul nu se incadreaza singur ( codebitor nu e obligatoriu sa fie din familie )
Persoane cu istoric NEGATIV in Biroul de credite
POSIBILITATE de BUY-BACK
Autoturismul dumneavoastră poate fi considerat avans pentru achiziția unui autoturism din parcul nostru
Eliberăm factură fiscală în care sunt trecuți numărul de kilometri și seria de șasiu
Garantăm starea și funcționalitatea excelentă a autoturismelor noastre, având reviziile efectuate periodic
Raport CAR VERTICAL gratuit
Oferim transport în limita a 200 km la domiciliu clientului sau numere rosii contra cost
Oferim consultanta în vederea înmatriculării și R.A.R
Chevrolet Captiva 7 Locuri
Dotări :
• Active ECO
•Geamuri privacy
• Dublu climatronic + CleanAir
• Auto HOLD
• Comenzi Volan
• Interior din Piele neagră
• Încălzire în scaune
• Senzori parcare
• Banchete spate reglabile
• Pilot automat
• Jante Aliaj R17
• Asistenta la coborarea in panta
• Suport pahare
• Scaune electrice
• Senzori lumina
• Proiectoare ceata
• ABS / ESP
• Inchidere centralizata telecomanda 2 chei
• Alarma
• Senzori lumini
• Senzor de ploaie
• Oglinda retrovizoare interioara electrocromatica
• Oglinzi retrovizoare incalzite
• Oglinzi retrovizoare ajustabile electric / Pliabile electric/semnalizare in oglinda
• Torpedou cu racire
• Două cheii
• Cârlig de remorcare
• Roții cu anvelope de iarnă
Anuntul cu privire la descrierea autoturismului este informativ! Se pot strecura erori, greseli de scriere. Pentru mai multe detalii va rugam sa ne contacti telefonic si sa stabilim o programare !"
chevrolet,Captiva,6 980 €,2 198 cm³,185 CP,Diesel,SUV,214 000 km,Negru,2013,Manuala,"Chevrolet Captiva,Diesel 4x4,7 Locuri/Rate cu Avans 0!
Import GERMANIA!!
RokAuto Import – Parc auto autorizat, Bacău,Hemeiuș!
Oferim autoturisme rulate, importate din Europa, atent verificate tehnic și juridic, cu acte clare și condiții avantajoase de achiziție.
Ce oferim:
• Mașini verificate tehnic, fără vicii ascunse
• Kilometri garantați, menționați în factură
• Achiziție în rate prin partenerii noștri financiari – avans 0, rate fixe, aprobare rapidă (inclusiv pentru persoane cu istoric negativ)
• Clientul devine direct proprietar – nu reținem actele
• Transport gratuit la domiciliu sau numere provizorii pe loc
• Garanție inclusă în preț
• Servicii suplimentare: înmatriculare și RAR (jud. Bacău)
• Sistem buy-back
Dotări și echipare:
Autoturismul beneficiază de dotările standard corespunzătoare versiunii de echipare. Pentru lista completă a dotărilor suplimentare (față de cele de bază), vă rugăm să verificați împreună cu un reprezentant de vânzări. Această abordare asigură claritate și evitarea oricărei neînțelegeri. Dotările pot fi prezentate la fața locului, prin video call sau în materialele video disponibile.
De ce să alegi RokAuto Import:
Pentru că punem accent pe seriozitate, transparență și servicii complete. Fiecare client este tratat corect, iar fiecare mașină vândută este o carte de vizită pentru noi.
Oferim consultanță personalizată pentru a te ajuta să alegi mașina potrivită, test drive fără obligații și posibilitatea de comandă la cerere, în cazul în care nu găsești modelul dorit în stoc. Sună acum și programează o vizionare – descoperă diferența dintre un simplu vânzător și un dealer auto de încredere"
