marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
citroen,C1,1 800 €,1 000 cm³,N/A,Benzina,Cabrio,146 874 km,Verde,2008,Manuala,"Vând Citroen C1 2008
146874 km
Masina este pe persoana fizica. Masina a fost cumparata de noua din România și eu sunt al 2 lea propierat.
Masina funcționează fără probleme.
Mai multe detalii la telefon !
Preț ușor negociabil !!"
citroen,C5,4 000 €,1 997 cm³,138 CP,Diesel,Berlina,250 000 km,Gri,2012,Manuala,"Specificatii:
Model: Citroen C5 Hydractive 3 Plus, Mod Sport, Sedan din 2012 cu motor 2.0 Diesel. Putere 138CP si cutie manuala.
KM: 250.000
Proprietari: 1 in Franta, 1 in Romania ( actual )
Scanati codul QR din a doua poza pentru raportul complet CarVertical.
Istoric recent service:
Revizie facuta
ITP valabil 1 An.
Masina se poate vedea in zona Berceni zona Bulevardul Constantin Brancoveanu, Sector 4.
Toate actele necesare, fiscal pe loc.
Se vinde rapid, putem rezolva in mai putin de 24h.
Sunati direct la numarul din anunt pentru mai multe detalii."
citroen,C4 Grand Picasso,2 500 €,1 596 cm³,110 CP,Diesel,Monovolum,269 000 km,Argintiu,2010,Automata,"Citroen C4 1.6 Diesel 110 HP
An fabricație 06 /2009
Cutie automată ( schimbă excelent )
Dublu climatronic , comenzi volan
Geamuri electrice
Oglinzi electrice încălzite
Perdeluțe Gemuri spate
7 locuri
Anvelope vară noi R 16
Kilometri reali :269.000 ( dețin raport carverical ) fără daune sau rugină
Fără scurgeri de ulei
Mașina arată și se prezintă excelent pt vârsta ei
Recent import Italia ( nu s-au emis numere roșii) fară probleme sau alte defecte ascunse )
Detalii la telefon
Atenție programare rar 29 Decembrie ( Vaslui )"
citroen,C4 Picasso,3 450 €,1 560 cm³,112 CP,Diesel,Monovolum,259 000 km,Gri,2011,Automata,"Citroen C4 Picasso 1.6 HDi 112CP Semi-Automata 2011 Euro 5
••• www.AutoRulateBacau.ro •••
Posibilitate Rate ,Cash , Buy~Back și Test Drive
Înainte de Test Drive toate mașinile sunt dezinfectate !!!
Decât sa o visezi mai bine o conduci !!!
POSIBILITATE DE VÂNZARE IN RATE !!!
Acest autoturism se poate finanța pentru :
Persoane Fizice :
- Cu istoric negativ in biroul de credit si 20%avans-in functie de istoricul clientului
- Contracte de munca din AFARA TARII (din strainatate ) si 0 % avans
- Cu venituri din diurna
- Persoanele cu pensii din Romania vârstă maxima 70 de ani
- Cu venituri din Prenatal
Persoane juridice :
• Firme PFA, întreprinderi individuale, SRL
•••Posibilitate de închidere anticipata si recalcularea creditului •••
Verificarile și detaliile pentru rate se pot face TELEFONIC,Whats”App SAU LA SEDIUL NOSTRU !
La :
07******00
07******00
07******00
Creditul se ACORDA la biroul nostru cu aprobare finala in decurs de 2 ore !!
D O T A R I :
Transmisie Semi-Automata
Padele pentru Schimbarea Treptelor de Viteza
Lumini de zi LED
Ceasuri de Bord Digitale
Senzori Parcare Fata si Spate
Senzori de Lumini si Ploaie
Senzori Presiune Roti
Pilot Automat
Frigider
Radio CD/MP3
Intrare Auxiliar
Volan Piele
Comenzi Volan
Computer Bord
Control Stabilitate (ESP)
Climatronic cu Doua Zone
Oglinzi Incalzite
Oglinzi Heliomate Reglabile Electric
Geamuri Electrice Fata si Spate
Proiectoare Ceata
Jante Aliaj
OFERIM NUMERE ROȘII (Provizorii) PE LOC!!!
Km 100 % Verificabili
Rulaj : 259.000km
-Masina se prezinta intr o stare foarte buna atat tehnic cat si optic
-Firma noastra detine autovehicule ce pot fi verificate in orice service autorizat!!!
-Se eliberează factura cu km trecuți pe ea!!!
BuyBack -PRELUAM MASINA DUMNEAVOASTRA CA AVANS PT ORICE MASINA DIN PARCUL NOSTRU
Descrierea autovehicului este strict informativa, pot exista greseli umane de tipar (optiuni, performanta a motorului, capacitate cilindrica, transmisie, kilometraj etc) NU suntem responsabili de informatia oferita.
* In caz de nelamuriri cu privire la optiunile prezentate / stare tehnica sau estetica puteti sa ne contacta telefonic."
citroen,Jumper,6 600 €,1 997 cm³,130 CP,Diesel,Monovolum,390 000 km,Alb,2017,Manuala,"Citroen Jumper Euro6 Prelata 8Euro Paleti
In stare buna de functionare atat tehnic cat si estetic masina ruleaza si arata foarte bine
Fara rugina
Mai multe detalii la nr de telefon 0’7’2’8’3’5’2’4’9’4"
citroen,C3,5 900 €,1 119 cm³,90 CP,Benzina,Hatchback,128 500 km,Alb,2019,Manuala,"Vând Citroën C3 fabricat in 2019, într-o stare foarte bună
Caracteristici tehnice:
An fabricatie: 2019
Motorizare: 1.2 Benzină PureTech
Cutie de viteze: Manuală
Kilometraj: 128000 km, real, verificabil
Norma de poluare: Euro 6
Dotäri si confort:
Aer conditionat / Climă automatã
Sistem multimedia cu ecran tactil
Bluetooth, USB, comenzi pe volan
Android Auto/Apple CarPlay
Cruise control / limitator de viteză
Geamuri electrice, oglinzi reglabile electric si încälzite Faruri LED si lumini de zi
Interior impecabil Cauciucuri iarnă noi  + 4 de vară
Stare generalã:
Intretinută cu grijă, revizii la zi Fără accidente, accept orice test
Fiscal disponibil
Masina oferã o experientã de condus plăcutã, cu consum redus si dotäri moderne. Este perfectă pentru viata urbanã, dar si pentru drumuri mai lungi, datorită confortului sporit.
Disponibilä în Bucuresti, Sector 1
Pret negociabil"
citroen,C5 Aircross,10 990 €,1 500 cm³,130 CP,Diesel,SUV,235 000 km,Gri,2019,Automata,"Import Franta
Se poate vinde si in LEASING, colaboram cu orice banca/firma, aleasa de cumparator.
Inmatriculata in NOIEMBRIE 2024
Pretul este: 9082 +TVA=10990 Euro- in RON la cursul BNR al zilei
Se emite factura cu certificat fiscal primarie
Kilometrii absolut reali, cu istoric ITP-uri, verificabili reprezentanta sau CarVertical
Motor 1.5 diesel, 130 Cp
Distributie inlocuita in IUNIE 2025, inclusiv lantul de la axele cu came(FACTURI)
Cutie automata, mod automat sau manual cu padele - SCHIMBA IMPECABIL
Consum mixt = 6%
Anvelope VARA - absolut noi - GOODYEAR
Serie caroserie(VIN): VR7ACYHZRKL119395
Dotări:
2 USB pt. incarcare si conexiune
Android Auto, Bluetooth
4 geamuri electrice cu one touch (functie comfort)
Multimedia, cu touch
Senzori parcare spate și fata
Sistem navigație
Cititor semne circulatie(limitari de viteza)
Faza lunga automata(se stinge singura la intalnirea cu vehiculul din sens invers)
Oglinzi exterioare cu reglare electrică+incalzite, pliere
Senzor ploaie, lumina
Iluminare full LED interior
LED partial faruri
LED stopuri spate
Tempomat,limitator viteza
Volan piele multifuncțional
Comenzi audio,coloana volan
Nu fac nicun fel de schimb!
Tel:
0721
307
999"
citroen,Jumper,3 000 €,2 200 cm³,130 CP,Diesel,Monovolum,800 000 km,Alb,2015,Manuala,"Citroen Jumper
Motor 2.2 Diesel
Cai 130
Euro 5
Km 800 000
Prelata de 8 europaleti cu inaltime de 2.2 m
Pat, bena omologate, sirocou, neaccidentata
Dimensiuni bena : 4.2m × 2.13m × 2.2m
Motorul pierde ulei (porneste)"
citroen,C5,2 499 €,1 598 cm³,N/A,Diesel,Berlina,218 000 km,Argintiu,2009,Manuala,"Unic proprietar in tara!
Fara becuri aprinse!!!
DOTARI:
Cd cu comenzi volan
Pilot automat
Dublu climatronic
Interior plus negru
Geamuri electrice
Inchidere centralizata
Senzori parcare fata si spate
Cornering
Lumina de zi
Sistem izofix
Jante al, etc
Cer si ofer seriozitate!!!"
citroen,Jumper,7 999 €,1 998 cm³,163 CP,Diesel,Monovolum,170 000 km,N/A,N/A,Manuala,"Distribuție si revizia cu 1 luna in urma facuta la service autorizat RAR.
Km 170 000, reali accept orice test la ei. Masina a fost luata din Belgia.
Are dotarile:
Geamuri electrice
Camera marșarier
Cruist control
Senzori parcare
Neînmatriculata"
