marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
dacia,Lodgy,5 700 €,1 200 cm³,115 CP,Benzina,Monovolum,170 000 km,Gri,2016,Manuala,"Ești în căutarea unei mașini?
Noi te putem ajuta!
Aducem mașini și la comanda !
Mașini cash sau în Rate,
BROTHERS AUTO-SH S.R.L---》Firma autorizata de comerț Automobile , oferă spre vânzare!!!
Locație:Argeș, Mioveni, STR Perilor 23
Google Maps :Brothers Auto-sh
Waze:Brothers Auto-Sh
AUTO SE POATE ACHIZITIONA IN RATE!
Tbi-Bank- Partenerii noștri de încredere!
Toate actele se finalizeaza la biroul nostru!
Oferim Nr Provizori
Verificarea in biroul se creditare se poate online, fara a mai fi nevoie sa va deplasati la sediu
DACIA Lodgy Stepway 2015
MITOR 1.2Tce 115cp
NAVIGATIE
PILOT AUTOMAT
LIMTATOR DE VITEZE
SEZORI PARCARE
GEAMURI ELECTRICE
CARLIG REMORCARE
COMENZI VOLAN
DETALII LA TELEFON!"
dacia,Logan,5 999 €,999 cm³,73 CP,GPL,Berlina,155 000 km,N/A,2019,N/A,"Dacia Logan 2019
1.0 benzina + GPL (montat in 2023) are carte de service cu reviziile efectuate.
Achiziționată acum o lună, cu intenția de a o pune la treabă.
Colant BOLT ACTIV
În aplicație a apărut confirmarea colantului pe luna noiembrie.
Mașina a fost verificată în service, raportul car vertical este disponibil, a fost pusă la punct și gata de a începe.
Am apucat să fac RCA - valabil un an și  rovineta tot pe un an.
Între timp s-au schimbat planurile, deoarece am prins programul Rabla și mașina este pusă la vânzare."
dacia,Sandero Stepway,4 100 €,900 cm³,90 CP,Benzina,Hatchback,29 040 km,Maro / Bej,2019,Manuala,"Dacia Sandero Stepway 0.9 tce editie TechRoad Modelul Prestige
Decembrie 2019
Clima
Camera marsalier
Modelul full
Masina nu figureaza cu dauna!! Accidentul nu s-a produs cu o alta masina !!
Lovita in capul de prag dreapta
Masina porneste, motor si cutie neafectate
Air baguri sarite
Nu s-a intervenit cu nimic asupra daunei !!
Documentie fiscala la zi
Pentru mai multe detalii nu ezitati sa ma contactați !"
dacia,Duster,7 699 €,1 489 cm³,110 CP,Diesel,SUV,87 937 km,Alb,2015,Manuala,"Dacia Duster 1.5 Dci 2015
- 4x2
- Anul : 2015
- Norma de poluare: EURO 5
- Motor 1.5 Dci Diesel
- Cutie 6 trepte
- Putere: 110 CP
- Km 87935
- Distributie schimbata la 76 mii
- Jante aliaj  anvelope M+S
DOTARI:
- CLIMATRONIC
- Navigatie
- Senzori parcare
- Geamuri Electrice
- Inchidere centralizata
- 2 Chei
- Pilot Automat
- Comenzi volan
- Geamuri fumurii
- Faruri Automate (reglabile)
- Volan reglabil
- 8x Airbag-uri
- Computer bord
- Torpedou mare
- ABS, ESP, Servo directie
- Este o masina foarte fiabila
- Interior  ingrijit
- Portbagaj mare
- Masina arata si functioneaza ireprosabil.
- RECENT ADUSA
- Se ofera Transport"
dacia,Logan,4 190 €,1 500 cm³,90 CP,Diesel,Break,187 200 km,Argintiu,2013,Manuala,"Mașina este intrată în Tară de 1 săptămâna cumpărată de la proprietar unu singur de nouă TUV valabil.
DOTĂRI:
7 LOCURI
Aer condiționat perfect functional
Geamuri electrice fată
Folie geamuri Llumar omologată RAR
Oglinzi electrice
Închidere centralizată pe cheie
Comenzi pe volan
Servodirectie ABS Airbag-uri frontal pasager
Volan/schimbător piele
Faruri reglabile proiectoare ceata
Cauciuguri profil foarte bun
Scaune față reglabile
Radio CD USB/AUXILUAR
Mașina arată impecabil interior curat fără rupturi motor/cutie rulează perfect toate dotările sunt funcționale fără gram de rugină sau elemente revopsite dețin poze cu masina din Germania.
Nu sau scos nr roșii se pot scoate la cerere sau transport cu platforma personală, transportul pe o RAZĂ DE 50 km este gratis.
Trimit mai multe poze sau video celor interesați."
dacia,Logan,6 999 €,999 cm³,75 CP,Benzina,Berlina,43 000 km,Alb,2019,Manuala,"Dacia Logan doar 43.000.km unic proprietar, cumpărată din reprezentanta RO,
Prima înmatriculare în 2019
Aer condiționat
Geamuri electrice
Servo direcție
Abs
Închidere centralizata
Etc
Auto este ca și unul nou
Fără accident
Revizii la zi.
Eliberez factura și fiscal"
dacia,Logan,14 000 €,1 000 cm³,100 CP,GPL,Berlina,77 000 km,Alb,2024,Manuala,"Descriere
Dotari:
Editie specială XX
Mașina este în garanție încă 2 ani
- primul proprietar de noua
- km 77000
-scaune încălzite
-senzori de frânare
Senzor unghi mort
- cutie manuală
- senzori parcare față - spate
- cameră mașalier
- clima
-Car play
- keyless entry
- keyless go
-faruri automate
-proiectoare ceață
-lumini led
- jante de aliaj cu cauciucuri de iarnă
- doua cartele
- conectare android
Benzină+gpl din fabrică
Plăcuțe noi
Acest model de masină cu toate dotările costă acum în reprezentanță 16000 €
Colant bolt activ
Mașina se află în stare foarte buna, funcționează fără nici o problemă.
Serie sasiu: UU1DJF00673919221
Folie omologată pe geamuri spate
Mai multe detalii:07******99 Ciprian"
dacia,Duster,4 980 €,1 600 cm³,105 CP,Benzina,SUV,N/A,N/A,2011,Manuala,"Dacia Duster 1.6 benzină 16 valve
Distribuția schimbata !
~ An de fabricatie : 2011
~ Culoare: negru METALIZAT ~
~ Combustibil: BENZINA ~
~ Tractiune : 4x2
~ Putere: 105 Cp (cea mai economica si fiabila motorizare ) ~
~ Capacitate cilindrica: 1598 cm3 ~
210000 km carte service
Recent adusă Nu sau scos nr rosii
Livrare la domiciliu clientului contracost
Motor cutie direcție perfecta Interior curat întreținut Fără rupturi Acte în regulă în vedere inmatricularii Mașina arata si functioneaza impecabil din toate punctele de vedere Nu necesita nici o investitie
Fără rugină lovituri sau zgarieturi
Opțiuni
~ CLIMA ~
~ BORD-COMPUTER ~
~ Geamuri electrice ~
~ Proiectoare de ceata~
~ 8 x Airbag ~
~ Electronic Stability Program (ESP) ~
~ Anti-Lock Break System(ABS) ~
~ Oglinzi electrice incalzite si heliomate~
~ Alarma de fabrica ~
~ Inchidere centralizata ~
Geamuri fumurii
Privacy glass
~ 2 Chei(comenzi pe cheie) ~
Fabricatie 2010 serie 2011
~ Jante Originale16' cu anvelope ms
~ Accept orice test autorizat !
Nu fac schimburi nu insistati Nu raspund la mesaje de genul ultimul pret pretul este negociabil doar la fața locului mai multe detalii la telefon"
dacia,Duster,5 500 €,1 500 cm³,N/A,Diesel,SUV,110 000 km,Alb,2012,Manuala,"Vând Dacia Duster anul 2012 4x4,motorizare diesel 1.5 ,mașina este în perfectă stare de funcționare cu rulaj de 110000 Km. Pretul este de 5500€ negociabil,Pentru mai multe detalii sunați 07******50"
dacia,Logan,7 150 €,898 cm³,90 CP,GPL,Break,160 500 km,Albastru,2019,Manuala,"# Dacia Logan Mcv
# An fabricație 2019
# Motorizare generatie noua 0.9tce 90cp Gpl
# Cutie manuala 5+1 trepte
# Norma de poluare Euro 6
# Import Germania
# 160. 500 km
# Dotari :
• Aer condiționat
• - 2 chei
• Android Auto
• Radio / MP3 / USB / Aux
• Daylight/lumini de zi
• Suport pahare
• Bancheta spate rabatabila în 3 moduri.
• ESP / ASR / ABS
• Jante originale R15 anvelope noi
• Geamuri laterale cu tentă din fabrică
• Geamuri fata electrice
• 6 airbaguri
• Bancheta spate cu sistem Isofix
• Oglinzi retrovizoare ajustabile electric
• Proiectoare ceata
• Pack Look
~ Autoturismul se prezinta in stare excelenta de functionare , fara probleme de ordin tehnic sau estetic
~ Toate actele se finalizeaza la vanzarea autoturismului.
~ Mai multe detalii telefonic!"
