marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
fiat,Panda,3 850 €,964 cm³,65 CP,Benzina,Hatchback,186 000 km,Gri,2013,Manuala,"Fiat Panda
Motorizare - 0,9 benzina
Fabricație 2013
Cutie manuală 5+1 rapoarte
Rulaj 186.000 km
Echipare :
-Încălzire în scaune fata
-Degivrare parbriz
-Aer condiționat
-Servo City
-Lumini de zi
-Senzori de parcare
-Geamuri electrice
-Oglinzi electrice
-Proiectoare ceata
-Start-Stop la semafor
-Radio CD
- 2 chei
-jante aliaj R14 cu anvelope iarna
-bonus- un set de anvelope de vara
etc
Masina se afla in stare buna atat estetic cat si tehnic cu in consum urban de 4-5 l/100km
Pentru alte informatii mesaj sau telefonic
Accept unele variante de schimb
Similar cu: seat mii, renault clio / twingo, skoda citigo / fabia, volkswagen polo / up, suzuki swift / ignis, peugeot 208, citroen c3 / c2, toyota Yaris / Aygo, Ford Fiesta, Fiat 500, mazda 2, Audi A1 / A2, Opel Corsa, Mini cooper, uber bolt delivery"
fiat,500,7 950 €,1 242 cm³,69 CP,Benzina,Berlina,174 000 km,Rosu,2017,Automata,"Fiat 500
An fabricație: 2017
Proprietar, fără avarii sau accidente.
Motorizare: Benzină, 1.2 litri, 69 CP, 4 cilindri
Cutie de viteze: Automata
Kilometraj: 174000 km (km reali, toate reviziile făcute la timp).
Distributia schimbata la 160000km
Culoare: Rosu
Plafon panoramic
Dotări principale:
Climatizare
Senzori parcare spate
CarPlay/Android Auto
Cruise control
Faruri xenon cu lumini de zi LED
Proiectoare LED
Volan multifuncțional cu comenzi
Jante aliaj cu cauciucuri de vara
Jante cu cauciucuri de iarnă"
fiat,500,4 190 €,1 242 cm³,70 CP,Benzina,Coupe,177 000 km,Alb,2010,Manuala,"* Import recent din Germania (nerulata RO)
* Ideeala pentru incepatori/oras si nu numai...
* Fiat 500 - an fabricatie 2010
* Motor 1.2 benzina - 70 CP - norma poluare EURO 5
* Motor clasic - aspirat foarte fiabil si economiC
* 177.000 Km. reali 100% cu istoric service
*** DOTARI ***
* AER CONDOTIONAT PERFECT FUNCTIONAL ;
* JANTE ALIAJ ; COMPUTER BORD ; VOLAN PIELE
* OGLINZI ELECTRICE ; GEAMURI ELECTRICE
* Inchidere centralizata pe cheie ; Radio CD
* Servo directie cu functia servo CITY ; ABS ; SRS
* Interior textil combinat cu piele ; Port USB
* Comenzi volan ; Proiectoare ceata ;
* Computer bord ; Lumini zi automate
* Tehnic & mecanic fara nici un fel de problema
* Caroserie in stare perfect fara rugina
* Interior foarte curat si intretinut ""CA NOU"" fara urme de uzura
* Motorul porneste la sfert, nu scoate fum, merge perfect...
* ACCEPT TEST SERVICE AUTORIZAT sau REPREZENTANTA"
fiat,Ducato,5 900 €,2 300 cm³,120 CP,Diesel,Monovolum,N/A,Gri,2011,N/A,"Vând Fiat ducato fabricație 2011, microbuz 8+1 locuri, se conduce cu categoria ""B"", ca orice autoturism, în stare foarte bună atât tehnic cât și optic, AC funcțional,geamuri și oglinzi electrice,masina funcționează excelent, motorul cel mai fiabil 2,3 ,interior curat,înmatriculat de curând pe Bulgaria, acte valabile, cârlig de remorcare,nu necesita nicio investiție în plus, se poate pune direct la muncă!"
fiat,Panda,3 200 €,1 398 cm³,76 CP,Benzina,Hatchback,156 000 km,N/A,2003,Manuala,"Motor 1.4 76 cai ( grande punto)
Cutie viteze cu rapoarte scurte
Suspensie +3 ( amortizoare + arcuri)
Brate lungi
Aceastea fiind trimise si modificate in italia
Racire auxiliara la buton
Troliu superwinch 3T
Gpl, butelie noua montata in 2024
Geamuri electrice
Inchidere centralizata
Cauciucuri extrem 1 set
Cauciucuri iarna pirelli 1 set
Cauciucuri vara continental 1 set
Vosea raptor
Etc.
Sunt proprietar de 7 ani
Masina a fost servisata corespunzator
4x4 perfect functional
Ulei motor, grupuri, cutie transfer schimbate recent
Nu necesita nici o investitie
Se vinde cu proba in teren
Mai multe detalii telefonic
Nu sunt interesat de variante"
fiat,Panda,700 €,1 248 cm³,51 CP,Diesel,Hatchback,263 256 km,Verde,2005,Manuala,"Fiat Panda 2005 , motorina, motor 1.2
ITP valabil"
fiat,500X,8 200 €,1 300 cm³,N/A,Diesel,SUV,211 000 km,Alb,2017,Manuala,"Vând Fiat 500 x.
EURO 6!!TAXA mică. Culoare
Alb. Anul 2017.
1.3 mulți jet. Diesel. Consum foarte mic!!. Aer conditionat,frana electrica ,piele+stofa ,oglinzi electrice incalzite si rebatabile,volan multifunctional ,jante originale iarna si vara ,carte service ,unic proprietar , ,navigazie,senzori de parcare ,start-stop Proprietar în acte, fiscal pe loc, ulei-filtru schimbat de 3 săptămâni, itp valabil pana în anul 2026 mașina se vinde cu cauciucuri de vară +cele de iarna.Am lăsat seria de șasiu pt verificare. km originali 211.000 km se pot verifica !!!Mai multe detalii la telefon.07******29 ."
fiat,Sedici,7 500 lei,1 910 cm³,120 CP,Diesel,SUV,320 000 km,Albastru,2006,Manuala,"Fiat Sedici 1.9d 120CP 4x4 2006 Euro 4
••• www.AutoRulateBacau.ro •••
Posibilitate Rate ,Cash , Buy~Back și Test Drive
Înainte de Test Drive toate mașinile sunt dezinfectate !!!
Decât sa o visezi mai bine o conduci !!!
POSIBILITATE DE VÂNZARE IN RATE !!!
Acest autoturism se poate finanța pentru :
Persoane Fizice :
- Cu istoric negativ in biroul de credit si 20%avans-in functie de istoricul clientului
- Contracte de munca din AFARA TARII (din strainatate ) si 0 % avans
- Cu venituri din diurna
- Persoanele cu pensii din Romania vârstă maxima 70 de ani
- Cu venituri din Prenatal
Persoane juridice :
• Firme PFA, întreprinderi individuale, SRL
•••Posibilitate de închidere anticipata si recalcularea creditului •••
Verificarile și detaliile pentru rate se pot face TELEFONIC,Whats”App SAU LA SEDIUL NOSTRU !
La :
07******00
07******00
07******00
Creditul se ACORDA la biroul nostru cu aprobare finala in decurs de 2 ore !!
D O T A R I :
Tractiune 4×4 2WD/AUTO/LOCK
Radio CD/MP3
Comenzi Volan
Computer Bord
Control Stabilitate (ESP)
Climatronic
Oglinzi Incalzite
Oglinzi Rabatabile Electric
Oglinzi Heliomate Reglabile Electric
Geamuri Electrice Fata si Spate
Proiectoare Ceata
OFERIM NUMERE ROȘII (Provizorii) PE LOC!!!
Km 100 % Verificabili
Rulaj : 320.000km
-Masina se prezinta intr o stare foarte buna atat tehnic cat si optic
-Firma noastra detine autovehicule ce pot fi verificate in orice service autorizat!!!
-Se eliberează factura cu km trecuți pe ea!!!
BuyBack -PRELUAM MASINA DUMNEAVOASTRA CA AVANS PT ORICE MASINA DIN PARCUL NOSTRU
Descrierea autovehicului este strict informativa, pot exista greseli umane de tipar (optiuni, performanta a motorului, capacitate cilindrica, transmisie, kilometraj etc) NU suntem responsabili de informatia oferita.
* In caz de nelamuriri cu privire la optiunile prezentate / stare tehnica sau estetica puteti sa ne contacta telefonic."
fiat,Panda,2 799 €,1 242 cm³,N/A,Benzina,Monovolum,88 000 km,N/A,2007,Manuala,"OCAZIE DOAR 88.000 KM UNIC PROPIETAR 73 ANI!O MASINA FARA INVESTITII IN URMATORII ANI!
-Perfect pregătită pentru iarna:anvelope si baterie noi in garanție!
FOARTE FRUMOASA,MODERNA SI COCHETA,CU PERSONALITATE, DRAGOSTE LA PRIMA VEDERE!
ATENȚIE MOTORIZARE IN 4 CILINDRI!
DISTRIBUTIE SCHIMBATA LA 70.000 KM
Parc auto VLADIMIR VEST AUTOMOBILE SRL Sibiu vinde un excelent FIAT PANA 1.3   ,motorizare benzină  an 2007.09   în stare foarte buna tehnica si estetica , inmatriculat cu ITP VALABIL .2026
MASINA ESTE ÎNMATRICULATĂ RO!
Unul din cele mai fiabile motoare pentru o masina pretabila deplasarilor zilnice,navetei ,orasului aglomerat,usor de condus si parcat.Ideala pentru livrari!Consum mic de carburant 4% benzina!
GARDA FOARTE MARE LA SOL ASTFEL INCAT POATE FII UTILIZATA CU SUCCES DE PERSOANE IN VARSTA SAU CU HANDICAP INTRUCAT ESTE UN MONOVOLUM.SE POATE UTILIZA SI PE DRUMURI MAI GRELE.
Cu o servisare corecta a consumabilelor se poate utiliza fara probleme pana la 600000 km!
-GARANȚIE 1 AN
DOTARI
-CLIMA
-servodirectie CU SERVOCITY-CONDUCI SI PARCHEZI USOR
-airbaguri cortina
airbaguri frontale
-oglinzi electrice
-geamuri electrice
-radio cd player originaL
-volan si scaune reglabile
-inchidere centralizata pe cheie CU TELECOMANDA SI ALARMA
ANVELOPE  NOI M+S
BENEFICIATI DE O REVIZIE ULEI SI FILTRE GRATUIT DIN PARTEA NOASTRĂ.
KM sunt REALI si VERIFICABILI prin AUTOPASS RAR DOCUMENT NECESAR INMATRICULARII PE CARE
V-IL OFERIM GRATUIT!
Toate mașinile noastre sunt achiziționate din surse sigure,verificate, fapt care exclude absolut toate problemele legate de autenticitatea actelor,km reali și starea tehnica a autoturismului ales de dvs.
GARANȚIE PENTRU MOTOR SI CUTIE 1 AN(ofertă supusă unor termene și condiții).
O masina economica cu revizii la zi, fara vicii ascunse,fiabila usor de condus si parcat.
Ideala pentru incepatori,transport copii -centuri isofix-perfect pretabila pentru naveta zilnica sau oras aglomerat.
Extrem de spațioasă atât pentru locurile din fața dar si pentru pasagerii din spate.
PORTBAGAJUL SE MODIFICA PENTRU SPATIU  PRIN RABATAREA BANCHETELOR DIN SPATE.
Consum redus 4% benzina
Nu dorim oferte de schimburi sau variante.
Relatii despre masina numai telefonic fara mesaje va rog.
Masina se vinde cu factura fiscala si certificat fiscal asiguram toate actele necesare de inscriere pe numele clientului.
INMATRICULARE RAPIDA pe numele clientului ,fara stres
ASUPRA DOCUMENTELOR sau STARII DE FUNCTIONARE A MASINII,COMOD SI CIVILIZAT.VA ASTEPTAM CU DRAG!
INTRUCAT DIN RESPECT PENTRU DVS, NE DORIM O TRANSPARENTA DEPLINA REFERITOR LA MASINA PREZENTATA,ATAT IN CEEA CE PRIVESC DOTARILE,PERFORMANTELE SI ORICE AMANUNTE LEGATE DE ACEASTA, PRECUM SI INFORMATII LEGATE DE TRANZACTIONAREA CATRE DVS A ACESTEI MASINI AM GASIT DE CUVIINTA SA VA OFERIM ACESTE INFORMATII DOAR TELEFONIC NEFIIND ACCEPTATE MESAJELE DE NICIUN FEL CI DOAR APELURILE DVS LA CARE VOM RASPUNDE CU PLACERE.VA MULTUMIM PE ACEASTA CALE PENTRU INTELEGERE
*În anunț pot apărea erori umane de descriere privind performantele,dotările autoturismului.Pentru detalii suplimentare ne puteți contacta telefonic.
USOR NEGOCIABIL DOAR LA FAȚA LOCULUI
AVEM SI ALTE MASINI ASEMANATOARE PE STOC CU CARTE DE IDENTITATE RAR EFECTUATA ADUSE GERMANIA SAU INMATRICULATE."
fiat,Grande Punto,2 650 €,1 300 cm³,N/A,Diesel,Hatchback,230 000 km,Negru,2013,Manuala,"Vand fiat grande punto 1.3d in stare foarte buna de functionare. Interior curat, se ofera fiscal."
