marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
ford,Mondeo,12 500 €,N/A,N/A,Benzina,Berlina,N/A,Negru,2017,Automata,"Vând: Ford mondeo vignale 2.0 benzină hibrid 170 cp +80 cp  motorul electric an de fabricație 2017
-faruri led adaptive
-scaune încălzite
-scaune ventilate
-ful electrice
-senzori parcare față spate
- camera marșarier
-oglinzi încălzite și rabatabile
-lane keeping assist
-pre-collision assist
-traffic sing recognition
-plus multe altele"
ford,Transit,6 990 €,2 198 cm³,101 CP,Diesel,Minibus,243 000 km,Albastru,2012,Manuala,"De vanzare Ford Transit recent import Olanda, motor 2.2TDDI 101CP 6+1 trepte viteze , an fabricatie 2012 , Euro 5 , 9locuri , 243.000km reali , vopsea originala , fara rugina , arata si functioneaza foarte bine , model AMBIENTE:
-imchidere centralizata din telecomanda
-geamuri electrice
-oglinzi electrice incalzite
-AER CONDITIONAT perfect functional
-comenzi volan
-computer bord
-pilot automat
-proiectoare ceata
-ABS ESP ASR
-parbriz incalzit
-ECO drive
-volan piele
-reglaj lumini electric
-car kit telefon
-bluethoot
-radio cd mp3 aux usb
Porneste sfert , fara erori , km reali , se emite factura si se trec km pe factura , GARANTIE, inmatriculat RO de 2zile, fiscal pe loc, , fara variante."
ford,Focus,6 390 €,1 500 cm³,120 CP,Diesel,Break,250 000 km,Alb,2016,Manuala,"Motorizare 1.5 120cp euro 6
Cutie manuala 6+1
Ediție Titanium !!!
Dublu climatronic
Sistem Navigație mare cu touchscreen
Comenzi volan
Pilot automat
Lineasist(citește semnele)
PACHET IARNA:
Volan încălzit
Scaune fata încălzite pe 3 nivele
Parbriz degivrabil electric
Parkasist
Start Stop
Autohold
Senzori unghi mort în oglinzile retrovizoare
Indicator de mers economic
Senzori lumini, ploaie și presiune pneuri
Volan piele multifuncțional
4x geamuri electrice
Lumini ambientale
Bord computer mare
Oglinzi pliabil electric
Cotiera fata spate
Scaune cu reglaj lombar
Ieșire USB
Bluetooth
Memori card
Geamuri ionizate
Pachet crom
Jante aliaj
Senzori parcare fata spate
Faruri și stopuri led
Paket crom
Proiectoare ceata
Stare foarte buna
Bare portbagaj tip crom
2 chei tip telecomanda
Euro 6 FARA ADEBLU !!!
Full dotari !!! A nu se compara cu cele parțial dotate !!!"
ford,Ranger,9 990 €,2 198 cm³,150 CP,Diesel,Pickup,230 000 km,Negru,2013,N/A,"Ford Ranger, autoutilitara N1 in stare foarte buna de functionare
-EURO 5
-4x2, 4x4, 4x4 reductor
-clima
-LED BAR
-jante aliaj r17 cu cauciucuri foarte bune de iarna CONTINENTAL
-Bena lunga XL
-scaune incalzite
-etc
FARA VARIANTE, FARA NUMERE ROSII SCOASE. La cerere se ofera transport la domiciliu. Detalii la telefon"
ford,EcoSport,8 690 €,1 000 cm³,125 CP,Benzina,SUV,106 000 km,Gri,2019,Manuala,"Ford EcoSport
1000cc
125Cp
START/STOP
- Senzori de Lumini si Ploaie
- Clima
– Radio CD/MP3
– Intrare USB si Auxiliar
– Asistenta la Franarea de Urgenta
- Pilot Automat
– Volan Piele
– Comenzi Volan
– Computer Bord
– Control Stabilitate (ESP)
– Oglinzi Incalzite
– Oglinzi Heliomate Reglabile Electric
– Geamuri Electrice Fata si Spate
- Cotiera
- Proiectoare Ceata
- Jante Aliaj
-Revizie completă efectuată
Kit Distribuție+ Ulei și filtre"
ford,Mondeo,10 750 €,1 992 cm³,150 CP,Diesel,Berlina,212 000 km,Negru,2017,Automata,"""  Urmăriți-ne pe Facebook la Promovări Auto Tg. Mureș pentru mai multe oferte!
Ford Mondeo ~2017~Side Assist ~Keyless ~Led ~Camera ~ Lane Assist ~GARANTIE 1 AN
Preț: 11.250 EURO
Specificatiile autoturismului:
An de fabricație 2017
KM: 212.000 - VERIFICABILI -
> Motorizare 2.0 l MOTORINǍ - 150CP
> Distributie inlocuita la 190.000KM
> Keyless Go + Entry / Memorie
> Side Assist / Scaune incalzite
> Apple + Android Carplay
> Park Assist / Bord Digital
> GARANTIE  12 LUNI fara limita de KM
Specificații tehnice:
Culoare: - NEGRU -
Combustibil: MOTORINĂ
Capacitate: 1998cmc
Putere: 150cp
Cutie de viteze AUTOMATA
Norma de poluare: EURO 6
12 luni garanție fără limită de kilometri
12 luni consultanță telefonică 24/7
12 luni asistență rutieră
Service-uri partenere cu acoperire națională în 48 de puncte de lucru!
Opțiuni de plată:
EURO se calculează comform Cursului BT (Banca
Translivania) din ziua facturării.
-Posibilitate de finanțare prin partenerul nostru TBI - BANK
-Posibilitate plată cash, avans, rate.
-Rate fixe cu posibilitatea de plată în avans încă din prima lună
-PFA, contracte de închiriere, maternitate, dividende
-Aprobare rapidă doar cu buletinul, transfer bancar sau rate
-Factura cu TVA inclus și nedeductibil - KM înregistrați pe factură
-Actele se întocmesc pe loc la sediul nostru, fără costuri suplimentare
-Acceptăm orice test autorizat
-Aprobare finanțare în 2 ore
POSIBILITATE FINANȚARE RATE PERSOANE FIZICE 5 ANI / PERSOANE JURIDICE 24 LUNI CU AVANS 0% PRIN TBI BANK
APROBARE ÎN CÂTEVA ORE DOAR CU BULETINUL
-KILOMETRAJ GARANTAT JURIDIC / Carte service digital / 2 chei / facturi / carte service
Pentru mai multe detalii și video FULL HD al mașinii, contactați-ne pe WhatsApp.
Accept orice test AUTORIZAT / REPREZENTANȚĂ ETC.
DOTǍRI:
Bord digital complet
Side Assist
Scaune electrice cu memorie
Navigație mare touchscreen
Lane Assist
Park Assist (parcare automată)
Cruise Control adaptiv
Tempomat clasic
Limitator de viteză
Start/Stop
Cameră marșarier
Senzori parcare față/spate
Traffic Sign Recognition
Senzori ploaie/lumină
Senzori presiune anvelope
Airbaguri frontale, laterale, cortină
ABS / ESP / Hill Start Assist
Scaune din piele
Scaune electrice cu memorie
Scaune încălzite
Volan sport multifuncțional
Bluetooth / USB / AUX / Apple CarPlay / Android Auto
Keyless Go + ENtry
Start/Stop button
Oglinzi electrice, încălzite, rabatabile
Oglindă interioară heliomată
Faruri Bi-Xenon adaptive
Spălătoare faruri
Stopuri LED
Climatizare automată 2 zone
Geamuri electrice față/spate
Jante aliaj
Hayon electric
Toate funcțiile și dotările sunt perfect funcționale
Mașină îngrijită, cu întreținere exemplară
Ideală pentru cei care caută un model facelift, bine echipat
Pentru mai multe detalii privind acest anunț, nu ezitați să ne contactați la: 07********41
sau pe strada Mureșeni nr. 11 - Tg. Mureș -
Pe baza seriei de șasiu, puteți verifica cu exactitate opțiunile mașinii direct la reprezentanța mărcii.
Descrierea autovehiculului este strict informativă. Pot exista erori umane de tipar (opțiuni, performanță motor, capacitate cilindrică, transmisie etc.).
Pentru orice nelămuriri legate de opțiunile prezentate, nu ezitați să ne contactați telefonic pentru detalii suplimentare!
Promovări Auto Tg. Mureș - Garanții și Servicii de Încredere pentru Autoturisme
Beneficii Incluse:
12 luni garanție fără limită de kilometri
12 luni consultanță telefonică 24/7
12 luni asistență rutieră
Service-uri partenere cu acoperire națională
Despre Autoturisme:
Autoturism testat și verificat: Toate autoturismele noastre sunt supuse unor teste și verificări riguroase, inclusiv drive-test, înainte de a fi listate pentru vânzare.
Firma autorizată: Oferim posibilitatea achiziționării unui autoturism cu plata pe loc sau printr-un sistem avantajos de rate fixe lunare în colaborare cu Banca TBI Pay.
Certificat de încredere: Suntem o firmă de încredere cu KM certificați și istoric complet al vehiculelor.
Numere roșii cadou: Oferim numere roșii și factură fiscală pe loc.
Servicii la Cerere:
> Livrare autovehicul pe platformă în toată țara ( contra cost )
> Eliberare numere provizorii
> Consiliere înmatriculare autovehicul
Tipuri de Garanție:
Garanție STANDARD > Inclusă în prețul afișat
Durată: 12 luni
Acoperire: Fără limită de kilometri
Componente incluse:
1. Motor - bloc motor, pistoane, cămăși, segmenți, bielă, cuzineți, arbore cu came, arbore cotit, chiulasă, garnitură de chiulasă
2. Cutie de viteze manuală, automată sau variabilă continuu CVT - Toate piesele interne lubrifiate
3. Diferențial - componentele interne ale diferențialului
Asistență rutieră în toată țara
Asistență telefonică disponibilă 24/7
Garanție CONFORT > Contra cost
Durată: 12 luni
Componente incluse: Toate elementele din Garanția Standard plus:
1. Motor - bloc motor, pistoane, cămăși, segmenți, bielă, cuzineți, arbore cu came, arbore cotit, chiulasă, garnitură de chiulasă
2. Cutie de viteze manuală, automată sau variabilă continuu CVT - Toate piesele interne lubrifiate
3. Diferențial - componentele interne ale diferențialului 3. Turbosuflantă
4. Supapă EGR
5. Injectoare
6. Sistemul de evacuare - piese electronice ale sistemului de evacuare
7. Sistem de alimentare - Pompa de combustibil
8. Instalația electrică - Demaror de motor, alternator, bobină de aprindere, regulator de tensiune a bobinei, releu întrerupător de semnalizare, motoare ștergătoare și spălător
9. Instalația de frână - Cilindru principal de frână, role de frână, supapă
limitatoare a efectului de frână
Asistență rutieră în toată țara
Asistență telefonică disponibilă 24/7
Promovări Auto Tg. Mureș vă asigură autoturisme de calitate, cu garanții și servicii care vă oferă siguranță și confort!"
ford,Focus,4 390 €,1 997 cm³,163 CP,Diesel,Break,236 670 km,Albastru,2014,Automata,"TEL // 07******16//
Recent  întrată în țară
Nu sa scos niciun Nr roșu!!
Import Germania 100%
Culoare originală
Fără rugină
Nu este vopsită  nici revopsită
Ofer trasport dacă este nevoie
Contra cost!!
Preț : 4390€€
Cer și ofer seriozitate..
Fără oferte absurde!!
Motor cutie impecabil Top!
Ulei filtru cutie viteze
Schimbat recent nou!!
Ford Focus St line model
An fabricație 2014
Euro 5
Motor 2.0 tdci
163 Cp
Cutie automată
Schimbă perfect
Jante R18 zool
Pachet crhome
Km 236670 reali 100%
Carte service + tüf germania 2027
Dotări:
-tapiserie textil impecabila
-oglinzi rabatabile electric
-scaune fata incalzite
-oglinzi încălzite
-keyless go
-dublu climatronic
-scaun sofer reglabil electric
-lumini ambientale
-asistenta plecare din rampă
-lunetă încalzită
-priza portbagaj 12v
-banchete rabatabile
-jante aliaj 18 originale stare f buna
-pilot automat/limitator
-comenzi pe volan
-volan piele
-cotiera piele
-scaune incalzite
-proiectoare ceață
-Carlig de remorcare la buton"
ford,Fiesta,2 550 €,1 388 cm³,100 CP,Benzina,Berlina,259 000 km,Gri,2010,Manuala,"*FORD FIESTA -1.4 Benzina +Gaz) ‼️
( GPL OMOLOGAT ) din Fabrica
*Echipare Tittanium FORD
*An 2010 ‼️ EURO 4
*Manual 5+1 viteze
*Klimatronik ( funcțională)
*Faruri Xenon / Stopuri LED
*4 Geamuri electrice
*Oglinzi electrice
*Linie Audio FORD
*Vopsea Originală ‼️
*Fara RUGINA ‼️
Sau Accident
*Culoare Deosebita GRII ANTRACIT Metalizat
*Interior îngrijit Curat
(Fără UZURA) normal pt anii eii de Fabricație
*MOTORUL MERGE PERFECT ‼️
Km parcurși realii
*Specificați în Factura
*2 Chei FORD
( GAZ funcțional )
ATENȚIE ‼️
*Butelie de 42 L-Valabila pina în 07 / 2030 ‼️ Valabila
*Schimbata în 07/ 2020
*Jante Orig de FORD
( Cauciucuri Vara f.bune ) 15 tolii
*IMPORT RECENT ITALIA ‼️
*Se poate scoate NR 90zile Roșii pe loc ‼️
*Deținem NR PROBE pt TEST sau VERIFICARE ‼️
*LIVRARE GRATUITA ACASA ‼️‼️
*Ideala pt Oraș ( Consum Redus ) + AVANTAJ GPL ‼️
INFO TELL ‼️
*Se poate Obține prin Finanțare RATE ‼️
*Tby Bank
*Mogo Bank
*Revizii Noii ‼️
Ulei + Filtru"
ford,Focus,3 599 €,1 560 cm³,N/A,Diesel,Break,244 000 km,Gri,2012,Manuala,"Ford Focus Mk3 Titanium
1.6tdci diesel
Euro5
6+1trepte
2012
Aer condiționat
Geamuri electrice
Inchidere centralizata
2 key
Cauciucuri ca noi
Radio Cd cu Mp3
Conectare HANDS-FREE bluethoot
Comenzi volan
Volan piele reglabil
Computer bord
Comenzi volan
Abs
ESP
Servodirectie
Import Olanda
3999e
Tg.Neamt"
ford,Tourneo Connect,8 800 €,1 500 cm³,120 CP,Diesel,Monovolum,235 000 km,Gri,2016,Manuala,"FORD TOURNEO CONNECT 1.5TDCI 120cp 6+1 VITEZE *11/2015* IN STARE IMPECABILA TEHNIC SI OPTIC
MODEL *TITANIUM* CU 7 LOCURI - DOTARI DE TOP DIN GAMA LUI
AUTOTURISM IMPORTAT DE LA UNIC PROPRIETAR NEFUMATOR - FOARTE INTRETINUT
KM VERIFICABILI IN RETEAUA *FORD* - SERIE SASIU : *WF0UXXWPGUFJ42748*
CULOARE ORIGINALA *TITANIUM GREY* - INTERIOR TEXTIL NEGRU INTRETINUT
MOTORIZARE *DuraTorq* EURO 6 / TRANSMISIE / ARTICULATII FARA DEFECTE - FARA ERORI IN BORD
DOTARI :
-Abs / Esp / 10xAir-Bag / Servotronic / Front Collision Assist
-Senzori Parcare / Ploaie - Lumini / Presiune Pneuri
-Camera Marsarier + Camera Parbriz
-Pilot Automat cu Functie Franare
-BordComputer Color
-Dublu Climatronic
-Interior Textil 7 Locuri Intretinut
-Volan Piele Reglabil + Comenzi
-Cotiera Piele Fata-Spate + Suport Pahare si Masuta in Spate
-Sistem de Navigatie 3D *FORD MICROSOFT SYNC* Touch Screen Full Europe
-Sistem Audio cu DVD + Aux + Mp3 + Usb
-Comenzi Vocale + Telefon Bluetooth + Bluetooth Audio
-Trapa Panoramica
-Oglinzi Retrovizoare Electrocromatice Pliabile Electric
-Parbriz cu Degivrare Electrica
-Geamuri Fumurii Spate Originale (Privacy Glass)
-Packet Lumini Interior / Exterior - Follow Me Home
-CromPacket Exterior
-Alarma Originala *FORD*
-Functie ECO - Start/Stop la Semafor
-Jante Aliaj Originale *FORD* 16'
-Roata Rezerva Originala + Cric + Cheie
-2 Chei Tip Briceag
MAI MULTE POZE SI DETALII TELEFONIC SAU WHATSAPP LA NUMARUL DIN ANUNT !
AUTOTURISM FOARTE INTRETINUT CU ISTORIC LA VEDERE !
RAPORT CARVERTICAL VERDE FARA DAUNE SAU MODIFICARI LA KILOMETRAJ !
ACCEPT ORICE TEST AUTORIZAT !
NU AU FOST SCOASE NUMERE ROSII !
VARIANTE EVALUATE CORECT - NU VA SUPRAEVALUATI AUTOTURISMELE !"
