marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
honda,CR-V,27 500 €,1 993 cm³,184 CP,Benzina,Hatchback,62 000 km,Maro / Bej,2020,Automata,"De vanzare Honda Crv Hybrid Executive 4x4-184hp
Bucuresti.
Primul proprietar achizitionata de la Asko Group.
Km 62.000 km.
Revizie la 59.000 km pe 25.08.2025 la reprezentanta Asko,carte service.
An fabricatie 2019 inmatriculata in 2020 ianuarie.
Motorizare benzina 1993 cmc,cutie automata.
Masina a fost folosita doar in oras.
Consum 6,5-7%
Fara incidente,accept orice test.
Pret 27.500 Euro
Detalii la tel 07******14"
honda,CR-V,12 900 €,1 600 cm³,160 CP,Diesel,SUV,324 000 km,Gri,2017,Automata,"HONDA CR-V, 4x4, 1.6 Diesel, 160hp, 324.000km
– prima inmatriculare 2018
- consum redus 8.2% mixt
- ideal pentru familie, drumuri lungi sau oras
- confort sporit, siguranță avansată și tehnologie modernă
- stare buna de functionare (masina face zilnic naveta la Bucuresti)
- echipare completă:
•	Climatizare automată pe două zone
•	Tapiterie piele + scaune față încălzite
•	Cruise control și limitator de viteză
•	Senzori parcare față/spate și cameră marșarier
•	Faruri LED, lumini de zi LED și spălător faruri
•	Bluethooth, USB, hands-free și touchscreen
•	Oglinzi electrice, încălzite și rabatabile
•	Geamuri electrice fata/spate
•	Funcție Hill Descent Control și Hill Holder
•	ABS, ESP, airbaguri frontale, laterale și cortină
•	ISOFIX și sistem de frânare de urgență urbană
•	Praguri
•	HDD Aprinderea automata a farurilor (senzor de lumina)
Masina se poate vedea si testa oricand"
honda,Civic,5 200 €,1 339 cm³,90 CP,Benzina,Berlina,51 000 km,Gri,2008,Automata,"Honda Civic Sedan 2008 1.3 benzina hibrid 51.000km reali istoric (masina este intr o stare foarte bună)
Serie caroserie JHMFD36208S205901
-Sistem IMA (integrated motor assist)
-Motor 1,3 benzina /electric
-Cutie automata CVT
-Servodirectie asistata electric, progresiva
-Distribuție pe lanț
-Incalzire in scaune
-Geamuri electrice Fata+Spate
-Oglinzi electrice si incalzite
-Funcție start-stop la semafor
-Comenzi volan
ABS-ESP-VSA (VEHICLE STABILITY ASSIST)
-Pilot automat
-Jante aliaj originale Honda cu cauciucuri de vară
-cd/mag 6 cd-uri
-8 airbag-uri
-Recent efectuată revizia ulei filtre/plăcuțe de frâna față spate
-se accepta test autorizat"
honda,Civic,11 999 €,988 cm³,129 CP,Benzina,Coupe,135 000 km,Alb,2017,Automata,"Honda Civic 1.0 i-VTEC Turbo CVT Executive – un singur proprietar, stare excelentă, service doar la Honda
Vând Honda Civic cumpărată nouă, cu un singur proprietar (eu), întreținută exemplar și doar la reprezentanța Honda Baia Mare. Mașina are istoric complet de service, verificabil atât în cartea tehnică, cât și în sistemul reprezentanței.
Lucrări importante făcute la timp:
Motor înlocuit la 103.000 km, în cadrul unei campanii oficiale Honda (defect de fabricație recunoscut).
Discuri de frână schimbate la 115.000 km.
Volantă înlocuită la 130.000 km.
Radiator AC schimbat la 133.000 km.
Reparații recente (CASCO – noiembrie 2025):
Eliminat complet urmele de grindină.
Bara față înlocuită.
Elemente cu mici zgârieturi – revopsite profesional.
Mașina arată acum excelent.
A fost mașina noastră de familie și am avut grijă de ea maxim, orice zgomot suspect sau martor aprins = direct în service. N-a apucat niciodată să sufere în tăcere.
Tehnic este perfect întreținută, iar estetic este în stare excelentă după reparațiile CASCO.
Prezintă doar urme minore de uzură normale pentru vârstă și kilometri.
Motivul vânzării: vine al treilea copil și nu putem pune 3 scaune cu isofix în spate. Trecem la un monovolum."
honda,CR-V,3 000 €,2 204 cm³,120 CP,Diesel,SUV,373 000 km,Albastru,2007,Manuala,"Honda C-RV 10/2007, diesel, 4x4, cui remorca, doua randuri de jante, navigație, conectare bluethoot pentru hands free, ecran mare tactil, senzori parcare, camera marsalier."
honda,Civic,18 500 €,1 498 cm³,134 CP,Benzina,Hatchback,121 615 km,Gri,2020,Automata,"Vand masina HONDA CIVIC full dotata, al doilea proprietar.
Pentru mai multe informatii la 07******23."
honda,CR-V,10 900 €,2 197 cm³,150 CP,Diesel,SUV,227 000 km,Negru,2013,Manuala,"Înmatriculată 2014, Istoric de service complet + facturi pentru toate operatiunile efectuate
Km in crestere
Utilizata doar in regim extraurban
Nu necesita investitii
Dotari:
Servodirectie asistata electric, progresiva
Imobilizator electronic pornire motor
Inchidere centralizata cu telecomanda incorporata in cheie
Modul cheie cu actionare geamuri si plierea oglinzilor
Computer de bord Multi Info Display (i-MID) cu comenzi pe volan
Control automat viteza croaziera (Cruise Control)
Climatizare dubla zona cu reglaj automat si filtru de polen
Ventilatie pentru pasagerii din spate, incorporata in cotiera fata
Tapiterie mixta Piele + Alcantara
Scaune fata incalzite
Volan multifunctional, imbracat in piele, reglabil pe inaltime si adancime
Levier schimbator de viteze imbracat in piele
Oglinzi asferice, incalzite, reglabile si pliabile electric
Geamuri electrice fata / spate
Geamuri fumurii spate
Lampi semnalizare incorporate in oglinzile exterioare
Lumini de intampinare (Coming Home/Leaving Home Function)
Faruri Bi - Xenon (HID), reglabile automat pe inaltime
Spalator faruri cu jet de apa sub presiune
HSS (Highbeam Support System) + ACL (Active Cornering Light)
Proiectoare ceata + Lampa ceata spate
Lumini de zi cu led (DRL)
Cotiera fata cu priza de 12V + priza 12 V in consola centrala
Cotiera spate rabatabila, cu suport de pahare
Oglinda parasolar cu iluminare sofer / pasager
Oglinda retrovizoare centrala cu reglare automata a cromatismului
Suport ochelari
Airbag-uri frontale si laterale sofer/pasager
Airbag-uri tip cortina cu sensor la rasturnarea autovehiculului
Tetiere active fata
Centuri de siguranta: 5 centuri de siguranta cu prindere in 3 puncte, pretensionate si reglabile pe inaltime sofer / pasager
VSA (controlul tractiunii si stabilitatii)
TSA (controlul stabilitatii la tractarea remorcii)
Jante aliaj 18""
Anvelope 225/60 R18
Roata de rezerva de dimensiuni reduse (uz temporar)
HSA (Asistenta la plecare din rampa)
ABS + EBD (distributia electronica a fortei de franare) + EBA (asistare la franarea de urgenta)
ESS (atentionare franare urgenta)
Sistem ISOFix pentru fixare scaun copil
Sistem de monitorizare a presiunii rotilor
Oglinda de observare a banchetei spate
Portbagaj iluminat, cu carlige de ancorare si priza 12V
Scaun sofer cu suport lombar, reglabil manual pe 6 directii
Scaun pasager cu suport lombar, reglabil manual pe 6 directii
Buzunare spate scaun sofer / pasager
Bancheta spate rabatabila (divizata 60:40)
Lumina citire documente (anterioara)
Torpedou iluminat
Lumina de curtoazie
Lumina ambientala plafon/portiera/zona picioare sofer si pasager
Radio CD RDS MP3/WMA integrat cu 6 incinte acustice+Subwoofer
Conectare dispozitiv audio auxiliar (Video + USB)
Antena radio - tip ""Shark fin""
Ornament cromat placuta inmatriculare
Bare plafon cromate + manere usi vopsite in culoarea caroseriei
Ornamente manere interioare usi cromate
Protectie portbagaj
Stergatoare cu temporizator si senzor de ploaie
Indicator de schimbare optima a treptelor de viteza (SIL)
Sistem Idle Stop (Oprire la semafor)
Sistem Hands-Free Bluetooth cu comanda vocala*
Sistem de navigatie HDD
Camera de vedere pentru mersul inapoi
Senzori parcare fata spate
Sistem de alarma
Anvelope MICHELIN CrossClimate 2 in stare foarte buna
Recent efectuat schimbul de filtre si ulei, schimbat ambreiaj.
Pret usor negociabil.
Fara schimburi.
Mai multe detalii la telefon."
honda,Accord,4 150 €,2 200 cm³,150 CP,Diesel,Berlina,360 000 km,Alb,2011,Manuala,"De vânzare  !!
Honda Accord 2.2 Cdti, 150 Cp
An fabricatie 2011
Unic proprietar in Romania  !
Dotări standard și opționale:
• Sistem de frânare ABS
• Airbag-uri frontale și laterale
• Sistem de control al tracțiunii (TCS)
• Climatizare automată pe două zone
• Oglinzi laterale reglabile electric
• Sistem audio cu CD și MP3
• Volan multifuncțional reglabil pe înălțime și adâncime
• Jante din aliaj de 17 inch
• Navigație GPS integrată
• Scaune față încălzite și reglabile electric
• Interior din piele de calitate superioară
• Senzori de parcare față și spate
• Cameră video pentru mersul înapoi
• Sistem de iluminare adaptiv (faruri bi-xenon)
• Sistem de sunet premium cu subwoofer
• Cruise control adaptiv
Se oferă fiscal în momentul achiziției.
Accept și unele variante  !!"
honda,CR-V,2 950 €,2 204 cm³,140 CP,Diesel,SUV,239 789 km,Albastru,2006,Manuala,"Honda CR-V 2.2 Diesel
Km reali: 239000 km in creștere
Cutie manuala
4x4 permanent
Aer condiționat
Navigație/ Bluetooth
Geamuri electrice
Jante aliaj + anvelope vara
Jante aliaj + anvelope iarna
Cârlig de remorcare
Roată de rezervă originală
Schimb Ulei filtre efectuate la zi
Masina tehnic si estetic foarte intretinuta
ITP valabil, acte la zi"
honda,Civic,4 800 €,1 799 cm³,140 CP,Benzina,Hatchback,121 000 km,Rosu,2008,Manuala,"Honda civic VIII
-an fabricatie 2008
-prima inmatriculare 16.06.2009
-motorizare 1.8 i-Vtec 140 cai putere (cea mai fiabila+puternica)
-norma poluare euro 4
-interior alcantara
-oglinzi incalzite+pliabile electric
-geamuri electrice fata/spate
-multitudine de comenzi pe volan
-pilot automat
-indicator condus ecologic+schimbare trepte viteza
-aux (jack)+usb
-ABS,ESP
-alarma
-clima AC
-senzori lumina si ploaie
-6 airbag-uri
foarte ingrijita
km reali verificabili
stare perfecta mecanic,
RAR EFECTUAT, ARE CARTE DE ROMÂNIA"
