marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
hyundai,Kona,12 500 €,1 500 cm³,150 CP,Benzina,SUV,8 600 km,Verde,2025,Manuala,"2 chei, climatronic, Navi , scaune încălzite , senzori parcare, senzori lumini, senzori ploaie, pilot automat etc , cumpărată din reprezentanta România , unic proprietar.Avaria consta în uși și plafon.Detin piesele pentru reparație.Nu are airbag uri sarite"
hyundai,Tucson,3 990 €,1 991 cm³,140 CP,Diesel,SUV,263 000 km,Rosu,2007,Manuala,"Inmatriculat in Romania doar cu transcriere ofer certificat fiscal . . .
Inspectia tehnica ITP valabil 24 / 03 /2026
- Asigurare ~ RCA ~ valabil 01 / 11 / 2025
- Rovineta valabil 01 / 11 / 2025
Hyundai Tucson ~ 4 WD  ~ 4 x 4 ~ permanent + LOCK ~ DIFERENTIAL BLOACABIL ~
Norma de poluare EURO 4 ( cu dovezi ) motor de 1991 CM 3 ~ DIESEL ~ , 140 CP , 6 + 1 viteze, consum 6 ,l/ 100km reali ! ! !
Singur proprietar ( PRIVAT )
CUTIE DE VITEZA MANUALA 6 + 1 VITEZE ~
Motor foarte puternic si silentios ! ! !
Nu bate nimic pe masina ,nu suna nici rece nici cald ! ! ! estetic foarte bun ! ! ! interior ca nou ! ! ! FARA RUGINA
Seria de sassiu : KMHJN81VP7U719072
An de fabricatie 16 - 10 - 2007
--- ACCEPT ORICE TEST ( mai ales la Reprezentanta )
~~~ 263 340 Km verificabile 100 % REALI ~~~
FARA SCHIMB SAU VARIANTE
Atentie pozele vorbesc cer si ofer seriozitate pentru oameni pretentiosi ! ! ! RARITATE ! ! !
Va rog sa nu ma ezitati cu intrebarea . . . Cat e ultimul pret . . .
- climatronic conditionat ~ functionabil ~
- radio CD - player ~
- 4 x geamuri electrice
- oglinzi electrice
- oglinda interioara HELIOMAT
- 4 airbag sofer + pasager
- ABS, ESP
- proiectoare de ceata
- volan reglabil
- scune reglabile
- servo
- inchidere centralizata pe cheie
- roata de rezerva NORMALA aliaj origina"
hyundai,ix35,10 990 €,1 998 cm³,N/A,Diesel,SUV,147 000 km,Argintiu,2014,Automata,"**Anunț vânzare Hyundai ix35 2.0 CRDi 4x4**
Test drive disponibil.
Finanțare prin rate TBI Bank.
**Condiții de finanțare:**
- Persoane fizice:
- Vârstă minimă 20 de ani
- Angajat cu vechime minimă 6 luni
- Sumă maximă finanțabilă 16.000 euro (curs BNR)
- Istoric negativ în Biroul de Credit (creditul trebuie achitat)
- Contracte de muncă din străinătate:
- Vechime minimă 6 luni
- Ultimele 3 luni documente (fluturași/extras de cont + contract)
- Venituri din diurnă
- Pensionari: vârstă maximă 70-75 de ani
- Persoane juridice (SRL, PFA)
**Detalii autoturism:**
- Locație: Bacău
- An fabricație: 2014
- Normă poluare: Euro 5
- Kilometraj: 147.000 km
- Serie șasiu: TMAUJ81VDEJ478416
- Preț: 11.900 euro
- Motor: 2.0 Diesel, 4x4
**Dotări:**
- Navigație
- Panoramic sticlă trapă
- Cameră marsarier
- Sistem 4x4 cu blocare
- Buton asistență coborâre pantă
- Scaune încălzite față și banchetă spate
- Interior piele
- Sistem Isofix scaun copii
- Pilot automat
- 12 airbag-uri
- Comenzi volan radio CD
- Mod Eco consum redus
- Start-Stop
- Proiectoare ceață
- Lumini de zi
- Climatronic dublu
- Geamuri fumurii
- Computer bord complet
- Car kit Bluetooth telefon
- USB
- Radio CD MP3
- Senzori lumină/ploaie
- Park Assist față-spate
- Proiectoare în bară
- 4 geamuri electrice blocabile copii
- Oglinzi electrice încălzite heliomate
- Oglinzi retractabile electric
- Oglindă busolă antiorbire electrică
- Alarmă din fabrică
- 2 chei
- Închidere centralizată
- Volan reglabil (3 moduri condus)
- ABS, ESP
- Jante aluminiu
- Senzori parcare față-spate
Pentru verificări suplimentare și detalii despre finanțare, vă rugăm să ne contactați telefonic sau la sediul nostru.
*Anunțul poate conține mici inexactități. Pentru confirmare, vă rugăm să ne contactați.*
**Contact:**
Telefon: 07******31
Program vizionări: Luni-Vineri 9-18, Sâmbătă 9-12"
hyundai,Tucson,4 600 €,1 991 cm³,140 CP,Diesel,SUV,248 000 km,Negru,2007,Manuala,"Hyundai Tucson
-motor 1991 cmc
-an fabricatie 2007
-Euro 4
-140 cp
-6viteze(consum mic)
-4×4 la buton
Dotari:
*clima automata perfect functional
*computer de bord
*4 geamuri electrice
*10 airbaguri
*interior recaro
*cotiera fata spate
*senzori de parcare
*volan reglabil
*parasolar parbriz fumuriu
*scaune reglabile pe inaltime si lombar
*banchete rabatabile
*faruri reglabile
*proiectoare ceata
*deschidere dubla luneta spate
*inchidere centralizata de pe telecomanda+activare alarma
*2chei
*pilot automat
*linie audio originala
*jante originale hyundai
Avantaje:
+doar 248000 km verificabili cu istoric
+este 4x4 +diferential blocabil la buton
Nu necesita investitii majore ,doar revizia periodica Distribuția schimbata la 220.000km
Nu confundati cu masinile cu km foarte multi si neverificati ori  modelul 4x2 sau euro3 !!
Recent adusa in tara din Franța
Fără rugina
++.Nu s-a scos nr rosii
Masina functioneaza perfect ACCEPT orice test pe orice fel de drum
+++Ofer seria de sasiu daca doriti pt verificare km
Trimit mai multe poze sau video pentru cei interesati
-La cerere,contra cost pot scoate numere rosii si se poate face cartea RAR
Sau
-Ajut cu transportul pe platforma
Pret usor neg FARA VARIANTE"
hyundai,Kona,16 500 €,998 cm³,120 CP,Benzina,Hatchback,27 000 km,Rosu,2021,Manuala,Hyundai 1.0 an fabricație 2021 înmatriculată 2023.Masina vine echipată cu două seturi de jante cu cauciucuri 1 vara 1 iarnă.27.000km
hyundai,Santa Fe,10 750 €,1 995 cm³,150 CP,Diesel,SUV,277 130 km,Negru,2014,Manuala,"Hyundai Santa Fe
An fabricatie 2014
Motorizare Diesel
Capacitate cilindruca 2.0 litri
Putere 150 cai
Interior piele neagra complet
Transmisie manuala 6+1 trepte
Km 277130
Culoare negru metalizat
Inmatriculat
Itp recent !!!
Dotari :
Cauciucuri ALL Season cu fulg noi DOT 28/25
Jante 18
Keyless GO / Entry ( masina se deschide si se porneste cu cheia in buzunar )
Pachet crom complet
Xenon adaptiv
Comenzi volan
Camera marsarier
Incalzire volan
Incalzire scaune fata
Incalzire bancheta spate
4 geamuri electrice
Oglinzi pliabile electric
Clima doua zone
Navigatie Android
Dezaburire parbriz
Dezaburire luneta
Cotiera piele fata spate piele
Isofix
Senzori ploaie
Senzori parcare
Faruri automate
Masina nu necesita nici o investitie.
Se vinde doar cu perfectarea actelor !
Accept schimburi doar cu auto mai ieftine si diferenta !"
hyundai,Santa Fe,6 990 €,2 198 cm³,184 CP,Diesel,SUV,185 000 km,Negru,2009,Automata,"Vând Hyunday Santa Fe, impecabil, 2,2 CRDI, 185 cp, fabricație 2009, 185000 km.
Accept orice test la orice service și scad din preț ce trebuie înlocuit
Motor 2,2 crdi - 185 cp consum mediu 9%
Navigație Lenovo
Cameră marșarier
Senzori parcare spate
Cutie automată
Faruri Led
Distribuție înlocuită
Direcția, inclusiv telescoape și flanse  noi
Interior piele crem
Trapa
Pilot automat
Anvelope vară+ 4 anvelope iarnă
Praguri inox
Jante aliaj 18’’
Mașină foarte îngrijită, robustă, puternică, spațioasă, stabila și ușor de condus"
hyundai,ix35,5 950 €,1 996 cm³,140 CP,Diesel,SUV,250 000 km,Alta culoare,2011,Manuala,"Hyundai ix35 4x4 ~
Motorizare : 2.0Crdi 140CP
An Fabricației : 2011 EURO 5
Adusa recent sa scos primul set de nr rosii valabil 30 de zile
Ruleaza impecabil si arata foarte bine merită vazuta .
Dotari :
- Pilot Automat
- Geamuri Electrice
- încălzire in Scaune
- Climatronic
- Computer de bord
- Jante Aliaj
- Pornire Start/Stop
- Inchidere centralizată
- Bluetooh , AUX Radio/cd
- Senzori Parcare Fata spate
- Carlig Remorcare
- Proiectoare ceață
Pret Negociabil ,"
hyundai,Santa Fe,9 900 €,2 199 cm³,197 CP,Diesel,SUV,226 300 km,Negru,2014,Manuala,"Pretul este negociabil.
Se vinde Hyndai Santa Fe 2014 intr-o stare foarte buna. Toate scanule incalzite electric, oglinzi retrovizorii reglabile electric, pilot automat, carlig de remorcare, 2 seturi de anvelope vara/iarna, 226.300 km reali. Masina a fost intretinuta si facute reviziile la zi. Consum 6-8 litri extra urban."
hyundai,Terracan,1 450 €,2 900 cm³,150 CP,Diesel,Off-road,330 000 km,Maro / Bej,2005,Automata,"Vând Hyundai Terracan avariat
4x2 /4x4 Greu /usor decuplabile la buton .
Motor /cutie funcționează fără probleme
Caroserie fără rugina , fără suduri .
Șasiu sablat și recondiționat .
Distanțiere față -spate
Snorkel
Kit înălțare
Mp5 player cu bluetooth, USB ,auxiliar și card
Cutie automată care schimbă ireproșabil
Baterie nouă
Necesită schimbat :
Airbag-uri frontale
Bară
Întărituri bară față
Basculă dreapta
Aripă
Nu am timp să mă ocup de ea .
Se vinde doar cu perfecționarea actelor /fiscal pe loc .
Este modelul omologat cu 5 locuri .
La cerere se poate da video pornire /motor .
Pentru mai multe detalii contactați telefonic ."
hyundai,ix35,6 990 €,1 995 cm³,184 CP,Diesel,SUV,246 000 km,Negru,2010,Automata,"# Full Automobile Bacau #
Garantăm starea și funcționalitatea excelentă a autoturismelor noastre, având reviziile efectuate periodic
Raport CAR VERTICAL gratuit
Oferim transport în limita a 200 km la domiciliu clientului sau numere rosii contra cost
Oferim consultanta în vederea înmatriculării și R.A.R în județul Bacău
Dotari:
•Geamuri electrice fata si spate
•Oglinzi incalzite electric
•Computer de bord
•Pilot automat
•Senzori de parcare
•Dublu climatronic
•Volan reglabil
•Comenzi volan
•Navigație
•Sistem audio, CD player
•Incalzire in scaune
•Cotiera fata si spate
•Suport pentru pahare
•ABS, ESP,
•Servodirectie
•10 airbag-uri
•Inchidere centralizata din telecomanda
•Faruri reglabile electric
•Proiectoare de ceata
•Jante de aluminiu
•Interior piele
•Două cheii
•Roata rezervă
•multe alte opțiuni !!!
Anuntul cu privire la descrierea autoturismului este informativ! Se pot strecura erori, greseli de scriere. Pentru mai multe detalii va rugam sa ne contacti telefonic si sa stabilim o programare !"
hyundai,Tucson,15 650 €,1 995 cm³,185 CP,Diesel,SUV,197 000 km,Negru,2017,Automata,"Hyundai Tucson 2.0 Diesel
An fabricație 2017
Prima înmatriculare 06.06.2017
-km 197000
-Tracțiune integrala 4X4
-Blocant central la buton (4x4 Lock)
-Cutie viteze automata
-Motorizare 2.0 Turbo Diesel 185 cp
-Plafon panoramic cu deschidere trapa
-Dublu Climatronic cu afisaj pe display
-Camera marșarier cu afișaj pe navigație
-Volan încălzit
-Cârlig remorcare original
-Lunetă încălzită
-Moduri de condus
-Lane assist- mașină menține poziția de mers( viteza singura )
- Keyless go- pornire cu cheia în buzunar
- Keyless entry- deschidere/ închidere cu cheia în buzunar
-Senzori de parcare față-spate
- Încălzire in scaune pe 3 nivele
-Bancheta spate încălzită pe 2 nivele
- Sonorizare premium
- Volan multifuncțional
- Geamuri negre din fabrica
-Faza scurtă Led
-Funcție cornering Led
- Lumini de zi led
-Lumini spate led
-Senzori de lumina-faruri automate
- Semnalizari Led oglinzi
- Asistenta la urcare și coborâre ( la fiecare plecare in rampa sau panta se blochează rotile pt siguranța și confortul șoferului)
-Tapițerie din material textil+ cusături albastre fără urme de uzură
-Pilot automat(Tempomat)
-Computer de bord
-Jante bicolore pe 19 inch, anvelope M+S 2024
-Senzori de lumini/ploaie
-Proiectoare de ceață
-Sistem Navigație multimedia Full Europa inclusiv România
- 4 x Geamuri electrice blocabile pentru copii
- Oglinzi electrice incalzite si heliomate
-Oglinzi rabatabile electric
-Volan reglabil
- 2 chei (comenzi pe cheie)
- Cotiera cu spațiu de depozitare
-Esp decuplabil la buton
-Consum motorina: 4 extern, 5-6 urban
197000 km- 100%reali verificabili
-Revizii și service exclusiv în reprezentanta Hyundai
-Ofer serie Vin la cerere
-Autoturismul se prezintă în perfecta stare tehnica și estetica
-Toate actele necesare înmatriculării se finalizează în ziua vânzării
-Nu accept schimburi"
hyundai,i30,5 750 €,1 389 cm³,101 CP,Benzina,Coupe,187 000 km,Rosu,2014,Manuala,"Hyundai i30
Facelift
An fabricatie: 04.2014
Putere: 101CP
Motor: 1.4
Kilometraj: 187.000 km reali
Cutie manuala 6+1 trepte
Aer conditionat
Extraoptiuni:
Navigatie
Alarma
Faruri cu lupa
Lumini de zii led
Senzori presiune roti
Radio CD MP3 / AUX / USB
Comenzi pe volan
Geamuri electrice fata
Olginzi cu reglaj electric
Pilot automat
Jante aluminiu r15 de vara
Jante tabla cu cauciucuri de iarna noi
Toate schimburile facute la zii inclusiv baterie noua
Import germania un singur propietar de noua mai multe detali la telefon 07******22"
hyundai,Tucson,3 800 €,1 986 cm³,140 CP,Diesel,SUV,213 102 km,Negru,2008,Manuala,"NU ACCEPT SCHIMB !!
NU DERANJATI INUTIL !!
PRET USOR NEGOCIABIL !!
NU S-AU SCOS NR ! Ajut la transport cu platforma.
CADOU !!! Jante aluminiu originale cu anvelope iarna aproape noi !!
Hyundai Tucson 4x4 2.0diesel 140CP
6 trepte
Km reali. Carte service. Detin dovezi.
Geamuri electrice
Oglinzi electrice incalzite
Oglinda heliomata
Climatronic
Computer bord
Incalzire scaune
Pilot automat
Parbriz incalzit
4x4 la buton
Carlig remorcare
Doua chei
Cadou jante aluminiu originale cu anvelope foarte bune
Masina recent adusa,intr-o stare foarte buna atat estetic cat si mecanic.
Masina e frumoasa, merita vazuta."
hyundai,Tucson,23 800 €,1 598 cm³,258 CP,Plug-In Hybrid,SUV,100 350 km,Gri,2022,Automata,"HYUNDAI TUCSON – SUV plug-in hybrid din 2022 ideal pentru familii sau cei care caută eficiență și performanță într-un pachet elegant.
TVA deductibil 19.669 euro + TVA
Prima înmatriculare: 05.09.2022
Serie sasiu: TMAJD812DNJ123116
Autonomie electrică: 63 km
Consum mediu: 18.7 kWh/100 km
Android Auto și sistem de navigație integrat
Climatizare automată pe două zone
Asistență la menținerea benzii și recunoaștere semne trafic
Cameră marșarier
Jante aliaj 18""
Geamuri spate fumurii
Pilot automat
Ceasuri bord digitale
Faruri LED
KEYLES GO/ Keyless entry
Carlig de remorcare
Toate informațiile din acest anunț urmează să fie confirmate împreună cu vânzătorul."
hyundai,Tucson,14 999 €,2 000 cm³,N/A,Diesel,SUV,129 640 km,Alb,2018,Automata,"Hyundai Tucson 4x4, an fabricatie 2018 motorizare 2.0d euro 6, rulaj 129640 km, originali, garantați juridic prin factura având full service history ultima inspecție fiind pe data de 27.03.2024 la 113214 km
Observații: autoturism de foarte bună calitate, ca nou. Ținută de drum aspectul sunt la superlativ, rulează excelent!
Dotări de top și se remarcă prin: scaune încălzite, bancheta spate încălzită,trapa panoramică, faruri led cu bi-xenon cameră în marsalier cu asistență la parcare, servotronic, sistem 4x4, 4x4 lock, navigație profesională, bluetooth, line assist, virează  singură după curba, senzor semne de circulație, șasiu adaptiv, asistență la urcarea în pantă și coborâre, keyless go, pilot automat, senzori ploaie, lumini, etc. Se oferă garanție standard 12 luni, cu posibilitate prelungire până la 36 luni."
