marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
kia,Stonic,15 400 €,1 200 cm³,84 CP,Benzina,SUV,1 800 km,Albastru,2024,Manuala,"KIA STONIC 1.2 MPi 5 MT
Achizitionata: 2024
Numar KM: 18.000
Dotari standard din fabricatie
Dotari optionale:
Android Auto
Alarma Auto
Folie omologata spate și laterale
Roți de schimb
Huse scaune făcute la comanda au costat 200euro și au fost puse din prima săptămână
Culoare Blue
Proiectoare ceata:
Oglinzi exterioare in culoarea caroseriei:
Oglinzi exterioare electrice si încălzite
Manere exterioare usi in culoarea caroseriei
Scaune fata incalzite
Cutie depozitare intre scaunele fata
Fascia centrala  Black High Grossy
Clima
Dezaburire automata parbriz
Indicator nivel scazut lichid de parbriz
Cruise control
MANUAL SPEED LIMIT ASSIST
Senzori parcare SPATE
Incarcator USB
Accesorii: trusa scul, covorase cauciuc, trusa legistica.
Numar chei:2
Masina poate fi vazuta in Timisoara
Garantie KIA inca 6 ani (la orice reprezentanta din tara UE)
Pretul de vanzare este de 15.400 euro puțin negociabil
Masina se prezinta in perfecta stare de functionare
Nu a suferit niciun accident (nici minor, nici major)
Pentru mai multe detalii, va rog sa imi scrieti. Multumesc!"
kia,Ceed,3 990 €,1 400 cm³,N/A,Benzina,Break,165 000 km,Argintiu,2012,Manuala,"Import Germania. Stare perfecta de funcționare. Fără rugina. Fără martorii în bord. Dublu Climatronic Incalzire scaune Parbriz incalzit.oglinzi electrice geamuri electrice.Comezi pe volan. Navigație GPS, senzori de parcare, cârlig de remorcare, Motor euro 5 .1,4 benzina, carte service la zi. Nu am scos numar roșu"
kia,Optima,16 699 €,1 999 cm³,224 CP,Hibrid,Break,100 000 km,Verde,2019,Automata,"Kia Optima - Atracct Edition - cel mai echipat din gama
Motorizare hybrid 2.0 benzina (aspirat) + electric
Norma euro 6
Transmisie automata
Culoare pearl saphir green
An 2018.luna 11
Posibilitate livrare !
Revizie gratuita la livrare
Km certificati juridic
Carte service !
Carpass certificat !
Dotari
Faruri Bi-LED adaptiv
Spalator faruri
Led day light
Stopuri led
Following home
Auto-hold
Trapa Panoramica
Camera 360
Distronic+ ACC
Line assist ( pastreaza banda )
Blind spot assist ( unghi mort )
Alarma
Sign assist ( citește semne circulație)
Front asist ( franare de urgență )
Lumini automate
Haion automat
Key less entry - Less Go
Senzor ploaie
Senzori monitorizare presiune roti
Senzori parcare fata - spate
Park assist ( parcheaza singura )
Pachet crome exterior
Volan piele cu comenzi
Volan INCALZIT + padele
Moduri condus hev / ehev
Pilot automat activ ACC
Climatronik doua zone
Navigatie 9” 3D full touch
Bluetooth carkit - audio - wi-fi
Apple car play-Android auto
Dvd-usb-cd-aux~in hdd
Sistem sunet HARMAN KARDON 16incinte
Scaune electrice cu reglaj lombar si memorie
Tapiterie piele perforata
Scaune sport incalzite si VENTILATE
Bancheta spate incalzita
Cotiera fata-spate
Oglinzi electrice incalzite
Oglinzi rabatabile electric
4 geamuri electrice
Perdelute geamuri spate
Inchidere centralizata
Iso~fix
Abs esp tcs vsm
12 airbag
2 chei
Jante aliaj cauciucuri iarnă
Cablu incarcare retea +  cablu incarcare rapida
Poze si alte informatii disponibile la cerere !
Roti vara CADOU !
Carte service + istoric itp
Toate dotarile functioneaza
Toate actele necesare inmatriculari disposable!
Numere valabile !
Istoric curat !
Un singur proprietar !
Masina adusa pe roti !
Pret usor negociabil !"
kia,Sorento,3 400 €,2 500 cm³,170 CP,Diesel,SUV,216 400 km,Negru,2008,Automata,"~ KIA SORENTO FACELIFT ~
Toate opțiunile puse pe acest model
~ KILOMETRII REALI ~
REVIZIE GENERALA EFECTUATA CAUCIUCURI NOI
~ Tractiune: INTEGRALA (4X4) ~
~ Cutie de viteze: AUTOMATA 6 + 1 Trepte ~
~ MOTOR 2.5 TDI 125kw/170 CP MOTORIZAREA NOUA
~ MODURI COMFORT SPORT SPORT PLUS
~ FARURI BI-XENON LED
~ PROIECTOARE DE CEATA LED
~ NAVIGATIE Mare Touchscreen Bluetooth Android Waze
- SISTEM AUDIO BOSE 1000 Wați
~ Trapa Electrica
- Scaune electrice incalzite
~ PORTBAGAJ ELECTRIC (Deschidere/Inchidere automata a portbagajului la buton si telecomanda)
~ PARKTRONIC (Senzori de Parcare Fata + Spate + Camera MARSALIER)
~ KURVENLICHT (Sistem de iluminare in curbe, autoturismul lumineaza in directia in care se vireaza, pentru o mai buna vizibilitate pe timpul noptii) ~
~ T E M P O M A T / CRUISE CONTROL(Pilot Automat cu functie de accelerare si franare din maneta)
~ INTERIOR PIELE NAPPA EXCLUSIVE + FETE DE USI
~ SCAUNE ELECTRICE(Toate comenzile sunt electrice)
~ DUBLU CLIMATRONIC Functional
~ÎNCĂLZIRE + SCAUNE FATA/SPATE
~ Sistem Coming Home/Leaving Home (Seara/Noaptea la inchiderea/deschiderea masinii pornesc Automat farurile/proiectoarele de ceata pentru a lumina drumul catre locuinta/masina)
~ SENZORI DE LUMINA (farurile pornesc automat la lasarea intunericului si/sau la intrarea in spatii intunecate(tuneluri,garaj,parcari subterane))
~ SENZORI DE PLOAIE (stergatoarele de parbriz pornesc automat pe timp de ploaie,adaptandu-si viteza dupa ritmul ploii)
~SENZORI PRESIUNE IN ROTI( Sesizeaza scaderea presiunii in anvelope)
~ Hill Launch Assist - Asistenta electronica in panta (Urcare/coborare)
~ PABD – Automatic Braking Differential
~ MOD ON/OFF ROAD
~ Comenzi volan
~ 4 Geamuri electrice ~
~ Proiectoare de ceata~
~ Cotiera fata + spate
~ 20 x Airbag ~
~ Electronic Stability Program ESP ~
~ Anti-Lock Break System ABS ~
~ Oglinzi electrice incalzite si heliomate~
~ Alarma de fabrica
~ Inchidere centralizata ~
~ Jante 17 Cauciucuri Noi
Proprietar toate actele valabile fiscal pe loc
ACCEPT UNELE VARIANTE LA 4.000 EURO + - DIFERENȚĂ"
kia,Ceed,7 800 €,1 598 cm³,136 CP,Diesel,Break,179 000 km,Rosu,2018,Manuala,"Prima inmatriculare in 11.2018
Versiune GT
Motor : 1.6 diesel, turbo, distributie pe lant
Putere : 136cp
Plafon negru ( GT )
Volan din piele perforata ( GT )
Bord digital
Tapiterie de piele + textil in stare impecabila
Jante din aliaj 17"" cu anvelope noi Good Year
Discuri de frana pe fata noi
Climatizare automata cu 2 zone
Scaune incalzite
Proiectoare ceata
Senzoi lumina
Senzori ploaie
Cruise Control
Navigatie cu harta Ro inclusa
Lumini de zi cu LED
Oglinzi retrovizoare exterioare cu semnalizatoare
Sistem Start/Stop automat cu buton activare/dezactivare
Sistem multimedia (conectivitate smartphone + Bluetooh® + USB + slot SD card )
Compresor de umflat roti si spuma
Cotiera centrala fata,
Scaune faţă reglabile pe înalţime
Servodirectie asistata
Airbag-uri laterale
Airbag-uri genunchi
Airbag-uri șofer +pasager
Oglinda retrovizoare zi/noapte
Centuri cu prindere în 3 puncte si limitatoare de forţă
Volan reglabil pe inaltime si adancime
Sistem ISOFIX de prindere a scaunului de copil
Hands free pe volan
Sistem de blocare a usilor din spate (siguranţă copii)
Comenzi cruise control si limitator de viteza pe volan
ABS (sistem de antiblocare a rotilor la franare)
Cruise control cu limitator de viteza
Computer de bord, Funcţie de asistare la frânare
Geamuri acţionate electric faţă si spate
ESP® (sistem de control al tractiunii si stabilitatii),
Carte service originala Kia
Priză suplimentara 12V în compartiment portbagaj
Sistem de monitorizare a presiunii în pneuri (TPMS)
Ruleaza impecabil. Nu are probleme. Nu e inmatriculata"
kia,Optima,4 990 €,2 359 cm³,201 CP,Benzina,Berlina,147 000 km,Gri,2013,N/A,"RS.automobile Bacau
Loc. Bogdan Vodă
Str Turnului Nr1
Jud Bacau
• VIN - KNAGM4A70D5338011
• Acceptam test autorizat
Marca : KIA
Model : OPTIMA
Motor : 2.4 BENZINA  201 Cp EURO 5
Anul : 2013
PRET : 4.990 Euro
D O T A RI :
- Transmisie manuala 6+1 Viteze
- Aer Conditionat
- Oglinzi electrice
- Geamuri electrice
- Servo directie
- Incalzire in scaune
- Airbag frontal,lateral si cortina
- Navigatie
- Computer bord cu multiple functii
- Sistem Bluetooth pentru conectarea telefonului mobil
- Pilot automat
- Senzori lumina
- Senzori presiune anvelope
- Jante din aliaj
Exista posibilitatea sa omitem de mentionat anumite optiuni existente pe masina.
Pot exista erori sau omisiuni in descrierea masinii.
Pretul afisat al masinii se calculeaza la cursul Bancii Transilvania din data achizitiei.
- Va stam la dispozitie telefonic pentru informatii suplimentare.
-Conditii flexibile si aprobare rapida a creditului in aproximativ 2 ore pe o perioada de maxim 60 luni (in functie de venituri )
-Sunt eligibile pentru finantare si persoanele care lucreaza in strainatate [contractul de munca s-a fie pe termen nedeterminat + dovada incasarii veniturilor in Banca pe ultimele 6 luni ]
-Se accepta si persoane cu probleme in Biroul de Credite.
- CREDIT pentru Persoane Fizice cu, sau fără AVANS în funcție de veniturile declarate la ANAF
- CREDIT pentru Pensionari cu, sau fără AVANS.
Cerinte pentru incheierea contractului de CREDIT:
Vechime de minim 3 luni la locul de munca.
Salariul incepand de la cel minim pe economie.
- CREDIT pentru Persoane Juridice
- Minim un an fiscal încheiat și o cifra de afaceri de 500.000 lei pe anul anterior cererii de creditare.
Acesta este un credit auto, ratele se stabilesc in urma unei simulari dupa ce datele Dvs sunt introduse in sistem, in functie de venit, de valoarea autoturismului si perioada de creditare."
kia,Sportage,14 490 €,1 600 cm³,136 CP,Diesel,SUV,230 000 km,Maro / Bej,2018,Automata,"KIA SPORTAGE FACELIFT 1.6 DIESEL 136 CP
TRANSPORT INCLUS LA DOMICILIU
CUTIE AUTOMATA
KM LA BORD 235000
Faruri REGLABILE
LED
Tapiterie piele+textil
Stopuri frana LED
Scaune cu reglaj electric
Navigatie
Camera marsalier
Pilot automat
Incalzire in scaunele din fata
Încălzire in bancheta din spate
Line assist
Senzor parcare fata/spate
Geamuri electrice fata/spate
Asistenta la franare
Lane assist
Start/Stop
Asistenta la tractare
Display color touchscreen
Volan multifunctional
Bluetooth WIFI
Climatronic 2 zone
Jante aliaj 19
Tu iti alegi masina, noi ne ocupam de finantare!
Vino la un test drive gratuit pentru a testa calitatea autoturismelor.Este locul din care poti sa iti cumperi masina dorita in conditii de siguranta si incredere!
* AUTO BOX PLOIESTI *
*Posibilitate achizitionare cash si prin finantare(rate), cu sau fara avans. Aveti nevoie doar de buletin !
*Aprobare si finantare direct la sediul nostru sau totul online in maxim 1 ora!
*Pentru rate se accepta firme, persoane fizice si persoane care au mici probleme in biroul de credite, inclusiv pensionari !
* Finantare si pentru persoanele cu probleme in Biroul de Credit cu avans minim 10%!
* Finantare si pentru persoanele care lucreaza in afara tarii cu avans 0!
*Acceptam si masini in sistemul de buy-back, respectiv masina dvs se poate accepta ca avans pentru una de la noi.
*Vechime de minim 3 luni la locul de munca.
*Salariul incepand de la cel minim pe economie
*Actele le perfectam pe loc la biroul nostru din incinta parcului!
*Se eliberează factura fiscala!
*Punem la dispozitia clientului toate documentele necesare inmatricularii autovehiculului sau transcrierii acestuia.
*La cererea clientului putem intermedia tot procesul de inmatriculare(RAR, Politie, etc.)
Masini in rate cu avans 0
Rate fixe/Posibilitate achitare anticipat
Se accepta Soferi cu diurna / pensionari
Posibilitate finanțare doar cu buletinul
Aprobare online
Aprobare credit in maxim 2h
Avans ZERO
Dobânda de la 1% pe luna
Vârstă între 21 de ani și maxim 75 de ani.
In cazul in care nu răspundem va rog lăsați mesaj indicând autovehiculul care va interesează și detaliile dumneavoastră de contact , cu siguranța vom reveni cu telefon!
Adresa parcului nostru este : DN 1A Centura de Est a Ploiestiului
Daca folositi Waze sau GoogleMaps: AUTO BOX PLOIESTI
Program
Luni-Vineri -8.00-18.00
Sâmbătă. -9.00-16.00
Duminica -9.00-16.00"
kia,Sportage,6 990 €,1 995 cm³,136 CP,Diesel,SUV,228 000 km,Maro / Bej,2011,Manuala,"Kia Sportage 2.0 Crdi 136 cp
4x4
Asistenta la coborare
Diferential blocabil
Euro 5
Trapa panoramica mare
Dublu climatronic
Senzori lumina
Senzori ploaie
Camera masarier
Senzori parcare
Bluetooth
Telefon
Pilot automat
Computer bord
Inchidere centralizata
Folow me home
Leaving me home
Proiectoare ceata
Cornering lights
Geamuri electrice fata spate
Oglinzi electrice + incalzite + heliomate
Oglinzi rabatabile electric
Geamuri ionizate
Cotiera
Usb
Aux
Comenzi volan
Scaune reglabile pe inaltime
Abs
Esp
Jante aliaj originale
Carte service
Km reali 100%
Detin toate facturile de Tuv
Numere valabile
Accept orice test autorizat
Fara schimburi"
kia,Sportage,15 399 €,1 598 cm³,136 CP,Diesel,SUV,135 000 km,Alta culoare,2019,Automata,"!! Posibilitate achizitie RATE / CASH / cu sau fara AVANS !!
!! Oferim Factura / Garantie / Asistenta in vederea inmatricularii / Toate actele se elibereaza pe loc !!
FIRMA AUTORIZATA IN COMERTUL CU AUTOVEHICULE RULATE VINDE :
** KIA SPORTAGE VISION ** 2 0 1 9 ** E U R O 6d TEMP **
** Motor 1.6 CRDi / 136cp MILD HYBRID Tip D4FE Ultima Generatie **
** Cutie viteze Automata DCT 7 + 1 Trepte **
** Culoare ORANGE METALLIC / PORTOCALIU Metalizat **
** Fabricatie 28.05.2019 **
**DISTRONIC / Pastreaza Distanta fata de masina din fata / Evita Coliziunea
**LINE ASSIST / Pastreaza Banda Rulare
**SIGN ASSIST / Citirea Semnelor de Circulatie
**ASISTENTA COBORARE PANTA
**ASISTENTA IESIRE PARCARE
**NAVIGATIE / AUX / DVD / MMI / USB / HDD 20GB
**DRIVING MODE SELECTION / 3 Moduri Diferite de Condus
**CLIMATRONIC 2 ZONE
**4 x Geamuri electrice
**Oglinzi Electrice / Incalzite / Electrocromate / Retractabile
**Pilot Automat / TEMPOMAT
**Computer Bord MAXIDOT Color
**SCAUNE Incalzite Fata / Spate
**ABS / ESP / 12 Airbag
**Senzori Lumina / Ploaie / Presiune Roti / Antiorbire
**Senzori Oboseala
**AUTO HOLD / Asistenta plecare
**AUTO START / STOP
**DRL LED / Day Light System FULL LED
**PARKTRONIC 360gr + Camera Marsarier
**ANDROID / APPLE Car PLay
**Pregatire Telefon / BLUETOOTH + Incarcare Wirless
**Cotiera / Torpedou cu functie racire
**Frana Ajutor actionata electric
**Volan PIELE INCALZIT Reglabil + COMENZI
**Scaune Partial PIELE Reglabile / ISOFIX
**Tapiserie PIELE IMPECABILA / Cusatura Alba / Bord Imbracat in Piele
**PRIVACY GLASS / Geamuri cu tenta
**Sistem Audio Premium
**Pachet Lumini Ambientale
**Pachet FULL CROM Exterior
**Inchidere centralizata cu telec / 2 Chei
**Jante Aliaj KIA 18 / Cauciucuri NOI
!! KM REALI TRECUTI PE FACTURA DE ACHIZITIE !! IMPECABILA / TOP CA NOUA !!
Se accepta orice test AUTORIZAT !!"
kia,Sportage,11 999 €,1 591 cm³,131 CP,Benzina,SUV,210 000 km,Maro / Bej,2019,Automata,"KIA SPORTAGE Sportage SUV 1.6 GDI 131CP
Automata
Data prima inmatriculari :2019
Kilometraj 210.000
Tip combustibil benzina
Putere 97 kW / 131 cp
EURO 5
Ultima revizie la 205.000 km
Serie sasiu la cerere.
Dotari :
Aer condiționat fata spate
Drive mode
Auto Hold
Proiectoare de ceață
Geamuri electrice fata
Geamuri electrice spate
Tempomat
Pilot automat
Jante din aliaj
Adaptor USB,
Cutie de viteze automata
Volan multifunctional
Comenzi pe volan
Scaun șofer reglabil pe înălțime
Oglindă interioară anti-orbire
Senzori de parcare spate
Sistem de monitorizare a presiunii în anvelope
Sine de plafon
Controlul tractiunii
ABS
Bancheta spate divizată/rabatabilă
Full Airbag
Bluetooth
Computer de bord
Interfață MP3 player
Montare scaun pentru copii Isofix
Radio
Cauciucuri Vara
Cauciucuri Iarna
etc..."
