marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
mazda,5,15 000 lei,2 000 cm³,145 CP,Diesel,Monovolum,22 000 km,Gri,2008,Manuala,"Vând urgent, Mazda  5 Cu 7 locuri
Anul fabricație 2008
În stare foarte bună de funcționare
Este o mașină întreținută , merita văzută!"
mazda,CX-5,6 990 €,2 191 cm³,150 CP,Diesel,SUV,212 000 km,Alb,2013,Manuala,"*SUPERBA*
*MAZDA CX-5 (SKY-ACTIVE)‼️
-SPORT-LINE-Edition
*MAZDA CX5-2.2d -EURO 6B ‼️
( Motor 2191cm) 150 cp
*Manual 6+1 viteze ‼️
*Tracțiune 2WD ( față)
*An 09/2012 ‼️ Model 2013
*Model de TOP MAZDA ‼️
*Navigation
*Klima
*Încălzire Scaune
*4 Geamuri electrice
*Volan Multifuncțional
( SPORT)
*Tempomat
*Parktronik
*Faruri Xenon
*Stopuri LED
*Linie Audio
*VOPSEA ORIGINALĂ ‼️
ATENȚIE este Alb perlat metalizat ( Raritatate) de la MAZDA ‼️
*Fără RUGINA sau elemente Revopsite
*Fără Daune sau ( Accident)
*Interior îngrijit Curat Scaune ca Noii ‼️
*Fără UZURA
*MOTORUL MERGE PERFECT ‼️
*Km realii verificabili +2 chei
*DISTRIBUȚIE Lanț ( MAZDA)
*Jante Orig MAZDA de Aluminiu ‼️
*Cauciucuri Vara ca Noii
+ REZERVA ‼️
( Set 4 buc Jante cu Cauciucuri IARNA ca noii )
*IMPORT RECENT GERMANIA ‼️
*Unic Propietar de la NOU ‼️
*ADUSA RECENT ( Pe Roții)
NR Zoll valbile pina în
( 04/11 -2025) ‼️
*Se poate scoate NR 90zile Roșii pe loc ‼️
*LIVRARE GRATUITA ACASA ‼️
*Se poate Obține prin Finanțare RATE FIXXE ‼️
*TBY BANK
*MOGO BANK
( Preluam Autoturismul dvs )
Bay Bak ‼️+ Diferența
Info tell‼️"
mazda,6,2 000 €,2 488 cm³,N/A,Benzina,Berlina,N/A,Negru,2008,Manuala,"Vând Mazda 6, an fabricație 2008, motorizare 2.5 benzină, cutie manuală.
Mașină veche și uzată, cu peste 200.000 km, vândută așa cum este, cu problemele specifice unei mașini vechi și nefolosite de mai mult timp.
Detalii:
Motor 2.5 benzină – pornește și funcționează
Cutie manuală
Incalzire în scaune, tempomat, AUX, bluetooth pentru apeluri
Aer condiționat
Jante aliaj + anvelope de vară
Interior uzat, mașină de fumător
Caroserie cu urme vizibile de utilizare
VIN: JMZGH12L601182804
Defecte și mențiuni:
Toba este spartă
Problemă la direcție – mașina virează ușor spre dreapta
Pragul masinii pe partea dreapta este rupt
Siguranțele electrice probabil trebuie verificate
Mașina a stat nemișcată mai multe luni
asigurare expirata
ITP expira la finalul anului
Locație: Cluj-Napoca
Preț: 2.000 € – ușor negociabil"
mazda,3,5 399 €,1 600 cm³,110 CP,Benzina,Hatchback,156 000 km,Albastru,2015,Manuala,"*PROGRAM ZILNIC INCEPUND CU ORA 10
*GARANȚIE 12 LUNI FĂRĂ LIMITE DE KILOMETRI
**RECENT adusă din Germania
*Tehnica și optică FOARTE buna
*Revizii la zi Cu service
*Verificare complecta înainte de livrare
*Kilometri ORIGINALI 100 % cu certificat de atestare a kilogramelor din reprezentanta
Mazda 3 2014
Dotarii:
- An 2014
- Culoare Albastru
-Km 156 000
- Motorul 1.6 MZ-CD benzina (110cp)
-Cutie viteze manuala 5+1
-Euro 5
-Proiectoare
*Senzori parcare
*Senzori pneuri,lumina,ploaie
-Faruri cu lupa
-Faruri reglabile pe diferite poziti la buton
-Geamuri electrice
-Window lock
-Oglinzi rabatabile,incalzite,reglabile electric
-Computer de board multiplele funcțiuni
-Radio/cd
-Aux,ipod,Bluthoot,telefon etc
-Magazie CD
-Pilot automat
-Dezaburire la buton
-Comenzi Volan multiplele funcțiuni
-Clima automat funcțională
-ABS
-Airbaguri Frontale+ Laterale
-ESP
-Bricheta
-Scrumiera
-Cup Holdere
*Torpedou refrigerant
*Cotiera fata spate
*Scaun șofer reglabil pe diferite poziții
*Volan reglabil pe diferite poziții
-Inchdiere centralizata
-Alarma anti furt
-Jante r16 cu cauciucuri de iarna stare buna
-Jante aliaj r17 cu caiuciuri de vara foarte bune
*Interior foarte bine îngrijit ne fumator singur proprietar de garaj
*Caroserie fără nici un fel de avari vopseaua originală
*Motor și cutie viteze funcționează IMPECABIL
*Chit distribuție schimbată rolă întinzătoare pompă apa filtrele ulei aier combustibil polen uleiul motor și cutie viteze plăcuțe frînă discuri frana..etc cu factura și garanție de service autorizat
*Accept orice test și probă la mașină
Masina nu necesita investii, este perfecta de oras cat si naveta avand consum de 6%/100km
*Ideală pentru drumuri lungi fiind FOARTE spațioasă confortabila și sigură
*Ideală pentru familie fiind FOARTE spațioasă
*Ideală pentru oraș fiind foarte practică ușor de parcat și condus
*Ideală pentru drumuri de țară fiind garda la sol înaltă
*Ideală pentru naveta fiind consumul mic 6/7%
*Se poate inmatricula la cerere
*Se poate scoate Nr roși 90 zile
*Toate documentele în vedere înmatriculări perfecta regulă
*Asistență GRATUITĂ la înmatriculare
*Kilometri ORIGINALI 100 % se poate demonstra cu verificarea în reprezentanta
*Raportul general CAR VERTICAL scos vi se poate pune la dispoziție
*Se poate pune la dispoziție poze suplimentare și filmare cu mașina pe Watap
*NU FAC SCHIMBURI
*NU RĂSPUND LA MESAJE
*TRANSPORT GRATUIT ORIUNDE IN TARA
*MERITA VAZUTA SI TESTATA
07******80"
mazda,CX-5,13 499 €,2 191 cm³,150 CP,Diesel,SUV,226 000 km,Gri,2017,Manuala,"Mazda CX-5 2.2 Turbodiesel / Revolution - Line / Euro 6
An fabricație: 2017
CP: 110 kW / 150 CP
Capacitate cilindrică: 2.191 ccm
Combustibil: Diesel
Transmisie: Transmisie Manuala 6+1
Caroserie: SUV
Culoare: Gri Metalica (Original)
Tapițerie:Piele (Original)
Numărul de uși: 5
Serie sasiu: JMZKF6W1600618576/ EURO 6
Tractiune: 4x2automat
Dotari:
• Faruri FULL LED
• Sistem audio professional BOSE / Aux-In / USB / Bluetooth
• Pilot automat
• Scaune Piele( electrice și memorie)
• Bluetooth / Telefon
• Sistem asistenta unghi mort
• SBS / SCBS
• Scaune incalzite
• Volan incalzit
• Drive attention alert
• Smart city brake support
• Senzori parcare F+S cu afisaj
• SkyActive
• Frana de parcare electrica
• Keyless GO / Entry
• Bord imbracat in piele
• Sistem de recunoastere semne de circulatie
• Collision assist
• FULL LED lampi spate + Daylight + Faruri
• Start - Stop
• Dublu climatronic
• Jante aliaj MAZDA
• Limitator de viteza
• Senzori presiune roti
• Isofix
• Pachet lumini ambientale
• Suport pahare
• Daylight LED
• Banchete spate rabatabile
• Senzori lumina
• Proiectoare ceata
• ABS / ESP / DSC
• Sistem Audio Bose
• Stergatoare parbriz automate
• Senzor de ploaie
• Oglinda retrovizoare interioara electrocromatica
• Oglinzi retrovizoare incalzite
• Oglinzi retrovizoare ajustabile electric / Pliabile electric
Mașina personală cu toate reviziile la zi."
mazda,MX-5,14 500 €,2 000 cm³,150 CP,Benzina,Cabrio,93 848 km,Negru,2018,Automata,"Mazda MX-5 automata 2.0 Skyactiv 93.848km avariat
- avariat conform foto
- masina parcurge orice distanță
- decapotare electrica
funcțională
- fara erori in bord
- interior full piele
- Keyless go/entry
- sistem audio bose
- padele volan
- lane asist
- senzori unghi mort
- multiple dotari
- documentatie fiscală în regulă
- se facturează în RON
- exlus variante schimburi sau oferte aberante"
mazda,CX-5,7 990 €,2 200 cm³,175 CP,Diesel,SUV,275 000 km,Rosu,2014,Manuala,"EWE AUTOMOBILE
Parc auto autorizat in comertul cu autoturisme rulate va ofera spre vanzare o gama diversificata
de autoturisme din import de cea mai inalta calitate.
LIVRARE GRATUITA – Oferim transport GRATUIT la domiciliul clientului in limita a 200km
ISTORIC VEHICUL - Toate autoturismele noastre detin carte service.
GARANTIE – Oferim garantie pe o perioada de 12 LUNI de zile.
FINANTARE - Sistem avantajos de finantare cu rate fixe, avans intre 0-30% din valoarea autoturismului, indiferent de vechimea acestuia in maxim 2 ore.
RATELE se vor stabili la punctul nostru de lucru in functie de veniturile clientului, perioada de finantare si eligibilitatea acestuia.
NUMERE ROSII CADOU – Oferim numere rosii si factura fiscala pe loc.
""""MERITA VAZUTA""""
KIT DISTRIBUTIE LANȚ
POMPA ULEI
INLOCUIT ULEI+FILTRU
SAIBE INJECTOARE EFECTUAT
////
MAZDA CX5
CULOARE VISINIE
4x4
AN 2014
EURO 6
MOTOR 2,2
175 CP
TAPITERIE STOFA SPORT
RVM
I STOP
LINE ASIST
TCM
XENON
NAVIGATIE
TEMPOMAT
COMENZI VOLAN
DUBLU CLIMATRONIC
INCALZIRE IN SCAUNE
INSERTIE ALUMINIU
SENZORI PRESIUNE ROTI
SENZORI LUMINI
SENZORI PLOAIE
SENZORI PARCARE FATA SPATE
JANTE ALUMINIU
CUI REMORCARE
COMPUTER DE BORD
TEMPOMAT
GEAMURI ELECTRICE
VOLAN PIELE
OGLINZI REGLABIL ELECTRIC
ELECTRIC I-ORBIRE
INCHIDERE CENTRALIZATA 2 CHEII KEY GO
ASISTENTA FAZA LUNGA
PARBRIZ INCALZIT ELECTRIC FATA
LUNETA INCALZITA ELECTRIC SPATE
VOLAN REGLABIL
ABS / ASR / ESP
COTIERA FATA/SPATE
RADIO CD MULTIFUNCITONAL (AUX, BLUETOOTH, MP3)
REGLAJ FARURI
REGLAJ LUMINOZITATE BORD
ISOFIX
GEAMURI IONENIZATE DE FABRICA
+multe alte dotari care nu sunt enumerate.
Toate masinile din parcurile noastre au carte service cu toate reviziile
Garantam cu acte doveditoare pentru kilometri reali, care sunt verificabili in baza seriei de sasiu.
Asiguram numere rosii incluse in pretul autoturismului si factura fiscala pe loc.
Starea tehnica si optica este foarte buna. Merita vazuta!
Detinem pe stoc mai multe autoturisme
Fara schimburi, nu avem politica de buy-back.
Firma noastra este detinatoarea certificatelor de incredere privind activitatea desfasurata.
Ne gasiti la urmatoarea adresa:
EWE AUTOMOBILE ARAD STR CALEA TIMISORII NR 144 PRINCIPALA ZONA ARADUL NOU"
mazda,CX-7,6 200 €,2 184 cm³,173 CP,Diesel,SUV,196 000 km,Albastru,2011,Manuala,"Se vinde masina personala:
Mazda CX-7 2.2 Diesel – Full Option | 195.000 km | Webasto | Trapa | Bose | Piele
An fabricație: 2011
Motor: 2.2 MZR-CD diesel – 173 CP – EURO 5
Kilometraj real: 195.000 km (verificabil RAR, carte service)
Cutie manuală | Tracțiune: AWD 4x4 permanent
Înmatriculată RO – fiscal imediat
Culoare: Albastru metalizat (Stormy Blue Mica) – arată impecabil în soare!
Dotări (versiune Revolution Top – full):
Piele integrală
Webasto – încălzire auxiliară cu timer (foarte rară pe acest model)
Trapă electrică
Cameră de marșarier
Scaune față încălzite cu reglaje complete, inclusiv lombar
Sistem audio BOSE (subwoofer, claritate excelentă)
Keyless Go + Entry (deschidere și pornire fără cheie)
RVM – asistență pentru unghi mort
Cruise control
Senzori de ploaie și lumină
Oglinzi electrice, rabatabile și încălzite
Computer bord / volan multifuncțional
Proiectoare ceață
Anvelope vară, jante aliaj 19” // +set anvelope in stare foarte buna de iarna, jante 17”
Cârlig remorcare omologat
Întreținută cu grijă:
Ulei + filtre schimbate recent
ITP valabil până în 2026
Fără probleme ascunse, fără erori în bord
Interior curat, exterior fără rugină
Acte la zi, se acceptă orice test autorizat
Preț: 6.200 € – negociabil doar la fața locului
Telefon pentru mai multe detalii: 07sase7678793
Disponibilă pentru vizionare & testare în Timișoara
Schimb doar cu bmw seria 3 e90/e92 in stare foarte buna, pot sa ofer diferenta unde e cazul."
mazda,CX-7,2 000 €,2 287 cm³,260 CP,GPL,SUV,320 000 km,Gri,2008,Manuala,"Mazda cx 7
Motor 2.3 benzina cu 260 se cai
Volanta și ambreiaj noi
Articulații recent schimbate
2 seturi de cauciucuri și jante
Ulei și filtre recent schimbate
Singura problema o are la un rulment care a început sa huruie
Masina personala de 12 ani"
mazda,CX-5,3 900 €,2 200 cm³,150 CP,Diesel,SUV,240 000 km,Alb,2013,Manuala,"Mazda cx5 , motor 2,2 diesel , euro 6 , 240000 km , mașina pornește și se deplasează , însă după câteva minute intră în mod protectie și nu mai trage . Nu cunosc cauza problemei. Preț negociabil 4000 euro"
