marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
mercedes-benz,E Class,23 800 €,1 991 cm³,286 CP,Plug-In Hybrid,Berlina,148 000 km,Gri,2017,Automata,"Vand mercedes-benz E-class, motorizarea 350e hybrid. Specificatii: Versiunea avantgarde, an fabricatie: 04.08.2017, tractiune spate, 286cp, 550nm, 1991cmc, cutie viteze 9g tronic
Dotari:
Scaune fata full electrice cu 3 memorii, incalzite si ventilate
Bord full digital
Clima pe 3 zone
Faruri multibeam led
Portbagaj cu deschidere la buton, inchidere manuala
Sistem audio burmester
Carlig de tractare
Head up display
Perdelute in spate, cea de la luneta este electrica
Lane assist
Distronic
Blind spot assist
Lumini ambientale
Incalzire in cotierele fata
Park assist
Interior full piele
Apple carplay
Sistem camere 360 grade
Etc
Primul proprietar in romania din 2022, de la 110.000km. serie sasiu: WDD2130501A317305. Pret: 23800 negociabil. Revizie facuta anual de catre primul proprietar in romania. Masina se vinde cu 2 seturi de anvelope aproape noi, vara si iarna. Accept verificare la reprezentanta, pentru mai multe detalii nu ezitati sa sunati.
Va multumesc!"
mercedes-benz,Viano,10 950 €,2 200 cm³,150 CP,Diesel,Minibus,238 000 km,Negru,2008,Automata,"Nu confundați cu Vito!
Mașina este un Viano Trend 4x4 Automat, 150 CP, întreținută exemplar, cu istoric complet și multiple piese noi.
238.000 km reali
Factura pe firmă neplătitoare de TVA
Stare tehnică și estetică excelentă
_
Specificații:
•	Motor 2.2 CDI – 150 CP
•	Tracțiune integrală 4x4
•	Cutie automată (ulei schimbat recent)
•	Navigație Alpine cu CarPlay
•	Cameră de marșarier + cameră frontală Alpine
•	Sonorizare Hertz cu amplificator și subwoofer
•	Faruri xenon automate
•	Oglinzi electrice, 4 geamuri electrice, 4 uși funcționale
•	Scaune față încălzite, 6 scaune individuale
•	AC bi-zonal + climatizare separată pentru partea din spate
•	Senzori parcare, cârlig remorcare original
•	Prize 12V pentru pasageri
•	2 seturi de jante (vară + iarnă)
•	Închidere centralizată, 2 chei originale
_
Investiții recente care se pot dovedi cu facturi:
•	Compresor AC nou
•	Amortizoare + arcuri noi
•	Discuri și plăcuțe noi
•	Bucși motor noi
•	Curea transmisie + role noi
•	Duze injectoare noi
•	Pompa de motorină recondiționată
•	Revizie completă (ulei + filtre) acum 4.000 km
•	EGR nou, debitmetru aer nou, senzor presiune diferențială și backpressure noi
•	DPF curățat profesional – grad de încărcare 0.004 mg
_
Preț: 10950 Euro usor negociabil
Se oferă factură.
Nu necesită niciun fel de investiție."
mercedes-benz,E Class,26 500 €,2 993 cm³,258 CP,Diesel,Berlina,140 000 km,Albastru,2018,Automata,"140.000 km rulati
Unic proprietar
*E350 diesel , V6 , 256 CP , 4Matic
An Fabricatie 2018
Cutie Automata 9G-Tronic
Faruri MULTIBEAM LED
Scaune piele
Asistenta faza lunga
Lumini de zi LED
Trapa Panoramica
PRE-SAFE Brake - franeaza in cazul unei coliziuni
Traffic Sign Assist - citeste semnele si limitele de circulatie
Attention Assist
Keyless GO - pornire cu cheia in buzunar
Keyless Entry
Oglinzi reglabile electric,incalzite,pliabile,heliomate
Lane assist
Senzori Parcare Fata + Spate
Park Assist - Parcheaza singura
Camera 360
Incalzire in scaune
Scaune fata reglabile FULL electric
Padele volan
Senzori Ploaie, Lumini, Pneuri
Pilot Automat tempomat
Navigatie Mare 3D
Lumini ambientale diverse culori
Burmester surround sound
*Ceasuri digitale , CarPlay și android auto
Multiple optiubi, trimitem poze+video la cerere
*mașina se prezintă și funcționează ireproșabil , se acceptă test în reprezentanta
ACCEPTAM SCHIMBURI"
mercedes-benz,C,36 000 €,3 982 cm³,510 CP,Benzina,Berlina,160 800 km,Negru,2016,Automata,"Mercedes C63 S AMG W205 SEDAN 4.0 V8
Pretul este cu TVA inclus deductibil
Masina este intr-o stare impecabila, nu necesita nici-o investitie, revizii facute la 5-8mii de km. Accept orice test/ verificare.
Fara modificari la soft sau de putere, doar evacuare: downpipes redstar + midpipe/catback remus instalate la Racebox; blow off valve
Volan facelift AMG carbon, navigatie carplay toate functiile integrate in ambele.
Arcuri KW inaltime reglabila
Filtre de aer K&N sport
Suspensie reglabila/moduri de condus active (C, S, S+, RACE)/Buton evacuare, scaune AMG reglabile electric, sistem sonorizare premium Burmester, piele nappa full bord/usi, etc Jante amg pe 19, anvelope michelin pilot sport 4s / michelin supersport, trapa panoramica, camera 360.
Masina vine la pachet cu un set de 4 anvelope de iarna NOI, michelin pilot alpin 5 spate, alpin 4 fata, diffuser + tips stil brabus neinstalat, pachet full ambientale facelift+ guri de ventilatie turbine 64 culori neinstalate,
placute de frana de schimb pe spate, filtre de aer de schimb.
Mai multe detalii pe whatsapp sau la 07******53, pret negociabil fara variante
operators manual and service booklet german
04a oil offset amount +400 ml oil
11u mbconnect - remote online (hermes)
197u obsidian black
1p6 control code marketing
20p business-paket plus
229l germany
22p track package
234 blind spot assistant
235 active park assist
242 electrically adjustable right driver seat w memory
246 analog clock
249 interior and exterior mirror, automatically dimming
250 amg driver package
255b mb mobilo with dsb and ggd
258 collis.warn. sys. w/ active brake interv. fcw stop
270 gps antenna
274 telephone antenna
275 memory package (driver seat, strg. col., mirror)
281 amg performance steering wheel
287 through-loading feature
294 knee airbag
2xxl federal republic of germany
332b instrument cluster/hu language - german
345 rain sensor
34a reinf.trans.sp.vers.k-plate w/ drilled fill.apert.
351 e-call emergency call system
35a vgs d4-0, d3 pattern
360 hermes - communication module umts
367 live traffic capability
3u1 europe/cis countries/mongolia head unit
413 panoramic sliding sunroof/glass sunroof
427 automatic transmission 7-speed
42v speed- + loadindex 93y xl+98y xl
440 tempomat (cruise control)
448 touchpad with rotary pushbutton
466 active engine mount
467 electronic locking differential
475 tire pressure control
476 automatic lane recognition
488 chassis with steel/air suspension
500 electric folding outside mirror
501
502 3 years of map updates free of charge
513 traffic sign recognition
51u black fabric roof interior trim
531 comand aps ntg5/ntg5.5
537 digital radio standard dab (digi. audio broadc.)
555 amg performance seat
580 air conditioner
5p6 control code marketing
611 ambient illumination
628 automatic high beam switch plus (ihc+)
642 dynamic led headlamps, right-hand traffic
662 amg 19"" spoked wheels with mixed tires
6p5 steuercode vertrieb fuer code 475 anforderung
772 amg styling package-front spoiler, side skirt
776 wheel arch enlargement
810 premium sound system
815 dvd single drive
840 dark tinted glass
850a leather/nappa/semi-aniline
857a leather/nappa/semi-aniline - red
871 sensors for trunk lid opening/closing
873 seat heater for left and right front seats
876 interior light assembly
877 ambience illumination
881 remote trunk locking
889 keyless - go
893 keyless start
8u8 i-size-marking (isofix successor)
916 fuel tank with large volume - volume 1
927 euro 6 technology exhaust gas cleaning
969 coc paper euro6 tech. w/ registration cert. part 2
a106 dsm star2.0
a20 direct start
a21 shift by wire
a55 amg engine mount version
a89 reduced-friction
b03 direct start / eco start/stop function
b51 tirefit
b59 transmission mode selector lever (agility select)
f205 model series 205
fw limousine
g930 transmission code version 30
gv automatic transmission reinforced
h73 trim pieces - carbon high gloss
ha rear axle
jvd plant control code
k11 adaptive stop light flashing
k14 control code for service interval 20000 km
k96 type approval stage 2
l left-hand steering
m014 engine increased performance
m177 amg v8 gasoline engine m177
m40 capacity 4,0 litre
nf7 control code bremen plant
ng9 control code bremen plant
p17 keyless-go package
p44 parking package
p49 mirrors package
p60 amg night package, exterior
p86 amg package interior
p90 amg package exterior
r01 summer tires
u01 rear belt status indication
u10 front passenger seat with weight sensing
u22 lumbar support adjustment
u25 illuminated door sill
u26 floor mats - amg
u34 leather-clad inst. panel + beltline (artif. nappa)
u47 spoiler lip
u70 brake calipers painted red
u72 dvd player with regional code 2, europe, japan
u78 switchable exhaust system
vl front axle half, left
vr front axle half, right
197u obsidian black
857a leather/nappa/semi-aniline - red
m177 amg v8 gasoline engine m177"
mercedes-benz,Vito,12 400 €,1 600 cm³,116 CP,Diesel,Monovolum,143 000 km,Alb,2020,Manuala,"Mercedes Benz Vito long- Anul 2020
Recent adus
Motor 1.6 CDI- 120cp, 143.000 km reali, 6 trepte, merge impecabil! Ofer serie pentru verificare, inclusiv rețea mercedes si carvertical -consum 6%
Cutie Manuala 6 trepte
Euro 6
Țeava de eșapament curată!
Aer condiționat
Bluetooth
Cârlig
Fără gram de rugină
Scaune impecabile
Navigație
Senzori parcare
Pilot automat
Cârlig
Jante cu cauciucuri noi M&S
Preț negociabil
Nr tel:
07*********91"
mercedes-benz,Sprinter,12 999 lei,2 148 cm³,140 CP,Diesel,Monovolum,250 000 km,Alb,2017,Manuala,"Vând Mercedes sprinter
Garanție la turbina până în februarie
Factura de recondiționare turbo la robnec București
Galeria de Admisia noua originala
Mașina merge că noua
Nu bate nimic
Nu scoate fum
Motorul trage foarte bine
10.11.25 revizie ulei filtre aer , ulei și combustibil
Nu consuma gram de ulei
Anvelope hankook că noi fata 2024 iarna
Spate 2022
Deci nu necesita investiții
S-a mers cu grija că mașina personală
Doar traseuri lungi
Mașina e tanc, sigura am fost Austria, germania o data pe luna sau 2 pe lună folosita .
O vând pentru că vreau sa iau Pick up cu remorca, sa pot folosi atât personal cât și pentru munca,
Decat să țin sprinterul folosit 2 zile pe luna doar
Pentru detalii apelați sunt dispus sa ofer mai multe informații
Preț în euro"
mercedes-benz,E Class,9 990 €,2 143 cm³,204 CP,Diesel,Coupe,236 000 km,Negru,2012,Automata,"Mercedes-Benz E-class coupe 250 CDI
Pachet AMG
204 CP bi-turbo
7g tronic
236.000 km
2012 an
Distronic plus ( unghi mort oglinda, senzori față spate, cameră masalier)
Panoramic (plafon negru, perdeluța spate)
Scaune încălzite/ventilate/masaj/memorie/full electric
Sonorizare Harman Kardon
Mașina personală de 3 ani jumate, revizia la zi. Facturi la toate reviziile.
Nu doresc schimb."
mercedes-benz,Vito,19 000 €,2 200 cm³,163 CP,Diesel,Minibus,300 000 km,Gri,2019,Automata,"- Mercedes Vito 116 Long 8+1 Locuri
- an fabricație 05/2019, 2200 cmc, 163 cp, Euro 6, cutie de viteze automată
- clima fata/spate, navigație, comenzi volan, geamuri/oglinzi electrice, inchidere centralizată, ABS, ASR, SRSairbag, USB, senzori ploaie, senzori lumini, scaune individuale
- recent adus, vopsea originală 100%, km originali 100%, carte service, hârti TUV, două chei, numere zoll valabile până în 11.12.2025, stare excepțională !!!"
mercedes-benz,300,4 800 €,2 200 cm³,134 CP,Diesel,Berlina,320 000 km,Albastru,2007,Automata,"Mercedes C-class 2007 foarte bine întreținut.
Cutien automata,
Consum 8% combinat
2 chei
Trapa"
mercedes-benz,E Class,28 800 €,2 000 cm³,211 CP,Plug-In Hybrid,Berlina,70 200 km,Alb,2020,Automata,"Mercedes E 300e - 67.200km
AUTONOMIE DE MERS PE MOD ELECTRIC - 50KM
*ACCEPT ORICE TEST**
*FARA INCIDENTE*
*SET DE JANTE CU ANVELOPE DE IARNĂ PIRELLI - NOI*
* tara de provenientã - Germania
* primul proprietar
* fãrã incidente auto, km reali!
* accept verificare in orice reprezentanțã Țiriac Auto sau Autoklasse Mercedes.
- stare impecabilã -
- echipare Bussiness Edition.
- Motorizare 1950cmc 320cp Hibrid (termic/ electric)
- Distronic
- sistem audio
- sistem 360°
- Scaune Confort din piele maron cu memorie
- Cutie de viteze 9G Tronic cu padele
- Faruri LED - ultima generatie de faruri
- Side ASSIST
- Line Assist
- Camere cu citirea semnelor de curculatie
- Active Brake Assist.
- Trafic Sign Assist.
- Geamuri duble atermice
- Thermatic - Dublu climatronic
- Keyless Go.
- 3xType USB si SD Card
- Lumini ambientale interior + exterior
- Senzori de parcare 360...
- Protectie activa pentru pietoni.
- Senzori de lumina/ploaie/roti.
- Navigație ecran mare.
- Oglinzi rabatabile, full electrice, heliomate si incalzite.
- Jante originale AMG + anvelope de iarna Pirelli."
