marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
mitsubishi,Pajero Pinin,5 100 €,1 959 cm³,120 CP,Benzina,SUV,217 000 km,Argintiu,2001,Manuala,"Nu accept schimburi!
Pajero Pinin 2.0 GDI Inmatriculat
- Reconditionat total in 2021 ( la cerere trimit poze și filmări din momentul recondiționării)
- Jante Offroad cu ET negativ , dețin și jantele originale de tabla cu anvelope.
- Înălțat aproximativ 13 cm
- Anvelope MT M+S
- Scut protectie motor Otel
- Aer condiționat funcțional
- Cutie manuala cu reductor la maneta ( Superselect 3 moduri )
- Ledbar
- Cârlig remorcare
- Radio cd cu Bluetooth Și usb
- Bare transversale
- Lanțuri groase pentru zăpadă
- Interior fara rupturi
- Geamuri electrice
- Oglinzi electrice
- Inchidere centralizata din telecomanda
Totul este funcțional perfect , nu troncane.
Vopseaua prezintă zgârieturi superficiale specifice mersului prin pădure ."
mitsubishi,ASX,6 550 €,1 798 cm³,150 CP,Diesel,SUV,225 000 km,Maro / Bej,2012,Manuala,"SUPERB ‼️
( 4WD) 4x4 ‼️
-EDITION & INVITE ( full)
*MITSUBISHI ASX-1.8 Di-D
*Mivec ( disell) 150 cp ‼️
*EURO 5B
*An 2012 ‼️
*Cutie Manuala ( 6+1) viteze ‼️
*Tracțiune 4x4 ( 2WD) & 4WD ‼️ Cuplare Buton
*Model EDITION ‼️
*Xenon
*Trapa electrica
*Parktronik
*Klima
*Încălzire Scaune
*Linie Audio
*4 Geamuri electrice
*Cirlig de REMORCARE ‼️
*Vopsea Originală ‼️
*Fără elemente Revopsite
*Culoare Superba ( Maro / Braun Metalizat
*Caroserie Krompakett
*Interior îngrijit Curat Scaune ca Noii
*Fără UZURA
*MOTORUL MERGE PERFECT ‼️
*Distribuție Lanț ( Mitsubishi)
*2 chei ORIG
*Km realii ( 225.000 ) + Tuf Germania ‼️
*Unic Propietar de la NOU
*Jante Orig de Aluminiu ‼️
*Toate 4 Cauciucuri noii nouțe IARNA ‼️ dot 2025
*IMPORT RECENT GERMANIA ‼️
*Se poate scoate NR 90zile Roșii pe loc ‼️
*Livrare GRATUITA ACASA
*Se poate Obține prin Finanțare RATE FIXXE TBY Bank ‼️
*Info tell ‼️"
mitsubishi,Outlander,6 200 €,2 200 cm³,177 CP,Diesel,SUV,200 000 km,Negru,2012,Manuala,"Mitsubishi Outlander din 2012 motorizare 2.2Diesel 177CP 4x4 EURO5. Dotarii: Faruri Bi-Xenon,Camera Marsarier,Trapa,Interior Piele,Scaune Fata Incalzite,Climatronic,Navigatie Mare,Scaune Fata Electrice,Proiectoare Ceata,Keyless Go,Keyless Entry,Carlig Remorcabil,Jante Aliaj. Masina merge si arata foarte bine ! Import Germania ! Posibilitate Achizitionare Autoturism Prin Tbi Bank Cu Avans 0 ! Pret: 6.200Euro Negociabil ! Mai multe detalii la numarul de telefon ! 07********95"
mitsubishi,Pajero,6 950 €,2 800 cm³,125 CP,Diesel,SUV,270 000 km,N/A,2000,Manuala,"De vanzare Mitsubishi Pajero
An fabricatiei:2000
4x4,4x2
Motorizare 2.8–125 CP
Mic mare
Bord Super Select
Cutie Manuala 5+1
Autoutilitar in acte
Aer Conditionat(Functional)
Toate actele la zii,fiscal pe loc,recent sa schimbat uleiul+filtre,bucse,telescoape,placute
Nu ma intereseaza nici un schimb!!"
mitsubishi,Pajero,7 300 €,2 500 cm³,N/A,Diesel,Off-road,N/A,Albastru,2000,Manuala,"Mitsubishi Pajero 2.5 off road, An 2000 mașina e adusă din Austria și nu sa rulat în țară decât foarte puțin, nu sa rulat Offroad, mașina arăta foarte bine interio și exterior, sablată și antifonată în recent, cam prin luna iunie 2025,asigurare și ITP +rovinetă valabile pe un an, făcute la jumătatea lui iulie 2025, mașina nu are rugină, blocant spate la buton, jante inox cauciucuri 33/12'50 /15 mașină e în garaj și nu se circulă cu ea, pentru cei interesați îmi puteți scrie, 7300 negociabil o dau și la schimb cu utilaje agricole, cositoare baloteră și greblă de fân"
mitsubishi,ASX,9 790 €,2 268 cm³,150 CP,Diesel,SUV,190 216 km,Gri,2015,Automata,"Vand Mitsubishi ASX Intense 4x4- Negociabil
Cutie de Viteza Automata 6+1 cu Padele Volan
4WD Tractiune Integrala 4x4 cuplabil Manual de la Buton (2wd | Auto | 4wd | Diferential Blocabil)
Motor: 2.2  150cp , Km: 190.216 , culoare: gri
— Dotari
•  Set roti iarna (genti+gume)
• Carlig remorcare
• Camera Video Marsarier
• Bi-Xenon LED Adaptiv in curbe si denivelari
• Oglinzi laterale reglabile electric, încălzite și rabatabile electric
• Stopuri de Generatia Noua Facelift
• Lumini de zi - Daylight Assist - Spalator Faruri
• Scaune Incalzite
• Senzori presiune roti - sesizeaza scaderea presiunii in anvelope
• Keyless Go - masina porneste de la buton start-stop
• Keyless Entry - deschidere/inchidere cu cheia in buzunar
• 8xAirbag, Airbag genunchi sofer, Abs, Esp, Servo-Tronic
• 4x Geamuri + Oglinzi electrice  Heliomatice
• Geamuri fumurii spate (Privacy Glass)
• Geamuri Heliomate, Ionizate original din Fabrica Fumurii
• Proiectoare de Ceata, Halogene, Lumini de zi LED
• Jante de Aluminiu originale
• Volan Piele-Multifunctionala cu Comenzi
• Pilot Automat, Tempomat, Cruise Controll
• Asistență la plecarea din rampă
• 2xChei - Telecomenzi originale
• Radio cd mp3 usb
• Bluetooth telefon
Baterie noua schimbata luna : Iulie 2025"
mitsubishi,Pajero Pinin,4 050 €,1 999 cm³,129 CP,Benzina,SUV,226 000 km,Albastru,2002,Manuala,"Vand Pajero Pinin 2.0, echipat cu transmisie Super Select - blocant central si reductor.
Masina a fost reconditionata cu simt de raspundere in zona oalelor, praguri si pasaje spate. ( la vizionare/proba va convingeti + poze din timpul lucrarilor).
Mentenata:
Aer conditionat revizionat + umplere cu freon
Gat alimentare combustibil nou + curatare rezervor
Curatare/calbrare clapeta
Schimbat ulei/filtru
Schimbat placute frana fata/spate
Curatat/revizionat etrieri frana
schimbat lichid frana plus partial conductele, plus schimbat furtunele fata spate
Schimbat flanse amortizoare
Schimbat bujiile
Revizie parte electrica
Schimbat filtru aer
Distributie completa
Set garnituri bujii
Fluide cutie//diferentiale
Microfiltre
Incarcat si verificat sistem AC.
Interior fara rupturi - set huse incluse.
Volan piele
Navigatie in bord Kenwood plus cd player original
Anvelope pe 16 in stare buna.
Itp plus asigurare valabile.
Auto se vinde cu:
- revizia completa
- plin rezervor
- proba/test/verificare
- perfectarea actelor"
mitsubishi,L200,8 900 €,2 500 cm³,136 CP,Diesel,Pickup,265 000 km,N/A,2007,Manuala,"Mitsubishi l200 2007
Motor 2.5 Common rail
4x4 super select
Geamuri electrice
Luneta electrica
Oglinzi cu reglaj electric
Full crom
Climatronic
Rollbar inox original Mitsubishi
Praguri aluminiu
Bari longitudinale
Oglinzi cromate
Jante aluminiu r17 originale Mitsubishi
Paravanturi geamuri
Parbriz cu parasolar
Deflector capota
Ornamente manere usi cromate
Ornamente stopuri plus oblon cromate
Proiectoare ceata
Capitonaj bena mitsubishi
Distributie facuta în urma cu 20000km
Ulei filtre schimbate
Etc....
Unic proprietar RO
Itp 2026
Sasiul original din fabrica nu a fost revopsit fără rugina la cerere trimit video
Masina arata și funcționează perfect
Accept și schimb cu camioneta 3.5 t basculabila"
mitsubishi,L200,23 000 €,2 500 cm³,185 CP,Diesel,Pickup,110 000 km,N/A,2018,Manuala,"Vând Mitsubishi l200
An fabricație 2018
106000 km
185cp
E 6 fără adblue
Stare foarte bună de funcționare
Nu mă interesează schimburi !"
mitsubishi,ASX,8 999 €,2 200 cm³,150 CP,Diesel,SUV,135 000 km,Alb,2017,Automata,"RAR EFECTUAT!
Mașina deține cartea de România!
POSIBILITATE FINANȚARE DOAR CU BULETINUL!
Rate fixe!
Posibilitate plată anticipată!
4x2/4x4/4x4lock
ALB PERLAT!
Posibilitate plata:Cash,Card,Cont,Rate!
Posibilitate garanție!
Se justifică fiecare km a mașinii!
KM sunt trecuți pe factura de achiziție!
Import Germania!
Ediție pt Germania!
Unic proprietar în Germania!
Motorizare COMMON RAIL
Distributie pe lant
Mitsubishi Asx 100+ Anniversary 2017/11 Automat Euro6 135000km
Import Germania
Editie pt Germania
Unic proprietar in Germania
Carte service!
-cutie automata CVT
-volan multifunctional
-padele volan
-camera marsalier
-4xgeamuri electrice
-oglinzi electrice
-oglinzi rabatabile din cheie
-keyless go(pornire la buton)
-keyless entry(acces in masina cu cheia in buzunar)
-volan piele multifunctional
-display central multifunctional tip LCD color(temp.ext,dist. parcursa,consumul mediu,indicator ECO DRIVE)
-asr (controlul tractounii)
-hla(asistenta la pornirea din rampa)
-functie verde ECO
-camera marsalier
-senzori presiune pneuri
-faruri bi-xenon
-faruri cu functia cornering
-lumini de zi LED
-carlig remorcare(2chei)
-2chei
-jante 18 originale MITSUBISHI
-roata de rezerva SLIM!
Mai multe detalii la tel…"
