marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
nissan,Pathfinder,6 990 €,2 500 cm³,174 CP,Diesel,Off-road,188 000 km,Albastru,2009,Automata,"••• Nissan Pathfinder 7 Locuri 4×4 •••
Detalii tehnice:
• An 2009
• Un singur proprietar
• 188.000 Km Reali Verificabili
• Serie șasiu : VSKJVWR51U0349477
• NU A FOST FOLOSITA LA OFF-ROAD
• NU SA FUMAT IN MAȘINĂ
• INTRETINUTA CORESPUNZATOR
•	Cutie de viteze AUTOMATA ( Schimba ca și o cutie nouă )
•	Tracțiune integrală 4x4 cu reductor All Mode 4x4
• Motor 2,5 Tdi -171 Cp
Dotări și confort:
•	7 locuri (bancheta spate rabatabilă)
•	Aer condiționat / climă automată
•	Geamuri electrice față + spate
•	Cruise control și volan multifuncțional
•	Sistem audio original cu CD/AUX
•	Oglinzi electrice încălzite
•	Airbaguri frontale și laterale, ABS, ESP
•	Isofix pentru scaune copii
Stare actuală:
•	Mașina se prezintă IREPROȘABIL
• Jante aliaj+	Cauciucuri ca noi
•	Caroserie fără rugină
•	Pregătită pentru drumuri lungi ori off road ,pescuit , vânătoare, pădure
• Etc...
Preț : 6.990 €€ ușor neg.
••• In prețul afișat se oferă transport  la domiciliu!
Locație : Iași"
nissan,Qashqai+2,6 950 €,1 995 cm³,150 CP,Diesel,SUV,143 000 km,Negru,2011,Manuala,"Se vinde
Nissan Qashqai 7 Locuri Panoramic
An Fabricație 2011-9
Motor 2.0 Diesel 150cp
Tracțiune 4x4
Norma De poluare euro 5
Km 143.000 Cu acte Doveditoare
Autoturismul este adus recent in tara in stare perfecta de functionare din toate punctele de vedere
Clima Abs Esp Servo Direcție Computer Bord Geamuri și oglinzi electrice Navigație Senzori ploaie Senzori lumini Comenzi volan Start Stop Cheie lesgou 2chei alarmă Bluetooth Sistem Audio Bose alarma Cameră Masalier Interior Piele Încălzire in Scaune Plafon Electric Panoramic Jante Aliaj Anvelope M&S
Interior curat și bine întreținut
Fără fum Fără pierderi de ulei Fara Accidente Fără probleme de nici un fel
Accept ori ce fel de textare autorizata pt verificarea masini
Detali mai multe la tel
Preț ușor neg"
nissan,Patrol,7 800 €,3 000 cm³,N/A,N/A,Off-road,241 000 km,Negru,2002,Manuala,"Vand Nissan Patrol, import Olanda. Masina se prezinta in conditie foarte buna, fara probleme mecanice sau estetice. Se vinde cu carte de Romania, deci are Rar-ul facut (autoutilitara). Pentru mai multe detalii sunati la numarul din anunt!"
nissan,Qashqai,4 490 €,1 600 cm³,117 CP,Benzina,SUV,247 000 km,Gri,2012,N/A,"Nissan Qashqai Acenta
1.6 Benzina 117cp
Euro 5
Cutie Manuala 5+1 Trepte
Dotari:
Dublu Climatronic
4 Geamuri electrice
Senzori parcare spate
Senzori lumini
Senzori ploaie
Comenzi volan
Volan reglabil
Scaune Reglabile / Isofix
Pilot Automat / Tempomat
Limitator Viteza
Anvelope noi de iarna
Pret 4490€ neg"
nissan,Patrol,10 000 €,2 800 cm³,116 CP,Diesel,SUV,200 000 km,Negru,1995,Manuala,"De Vanzare Nissan Patrol Y60 Pick-Up Autotilitara, An Fabricatie 1995, Motorizare 2.8Diesel 116CP. Masina este inmatriculata. Mai multe detalii la numarul de telefon: 07******96"
nissan,Qashqai,9 990 €,1 598 cm³,130 CP,Diesel,SUV,220 000 km,Negru,2015,Manuala,"NISSAN QASHQAI TEKNA , 1.6 DCi , 4x4 , Fabricație 2015 , RAR EFECTUAT
POSIBILITATE RATE , AVANS ZERO
Nissan Qashqai Tekna
An fabricație 2015
Motor 1.6 DIESLE ( 130 Cp )
Cutie manuală 6+1 trepte
Tracțiune 4X4 DIFERENȚIAL BLOCABIL
Panoramic
Faruri led
Xenon
Proiectoare ceata
Jante aliaj R19 Originale
Insertii Piano Black
Clima 2 zone
4 geamuri electrice
Navigatie
Key_less entry (se deschide cu amprenta)
Key_less go (porneste la buton)
Side Assist (avertizare unghi mort)
Lane Assist (menține banda de mers)
Front Assist (avertizare in caz de impact)
Park Assist (parchează singura)
Scaune din Piele perforata (ventilata)
Scaune încălzite
Volan din piele/multifunctional
Pilot automat
Senzori parcare fata-spate
Camere 360 grade
Senzori Lumina/Ploaie/Presiune roti
Frana de mana electrica
Lumini ambientale int-ext
2 Chei
Oglinzi incalzite/electrice/pliabile din telecomanda
IMPORT RECENT
RAR EFECTUAT ( Carte România )
KM 220.000 ( Carte service )
ACCEPTĂM TEST AUTORIZAT
CONDIȚII DE FINANȚARE
- Posibilitatea finanțare prin TBI bank și MOGO IFN
- Aprobare credit în maxim 2 ore
- Persoanele eligibile de la 18 la 70 ANI
- FINANȚAM Și persoanele cu istoric NEGATIV în biroul de credit
- SE ACCEPTĂ ȘI CONTRACTELE DE MUNCĂ DIN STRĂINĂTATE
- Se acceptă venituri din diurne ( MAI / MApN / PENSII )
- PERSOANE JURIDICE
- MINIM 3 luni de la actul ANGAJATOR
RATE FIXE PE TOATĂ PERIOADA CREDITULUI  cu POSIBILITATE DE RAMBURSARE ANTICIPATĂ
SE ACCEPTĂ sistemul BUY-Back ( Mașina ta la schimb )
12 Luni GARANȚIE ( Ofertă supusă unor termeni și condiții )
DESCRIERE INFORMATIVĂ ,POT APĂREA OMISIUNI SAU ADĂUGĂRI"
nissan,Juke,8 499 €,1 197 cm³,115 CP,Benzina,SUV,107 249 km,Gri,2017,Manuala,"Parc Auto Autorizat BEKA MOTORS - Cisnadie, Jud. Sibiu
Dispunem de numere de probe, astfel orice masină din oferta noastră poate fi probată pe drumurile publice.
Oferim transport gratuit in limita a 100 km sau contracost oriunde in tară.
Autoturismul poate fi achizitionat cu cash sau prin RATE TBI direct la parcul nostru auto.
Oferim 1 AN GARANTIE fara limită de km. pentru persoanele fizice si în limita a  15.000 km pentru persoanele juridice.
La mașina au fost schimbate acum 2 zile in service autorizat RAR următoarele:
- Kit complet lanț distribuție
- Ulei si toate filtrele
Se oferă deviz de service cu garanție pe lucrare!
NISSAN JUKE
An fabricatie : 02/2017
Combustibil - Benzină
Capacitate cilindric: 1200 CC
Putere - 120 CP
Norma de poluare : Euro 6.
Km:107249
Cutie de viteze: Manuală cu 6 + 1 trepte de viteză.
VIN : SJNFEAF15U7320000
Dotări:
Senzori ploaie si lumini
Lumini de zi ( daylights)
Cameră pentru marsarier
Computer de bord
Pilot automat
Climatronic
Geamuri electrice
Oglinzi electrice si incalzite.
Navigatie cu Andoid Auto
Sistem audio cu comenzi pe volan, conexiune bluetooth si Usb.
Jante bicolore din aliaj cu anvelope foarte bune de iarnă.
Sistem Isofix pentru fixare scaune copii.
SE EMITE FACTURĂ SI CERTIFICAT DE GARANTIE PE CARE SE MENTIONEAZĂ NR DE KM!
Acceptăm si recomandăm verificarea masinii in orice service AUTORIZAT RAR.
NU FACEM SCHIMBURI!
!!!PRETUL ESTE FIX!!! NU SE NEGOCIAZA!
Desi specificatiile masinii au fost adaugate cu mare atenție, firma nu raspunde pentru acuratetea informatiilor, fiind posibil strecurarea unor greseli.
În consecință sunteti rugati să ne contactati telefonic pentru informatii mai detaliate sau clarificări acolo unde informatiile înscrise în anunț nu sunt edificatoare.
Vă multumim!"
nissan,Qashqai,9 500 €,1 598 cm³,130 CP,Diesel,SUV,169 000 km,Negru,2015,Manuala,"*ATENȚIE ‼️
*Are NR roșii valbile din 20/11 -2025 + Asigurare ‼️
( Se poate pleca pe Roții cu ea )
SUPERB ‼️4WD ( 4x4 )
( Unic Propietar în Germania de la NOU )
--Seria Șasiu pt Verif --‼️
( SJNFDNJ11U1026402)
*NISSAN QASHQAI TEKNA ‼️
*1.6 dci ( 131 cp )
* EURO 5B ‼️
*Model Fără (Adblue) Cel mai Bun Motor disell ‼️
*Manual 6+1 viteze
*An 10 / 2014 ‼️
*Model an 2015 ( TEKNA) full
*Tracțiune 4x4/ 4WD ( integrala) ‼️Cuplare Buton
Model TEKNA ‼️full posibil
*Frineaza Singura
*Menține Banda de drum
*Panorama mare Superba ‼️
*Xenon ‼️poziție led
*Keyless entry
*Keyless Go
*Camera Video 360* grade ‼️
*Camera Oglinzi
*Klimatronik
*Încălzire Scaune ‼️
*Parktronik
*Volan Multifuncțional ( piele)
*Linie Audio
*Pornire START STOP ‼️
*Stopuri LED
*4 Geamuri electrice
*Oglinzi electrice
*Tempomat
*Vopsea Originală ‼️
*Negru Metalizat ( Antracit)
*Fără RUGINA sau Accident ‼️
*Interior îngrijit
( SCAUNE TEKNA) parțial piele neagra ‼️ îngrijit ca Nou
*MOTORUL MERGE PERFECT ‼️
Km ( Orig 169.000 ) +2 chei
*Carte Service + Tuff GERMANIA ‼️
*Revizi doar în rep NISSAN
*Jante de Aluminiu ‼️
*Cauciucuri foarte Bune
*GIRLIG de REMORCARE ‼️
IMPORT RECENT GERMANIA ‼️
*Livrare GRATUITA ACASA ‼️
*Se poate Obține prin Finanțare RATE FIXXE ‼️
*TBY BANK
*Bay Bek ( Auto + Diferența)
ATENȚIE ‼️
Mai multe NISSAN QASHQAI pe STOC ‼️
*Varianta Benzina ‼️
INFO TELL ‼️
*ADUSA RECENT ( 18/11-2025) ‼️
*Accept orce Test sau Verificare AUTORIZATĂ ‼️"
nissan,Qashqai,10 999 €,1 568 cm³,131 CP,Diesel,SUV,131 000 km,Alb,2017,Automata,"03/2017, Tekna, Euro 6 [fără ad blue]
131000 Km
Inmatriculată
ITP 2 ani
Perfectă stare de funcționare
Panoramic
Cameră video de marsalier 360°
Navigație 3D
Keyless
Faruri LED
Interior piele +texil
Volan sport îmbrăcat în piele
Comenzi pe volan
Climatronic bi-zonal
Încălzire parbriz
Încălzire scaune față
Pilot automat /Limitator de viteză
Scaun șofer reglabil electric
Senzori parcare față, spate
Faruri automate
Ștergătoare automate
Asistență fază lungă [Schimba singură]
Asistență impact frontal
Asistență parcare laterală,spate [Parchează singură]
Lane assist [Păstrează banda de rulare
Asistență unghi mort
Bluetooth conectare telefon mobil
Sistem audio Bose
Geamuri electrice față, spate
Spălătoare faruri
Proiectoare ceața
Jante aliaj
Cârlig de remorcare detașabil
2 chei
Carte service
Nu sunt interesat de schimburi"
nissan,Qashqai,11 990 €,1 461 cm³,110 CP,Diesel,SUV,214 000 km,Gri,2017,Manuala,"Vând Nissan Qashqai J11 facelift,RAR efectuat(carte RO făcută),a.f.09/2017,prima înmatriculare 2018,motor 1.5 diesel,110 c.p.,euro 6(fără AdBlue din fabrică),cutie de viteze manuală cu 6 trepte
Dotări pachet N-Connecta
Plafon panoramic
Scaune Incalzite
Day Light Led-uri/ Faruri automate
Navigatie mare color
Camere 360/Camera marsarier
KeyLess Go/Entry/Start&Stop
Senzori de Parcare cu Afisaj Fata / Spate
Senzori de Ploaie
Senzori de Presiune Roti
Senzori de Lumini
Senzori oboseală
Senzori evitare coliziune
Sistem recunoastere semne de circulatie
Volan din Piele+comenzi
Oglinzi Electrice Incalzite si Heliomate pliabile
Dublu Climatronic cu afișaj
Geamuri Electrice Fata / Spate
Blind Spot - Avertizare in Oglinzi la Schimbarea Benzii de Circulatie
Change Lane
Jante din Aliaj pe 19 inch
Computer de Bord
Pachet nichel la exterior
Geamuri ionizate din fabrica
Cârlig remorcare demontabil
214000 km/carte service la zi/un singur proprietar de nouă
VIN: SJNFAAJ11U2066499
Pret 11990 euro"
