marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
opel,Astra,4 250 €,1 700 cm³,131 CP,Diesel,Hatchback,244 100 km,Rosu,2012,Manuala,"Opel Astra J
Fabricație 2012
Motorizare 1.7 CDTI 131 cp
Norma de poluare Euro 5
Cutie de viteze manuală în 6 trepte
244100 km
Import Germania
Dotari:
- Faruri led/xenon adaptiv
- Navigatie Mare color
- Aer condiționat
- Tapiterie piele partial
- Pilot automat
- Senzori parcare
- Senzor ploaie
- Senzor lumina
- Sistem spălare faruri
- Volan din piele cu comenzi
- Computer bord
- Radio CD/Aux/Usb/Telefon
- Lumini ambientale
- Proiectoare ceata
- Oglinzi electrice
- Închidere centralizata
- Geamuri fumurii
- Jante aliaj originale R17
- Carte service la zi + TUV-urile din Germania
Schimbat recent
Discuri frână față
Discuri frână spate
Plăcute frână față și spate
Flanșe amortizor fața
Ulei si filtre
Accept orice test autorizat si pot ajuta viitorul proprietar la înmatriculare daca este cazul.
Prețul este ușor negociabil și NU ma interesează nici un fel de schimb!"
opel,Astra,2 400 €,N/A,N/A,Benzina,Hatchback,111 213 km,Alb,2010,Manuala,"Vând autoturism Opel Astra H alba, anul 2010, 1.4 benzina , utilizata
Preț negociabil 2400 euro"
opel,Frontera,3 950 €,2 000 cm³,116 CP,Benzina,Off-road,150 km,Albastru,1996,Manuala,"Masina a fost reconditionata pana la nivel de sasiu, este fara rugina.
- vopsit raptor
- sispensie Ironmann+ 10 cm
- caroserie ridicata +5 cm
- evacuare inox
- bara metalica fata / spate
- jante intoarse cu simex CST
-led barr momentan demontat
- inca un rand de roti de strada
Modificari facute de 2 ani in valoare de 6000 euro.
Cuplajele functioneaza bine
4×4 Hi, 4×4Low, 4x2
Are motor de 2000 cm benzina cu taxe mici.
Acte la zi cu ITP, RCA, Rovignieta
De cand a fost modificata are putine iesiri pe teren. In general overlanding.
Schimb tot cu un 4x4, mai cuminte ( Vitara 2 sau Duster).
NU SCHIMB CU MOTOCIGLETE"
opel,Astra,2 599 €,1 700 cm³,125 CP,Diesel,Break,300 000 km,Gri,2013,Manuala,"An 2013 decembrie
Motor 1.7 cdti
6+1 manuala
Dotări clima funcțională
Jumătăți de piele
Senzori ploaie
Senzori parcare
Senzori ploaie
Faruri automat
Comenzi volan
Scaune încălzite
Volan reglabil
Pilot automat
Închidere centralizata
Radio
Cd
Bluthe
Aux
Phone
Frana automat
Geamuri electrice
Oglinzi electrice
Toate reviziile făcute la timp
Nu are rugina
Nu are scurgeri de ulei
Nu este lovita
Mașina este întreținută
Itp Asigurarea fiscal
Stare impecabila
Toate actele in regula"
opel,Insignia,4 500 €,1 798 cm³,140 CP,Benzina,Berlina,158 000 km,Argintiu,2009,Manuala,"Opel Insignia,  an fabricație 2009, motor 1,8 benzină-140 CP, inmatriculata Ro,  actele la zi, impecabila tehnic și estetic,  158000 km reali, roți vară/roți iarna."
opel,Astra,1 250 €,1 596 cm³,101 CP,Benzina,Berlina,250 000 km,N/A,2003,N/A,"Opel Astra G Sedan
Motor 1.6 16V 101CP euro 4
Unic propritar in țară
DOTARI
4x geamuri electrice
oglinzi electrice
clima digitala(climatronic)
sistem audio original CD
comenzi volan
volan piele
inchidere centralizata
magazie CD-uri
Abs,servo directie
Etc
Masina arata si funcționează foarte bine,toate cosumabilele schimbate la timp!
Nu are rugină sau alte defecte!!
Ideală pentru oras,consum mic și întreținere ieftină!!
ITP 10.2026
FARĂ VARINATE !!
FISCAL PE LOC!
CONTACT O.7.2.2.6.6.3.1.2.nouă"
opel,Corsa,3 300 €,1 200 cm³,90 CP,Benzina,Hatchback,174 000 km,Gri,2008,Automata,"Opel Corsa, automată - Easytronic , motor 1.200cm3 ( benzina)
Mașina este bine întreținută .
Acum 1lună au fost schimbate : distribuția , pompa de apă , ulei motor , toate filtrele, și bucși pe față , piese de calitate.
Cutia schimbă foarte bună, pe articulații nimic nu bate .
A/C- funcțional, suport de biciclete funcțional.
Interiorul într-o stare perfectă .
Toate actele sunt în regulă , ofer fiscal."
opel,Astra,16 099 €,1 598 cm³,150 CP,Plug-In Hybrid,Hatchback,28 500 km,Rosu,2022,Automata,"-Pretul este16.099€+ tva TVA deductibil
-Cutie de viteza automata 8+1 trepte
-Masina este inscrisa in Ro pe firma platitor TVA
-Posibilitate in rate sau leasing
- Geamuri electrice fata si spate
- Oglinzi exterioare reglabile electric si incalzite, rabatabile manual
- Activare incalzire si climatozare de pe telefon prin aplicatia My OPEL
- Lumini de zi
- Stergatoare parbriz intermitente
- Stergator luneta intermitent
- Luneta degivrata cu temporizare
- Inchidere centralizata cu telecomanda
- Computer de bord multifunctional
- Volan reglabil manual in inaltime si adancime
- Comenzi audio pe volan
- Scaun sofer reglabil pe inaltime
- Bancheta spate cu spatar rabatabil fractionat 1/3 - 2/3
- Plafoniera fata cu lumini de citit
- Parasolar sofer si pasager, cu oglinda de curtoazie pasager
- Priza 12V
- Ecran instrumente bord color 7""
- Climatizare electronica
Categorie: Siguranta activa si pasiva
- Recunoastere semne de circulatie
- ABS + AFU + ESP + REF + Hill assist(Asistenta la urcarea in rampa)
Servodirectie electrica
- Airbag-uri frontale fata, laterale si cortina
- Sistem de prindere ISOFIX locuri spate
- Aprindere automata avarii in caz de decelerare brusca
- Incuiere automata a usilor in rulaj
- Detector indirect presiune pneuri
- Kit reparatie pana
Categorie: Design
- Pavilion in culoarea caroseriei
- Manere interioare usi cromate
- Manere exterioare usi in culoarea caroseriei
- Ornamente geamuri laterale cromate
- Carcase oglinzi exterioare de culoare negru lucios
- Volan piele 3 spite sport
Categorie: Optional Packs
- Active Cruise Control AT(Alerta coliziune frontala, Sistem de evitare şi
reducere a impactului, Detectare pietoni si biciclisti, Pilot automat adaptiv
cu oprire si pornire, Avertizare parasire banda, Recunoastere semne
circulatie, Avertizare sofer cand masina merge neregulat, Sistem inteligent
de adaptare a vitezei(propune viteza corecta)
Categorie: Infotainment
- Opel Connect Radio Multimedia 10"", 6 boxe si DAB, Pure Panel(finisaj
ecran din sticla)
Categorie: Safety
- Asistent parcare fata si spate cu camera panoramica 360°
Categorie: Wheels & Tyres
- Anvelope 225/40 R18
Categorie: Exterior
- Faruri FULL LED
- Stopuri LED
- Faruri ECO LED cu asistenta faza lunga
- Geamuri spate fumurii
- Plafon negru
- Proiectoare ceata LED
Categorie: Interior
- Climatizare electronica dual zone
Categorie: Jante
Lista echipamente optionale:
Opel Connect NAVI 10', 6 boxe si DAB
Pachet lumini(Iluminare automata cu schimbarea inteligenta a intensitatii luminoase,
Senzori de ploaie si de lumini,
Volan incalzit
Pret: Brut
Culoare: Rosu
Anunt adaugat de pe Autovit.ro"
opel,Astra,3 400 €,1 396 cm³,90 CP,Benzina,Hatchback,45 000 km,Alb,2009,Manuala,"O P E L - A S T R A - G - 1.4 Benzina -
An fabricație : 2009
Km bord - 45.000 km REALI proprietar
Capacitate cilindrică : 1398 90cp
Norma Poluare EURO 4
Combustibil : Benzina
- Aer Conditionat
- GEAMURI ELECTRICE
- Oglinzi Electrice
- Tapiterie Isofix
- Volan reglabil
- ABS
- Servodirectie
- Radio cd mp3+bluetooth
- Display afisaj temperatura
- Închidere centralizată
- Bancheta spate rabatabila
- Itp valabil 2026
- rca 2026
- Roata de rezervă Nu a Fost Folosită Niciodată
-UNIC PROPRIETAR CUMPARATA DE NOUA DIN ROMANIA
-Fara rugina,fara Nicio problema. Autoturismul ruleaza 10/10
Pretul este ușor negociabil la Fața locului
ACCEPT TRANSFER BANCAR
Autoturismul se poate viziona în București Sector1
Pret: Brut
Culoare: ALB
Emisii CO2: 151 g/km"
opel,Vectra,2 500 €,1 796 cm³,140 CP,Benzina,Berlina,188 000 km,Negru,2008,Manuala,"Motor 1.8 16v benzina aspirat Z18XER 140 CP
Mașină întreținută, folosită normal, fără abuzuri. Motorul trage bine, fără consum de ulei. Toate dotarile functionale.
A fost cumparata din Romania, istoric disponibil.
Distributie schimbata de aprox. 30.000 km
Clima automata pe doua zone functionala
Senzori de parcare fata + spate
Senzori ploaie
Scaune semi piele
4 geamuri electrice
Folii omologate
Parbriz atermic, oglinzi reglabile electric heliomate
Faruri Xenon de fabrica
Anvelope all season 215/55/16
Roata de rezerva de dimensiuni normale
Radio CD + mp3
Comenzi pe volan
Pilot automat
PRET FIX !"
