marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
peugeot,208,4 900 €,1 200 cm³,82 CP,Benzina,Hatchback,171 000 km,Albastru,2015,Manuala,"-pilot automat
-aer condiționat climatic
-Navigație mare color
-Bluetooth
-Usb mufa auxiliara
-Încălzire în scaune
-Volan piele cu comenzi
-Sistem Start/Stop
-Parbriz incalzit
-Volan piele cu comenzi
-Cutie viteze manuală
-Senzori parcare
-Esp
-computer de bord
-lumini de zi
-geamuri electrice
-oglinzi electrice incalzite
-inchidere centralizata
-Faruri automate
-Leduri Fata/Spate
-halogene in bara
-Jante aluminiu
-paket krom
Import recent Germania merge și arată foarte bine
După achiziționarea mașini va putem ajuta cu înmatricularea acestuia fără alte costuri suplimentare"
peugeot,308,5 290 €,1 200 cm³,82 CP,Benzina,Hatchback,115 000 km,Gri,2014,Manuala,"Peugeot 308
Motorizare: 1200
An Fabricatie: 2014
Km 115000
Norma poluare: Euro 5
-LED DRL
-Faruri cu functia Auto
-Sistem Multimedia Navi Touchscreen, redare prin Bluetooth/USB/AUX
-Interior textil, foarte curat si ingrijit
-Oglinzi exterioare incalzite
-Comenzi multimedia volan
-Cruise Control (pilot automat)
-Senzori parcare spate
-Senzori lumina/ploaie
-Jante aliaj originale pe 16"", echipate cu anvelope foarte bune
-Volan si schimbator de viteze imbracate in piele
-Carte service
-2 Chei
Masina a fost recent adusa, nerulata in tara. Se prezinta intr-o stare impecabila din orice punct de vedere.
La cerere pot ajuta cu transportul pe platforma pana la dvs. Mai multe detalii la telefon!"
peugeot,208,4 500 €,1 200 cm³,85 CP,Benzina,Hatchback,158 000 km,Rosu,2014,Manuala,"Peugeot 208
Fabricație : 11.2014
Cilindree :1.2 benzină
Norma poluare :Euro 5
Kilometrii : 158 ooo km verificabili
AC functional
Geamuri electrice x4
Închidere centralizată 2 chei
CD-player
Banchete fractionabile rabatabile
Sistem ISOFIX
Proiectoare ceata
Airbaguri frontale și laterale
Servodirecție
Computer bord
Volan din piele cu comenzi
Pilot automat
Se pot scoate 3 seturi de numere roșii!
La cerere transport pe platforma la domiciliu GRATUIT !
Masina este de proveniență din Italia!
Pentru mai multe informații contactati-ma telefonic!"
peugeot,207,1 500 €,1 398 cm³,N/A,Diesel,Hatchback,155 492 km,Negru,2008,Manuala,"Peugeot 207, an fabricație 2008, motorină, 1.4HDI, ITP valabil pana la data de 10.02.2026 ,cu ușoare avarii.
Mașina foarte buna pentru glovo, începători, sau studenți cu buget restrâns având și un consum mic.
Optiuni importante și funcționale:
-Aer condiționat
-Torpedou refrigerat
-Scaune încălzite
-Oglinzi electrice și încălzite"
peugeot,208,1 950 €,1 398 cm³,70 CP,Diesel,Hatchback,250 000 km,Maro / Bej,2012,Manuala,"Peugeot 208    ( model 2012 - 2019)
Fabricație:   08. 08. 2012
Motor 1.4 hdi de 50 kw - 70 Cai
Cod motor : 8H01
Euro 5
Mașina este avariată frontal conform foto, airbag-uri declanșate, centura la șofer blocată, parbriz spart în dreptul la airbag pasager
Motorul pornește
Lonjeroanele nu sunt atinse
Poate fi văzută la Drobeta Turnu Severin
Putem ajuta în privința transportului cu autoplatforma în țară
Mașina este recent adusă din Italia și deținem toate actele necesare înmatriculării - libret, certificat radiere cu cod qr"
peugeot,308,3 250 €,1 600 cm³,112 CP,Diesel,Break,160 000 km,Negru,2012,Manuala,"Peugeot 308 An 2012. Motor 1.6HDI 112cp. Cutie 6+1 trepte 160000km Absolut Realii Realii!! Arată și Funcționează ireproșabil! Accept verificarea oriunde dorește clientul!
*Sistem de navigație Europa!
*Pilot automat + limitator
*Comenzi volan
*Ordinator de Bord
*Aer Conditionat
*Geamuri electrice fața spate
*Oglinzii electrice încălzite
*Airbag Șofer si pasager
*Proiectoare ceată"
peugeot,308,6 099 €,1 200 cm³,120 CP,Benzina,Hatchback,234 971 km,Negru,2018,Manuala,"Peugeot 308
Motorizare 1.2 benzina - 120Cp
Normă de poluare Euro 6
An fabricație 2018
Cutie viteze manuală
Import recent Olanda , cumpărată de la propietar , un singur proprietar de nouă
Adusă în țară pe roți , ținută de drum Ireproșabilă
Arată și funcționează IMPECABIL
235.000 km KM reali , Carte service , ofer seria VIN pentru orice verificare
Accept și recomand test Service autorizat !!!
Mașina nu necesită absolut nici un fel de investiție !!!
Distributie schimbata 2024 la 205.000km
Ulei si filtre schimbate 23.07.2025 la 230.000km
Mașina nu are numere scoase
Se pot scoate numere roșii pe 3 luni
Ofer Asistență gratuită la înmatriculare !!!
Contract , Programări ( RAR , nr roșii , negre etc )
Toate actele necesare pentru înmatriculare se perfectează pe loc , la momentul vânzării !
Dotari:
* Dublu Climatronic digital cu afisaj pe navigatie
* Senzori de parcare față /spate cu afisare pe display
* Start & Stop la semafor
* Panoramic
* Navigatie color 3D , inclusiv hărți România
* Bluetooth , touchscreen , USB , AUX
* 4 x Geamuri electrice
* Oglinzi electrice
* Oglinzi retractabile electric
* Semnalizări Oglinzi dinamice
* Oglindă retrovizoare heliomată
* Faruri automate
* Proiectoare ceață
* Cornering
* Lumini de zi Led
* Stopuri Led
* Calculator de bord
* Pilot automat
* Comenzi volan
* Volan reglabil
* Scaune reglabile
* Închidere centralizata
* Jante aliaj originale R16 cu anvelope iarna Vedestrin 2023 , stare impecabilă
* Cârlig remorcare detașabil pe cheiță
* Kit rezervă complet cu roată slim
* etc ..."
peugeot,508,7 350 €,2 000 cm³,180 CP,Diesel,Berlina,175 000 km,Negru,2016,Automata,"Peugeot 508 2.0 BlueHDi 180 CP – 2016 – 175.000 km - PROPRIETAR DE 2 ANI !
Vând Peugeot 508 fabricat în 2016, motorizare 2.0 BlueHDi (180 CP), cutie automată, Euro 6, cu 175.000 km reali – rulați preponderent extraurban.
Dotări principale:
Climatronic automat bizonă
Cruise control + limitator de viteză
Navigație mare cu ecran tactil
Senzori parcare față/spate + cameră marșarier
Faruri Full LED automate
Jante aliaj 18” Diamond Cut
Scaune confort reglabile / încălzite cu memorie si masaj
Start/Stop, mod ECO
Geamuri electrice + oglinzi rabatabile electric
Isofix, ESP, ABS
Faza lunga automata
Senzori unghi mort
Stare tehnică:
Mașina este întreținută corespunzător, revizii efectuate la timp (ulei + filtre schimbate recent), nu necesită investiții.
Consum redus: ~5 l/100 km mixt.
Accept orice test ! Pentru mai multe detalii contactati-ma telefonic !"
peugeot,3008,19 900 €,1 600 cm³,300 CP,Plug-In Hybrid,SUV,122 000 km,Gri,2020,Automata,"-PEUGEOT 3008   -PLUG-IN HYBRID.   -Echipare GT. -Motor 1.6 PURETECH TURBO, -Distribuție pe Lanț   -Cutie de viteze EAT8    -Tracțiune AWD -Fab. 2020- FULL OPTION. -Interior negru.
-Revizie efectuată. Filtre si ulei 0W-30 conform indicațiilor Producătorului.
-Interior sport piele + Alcantara
-Volan piele perforată
-Încălzire auxiliara programabila.
-Scaune sport încălzite și ergonomice
-Iluminare ambientală LED (portiere, bord, consola)
-Cameră video față, spate
-Senzori parcare față/spate
-Asistență la parcare
-Climatizare automată bi-zonă
-Sistem keyless (fără cheie)
-Tehnic: impecabil.
- Automată full, 8 trepte
- Echipare GT
- Sistem Hybrid 4x4
- 4 Moduri de condus: Hybrid, 4x4, Electric, Sport
-Sistem nocturn cu detectare pietoni si animale.
- Cornering lights – iluminarea activa a curbelor
- LPA (mentinerea activa a benzii) + LKA (retragere automata la depasirea neintentionata a benzii)
- Senzor ploaie pe nivele de sensibilitate
- Lampi semnalizare dinamice
- Avertizare unghi mort
- Virtual Cockpit Peugeot, diferite teme
- Sistem avertizare si franare urgenta pietoni, animale, obstacole
- Apelare Telefonica 112 automata in caz de accident
- Inchidere centralizata “hands-free” + control geamuri din telecomanda
- Padele volan schimbare viteze
- Sistem supraveghere/avertizare oboseala
- Auto hold
- Stopuri + Faruri adaptive Full LED Technology
- Geamuri fata si spate actionate electric
- Oglinzi retrovizoare exterioare reglabile electric si incalzite
- Regulator + limitator viteza
- Servodirectie electrica
- Servofrana + Asistenta la franarea de urgenta
- Volan reglabil pe inaltime si adancime
- Sistem recirculare aer automat “air quality”
- 3 Prize 12V
- Luneta cu stergator si degivrare
- Computer de bord
- Bancheta spate rabatabila 1/3-2/3
- Cotiera centrala fata cu refrigerare si deschidere in 2 segmente
- Recunoastere extinsa semne circulatie (ETSR)
- Comutare automata la faza de drum
- Cablu incarcare 3.7 KW
- Priza USB rand 2
- 6 Boxe + USB + Bluetooth
- Stergatoare parbriz incalzite si automate
- Airbag-uri laterale fata
- Airbag frontal pentru sofer + pasager cu posibilitatea decuplarii airbag pasager
- ABS
- Airbag-uri cortina fata + spate
- Airbag-uri cap, genunchi, laterali
- Centuri de siguranta in 3 puncte, pretensionate
- 3 tetiere spate
- Sistem ISOFIX
- Frana  electrica automata cu Offroad Hill Assist
- ESP
- Detector indirect presiune pneuri
- Alerta activa depasire banda de mers
- Alerta atentie sofer (nivel 3)
- Geamuri laterale spate si luneta cu tenta inchisa
- Ornamente evacuare cromate
- Jante aliaj
-Anvelope All Seasons Dot 2025. 205/55 R19.
- Bare plafon longitudinale"
peugeot,206,1 599 €,1 400 cm³,75 CP,Benzina,Berlina,89 000 km,Gri,2007,Manuala,"Peugeot 206 motorizare 1.4 benzina, foarte fiabila și cu consum mic, funcționează impecabil pana la ultimul buton, vopsea originala fără rugina, interior ca nou, cauciucuri foarte bune. Masina este de provenienta România cu km reali.
AC funcțional, baga cald sau rece foarte repede, comenzi pe volan, geamuri și oglinzi electrice, închidere centralizata cu doua chei.
ITP, asigurare și rovinieta valabile. Fiscal fără probleme, nu necesita nicio investitie."
