marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
renault,Megane,4 750 €,1 197 cm³,130 CP,Benzina,Break,188 000 km,Negru,2015,Manuala,"Vând Renault Magane Ediție Limited
- An fabricatie: 2015
- Motorizare: 1197 cmc
- Putere: 130 cp
- Norma poluare: Euro 5
- Cutie de viteze: Manuala 6+1
- Kilometraj: 188.000
- Dotari:
ABS & ESP
Airbags frontale, laterale si cortina
Bord computer
Comenzi volan
4x geamuri electrice
Geamuri privacy spate
Keyless Entry & Keyless Go
Lane Assist - sistem de asistenta menținere banda
Jante aluminiu originale R16 echipate cu anvelope de vara
Jante aluminiu R16 echipare cu anvelope de iarna
Oglinzi heliomate, încălzite si rabatabile electric
Scaune fata încălzite
Senzori de parcare spate
Senzori de presiune pneuri
Servodirecție asistata electronic
Sign Assist - sistem recunoaștere marcate rutiere
Sistem de navigatie color R-Link cu touchscreen
Sistem automat de climatizare pe doua zone
Sistem de pornire Start/Stop
Volan multifuncțional imbracat in piele
Mașina rujează fără probleme dpdv tehnic si se prezintă in stare optica ft buna.
Se accepta orice tip verificare si diagnoza. La cerere se trimit peste 30 de  poze si video interior si exterior detaliate."
renault,Koleos,18 300 €,1 749 cm³,150 CP,Diesel,SUV,156 000 km,Negru,2020,Automata,"Vând mașina personală Renault Koleos Intense facelift din 2020, cu motor de generație nouă 1.7 dCi 150 CP EURO 6 cu AdBlue activ, automată X-Tronic. Mașină fără accidente, istoric complet verificabil în rețeaua Renault, km reali, revizie efectuată în iunie, ITP valabil până în noiembrie 2026.
Ideală pentru familie și drumuri lungi: confort premium, siguranță avansată și întreținere fără bătăi de cap. Accept test la reprezentanță Renault.
Model facelift Phase 2
Printre dotări se remarcă: Tempomat adaptiv, Asistență unghi mort, Line Assist, Easy Park Assist (parcheaza si iese din parcare singură), senzori 360°, navigație mare R-Link 2 cu hărți 3D, CarPlay/Android Auto, jante aliaj 19”, cameră spate, scaune încălzite cu reglaje semielectrice, sistem de ionizare și purificare a aerului în habitaclu si multe alte dotari enumerate mai jos.
DETALII
Interior:
*Asistență unghi mort (Blind Spot Assist)
*Adaptive Cruise Control + limitator de viteză
*Avertizare părăsire bandă (Line Assist)
*Easy Park Assist (parchează mașina singură în mai multe moduri)
*Alarmă
*Avertizare coliziune frontală
*Frânare de urgență
*Fază lungă automată
*Recunoaștere semne de circulație
*Senzor de citire oboseală
*Lumini ambientale pe 5 culori
*Ventilație suportul de pahare față cu posibilitate de răcire/Încălzire a băuturii
*Sistem audio
*Sistemul nou de navigație R-Link 2 cu ecran mare și hărți 3D România + Europa
*Buton asistență
*Conectivitate telefon Bluetooth/Android Auto/Apple Carplay
*Mirror link - preia functiile și ecranul de pe telefon
*CD/DVD/USB/card SIM
*Mod ECO
*4 moduri display
*Keyless Entry/Keyless GO - intrați și porniți mașina cu cheia în buzunar
*Funcția Start / Stop
*Geamuri electrice față / spate cu funcția confort și siguranță copii spate
*Isofix
*Scaune piele perforate cu reglaje semi-electrice
*Încălzire în scaune
*Prize 12V față-spate-portbagaj
*Cotieră față-spate (cea din spate are suport de pahare)
*Climă automată 2 zone cu reglaj și pentru bancheta spate
*Volan multifuncțional îmbrăcat în piele
Exterior:
*Portbagaj electric cu Soft Close și cu acționare din cheie
*Hands-Free Tailgate (deschidere portbagaj prin mișcarea piciorului sub bară)
*Iluminare cu funcția Follow Me Home
*Faruri full LED Pure Vision
*Stopuri LED
*Proiectoare ceață LED cu funcția cornering
*Geamuri privacy spate cu tentă închisă din fabrică
*Ornamente cromate geamuri din fabrică
*2 seturi de cauciucuri
*Cauciucuri noi de iarnă DOT 2024/ Cauciucuri de vară foarte bune Continental Premium Contact 6 DOT 2023
*Oglinzi heliomate
*Trusă/triunghiuri/Veste
*Kit de pană
*2 chei
*Jante aliaj originale 19`
*Oglinzi încălzite, reglabile și rabatabile electric
*Lumini automate
*Senzori de presiune roți
*Senzori de ploaie
*Senzori de lumină
*Senzori de parcare 360° cu afișaj
*Cameră spate
*Bare longitudinale
*Asistență la urcare/coborâre în pantă
Se află în perfectă stare de funcționare și se prezintă foarte bine din punct de vedere mecanic, electric și estetic! Preț negociabil doar la vizionare.
Mașină îngrijită și întreținută, rog seriozitate!
Nu mă interesează schimburi."
renault,Megane,3 500 lei,N/A,N/A,N/A,Break,N/A,N/A,N/A,Manuala,"Vand Renault Megane 1, prim proprietar.
Motor pe motorina, capacitate 1870 cc, 75 KW.
Prima inmatriculare a fost in Martie 2003.
Rulaj de 234 000 KM.
Masina este functionala, are RCA si ITP valid.
Usile din spate, nu se deschid din exterior, spalatoarele nu functioneaza.
Predare in zona Constantin Brancoveanu, sector 4, Bucuresti."
renault,Megane,5 750 €,1 500 cm³,110 CP,Diesel,Break,229 000 km,Alb,2016,Manuala,"Renault Megane LIMITED
An fabricatie 11/2015
Motorizare: 1.5 DCI 110CP
Cutie de viteze manuala 6+1 trepte
229.000 KM (Se pot verifica)
Norma poluare EURO 6
Dotari :
Dublu Climatronic(functional)
Geamuri electrice fata/spate
Oglinzi electrice incalzite
Oglinzi rabatabile electric
Pilot automat / Limitator viteza
Autohold
Keyless go
Keyless entry
Comenzi volan
Proiectoare ceata
Scaune incalzite
Senzori ploaie
Senzori parcare
Start/Stop la semafor
Lumini de zi (daylight)
Navigatie originala | MEDIA NAV | USB | AUX
Bluetooth-Telefon
Mod conducere ECO
Computer de bord
2 chei
Carlig remorcare
Jante aliaj R16 originale , anvelope in stare foarte buna
Numere rosii valabile
Toate actele se vor finaliza in nomentul vanzarii
Stare autovehicul , foare buna
Pret negociabil - 5750€"
renault,Clio,3 800 €,1 200 cm³,75 CP,Benzina,Hatchback,189 200 km,Rosu,2014,Manuala,"Renault clio 1.2i -75ps euro5
Navi, tempomat
Aer conditionat
Jante aliaj
Computer bord
Day light
Recent adus imoort Germania
3800€ Fixx"
renault,Megane,9 990 €,1 598 cm³,130 CP,Diesel,Hatchback,88 000 km,Albastru,2017,Manuala,"Se vinde Renault Megane 4 din 2017, 88.000km are masina reali, se pot verifica, 1.6 diesel, model destul de dotat, 2 cartele, masina inmatriculata, keyless go, keyless entry, navigație mare, moduri de condus, încălzire în scaune, cauciucuri de iarnă foarte bune cu jante aliaj, mai multe detalii la telefon."
renault,Trafic,12 000 €,1 995 cm³,120 CP,Diesel,Minibus,490 000 km,Alb,2021,Manuala,"Renault Trafic 2,0dci 120ps,euro 6 -490.000 KM
=PROBLEME INJECTIE- PORNESTE MAI GREU-eroare sist inj -DE ACI SI PRET REDUS!!!DEPLASABIL ORICE DISTANTA
- 8+1 locuri
-11/2020
- Aer conditionat -2 zone
- Faruri Renault Pure LED
- Climatizare suplimentara pentru pasagerii din spate
- Radio cu USB
- Bluetooth
- ABS + ESP + ASR
- Controlul tractiunii
- Computer de bord
- Geamuri anterioare cu reglaj electric
- Perdelute pentru geamurile laterale
- Usi batante pe spate cu stergatoare si lunete incalzite
- Proiectoare de ceata
- Lumini de zi
- Grila frontala cromata
- Oglinzi laterale cu reglaj electic si sistem de degivrare
- Cotiera scaun sofer
- Banchete rand 2 si 3 rabatabile cu posibilitate de eliminare
- Plafoniere individuale pentru fiecare pasager"
renault,Megane,10 950 €,1 332 cm³,140 CP,Benzina,Berlina,71 500 km,Alb,2021,Manuala,"Pret fix !
Vand Renault Megane Berlina 07.2021
Motor 1.3 Benzina 140 CP
2 chei originale
Clima
Geamuri electrice
Cutie Manuala
71.500 km reali
Revizie facuta
Anvelope All Season Noi
Baterie noua
Discuri placute noi
Nu necesita nici o investitie
Inmatriculata, itp, rca valabile
Functioneaza perfect !"
renault,Megane,9 999 €,1 461 cm³,110 CP,Diesel,Break,138 200 km,Albastru,2018,Manuala,"Dealer autorizat specializat in comerțul cu autovehicule ușoare (sub 3,5 tone). Toate actele se finalizează la vanzarea autoturismului. Se emite factura fiscală pe loc și toate actele necesare pentru înmatricularea mașinii,inclusiv fiscal!
** Renault Megane IV GrandTour
** Motorizare 1.5 DCI 110 CP
** Euro 6(FARA ADBLUE)
** An fabricatie 2018
- Scaune Sport
- Tapiterie semi piele
- Bancheta Spate Rabatabila
- Volan Sport Multifunctional
- Senzor de parcare 360 Grade
- Jante Originale
- Android Auto / Apple Car Play / Mirror Link
- Activ Safe Brake
- Faruri +Tehnologie Led
- Faza Lunga Automata
- Lumini de zi led
- Stopuri cu Tehnologie Led
- Sistem Navigatie 3D (Touch Screen+Limba Romana)
- Climatizare Automata pe 2 Zone
- Franare Activa
- Adaptiv Cruis Control
- Lane Assist
- Privacy Glass
- Avertizare atentie conducator
- Recunoasterea semnelor de circulatie
- Cornering Lights
- Franare Automata in caz de impact
- Frana de Stationare Electrica
- Senzori de Parcare Spate cu Afisaj pe Display
- Instrumental Bord Full Display(Virtual Cockpit)
- Paket Nikel
- Privacy Glass
- ABS
- Start/Stop Semafor
- Air Quality Sensor
- ESP
- Volan multifunctional,imbracat in piele
- Pornire start/stop
- 4 x Geamuri electrice
- Oglinzi electrice incalzite
- Sistem Isofix
- Bare longitudinale (pavilion)
- Proiectoare Ceata
- CarKit
- Multimedia (Aux / USB)
- Scaune reglabile inaltime / adancime/ rabatabile
- Senzori Ploaie/Lumini
- Computer bord (consum instant , range , mixt)
- Pilot automat / Limitator de viteza
- Cotiera fata / spate (suport de pahare)
- Inchidere centralizata
- Servodirectie asistata
- Follow me home
- Leaving Home
- 8 Airbag-uri
- Lumini de zi cu tehnologie LED"
renault,Megane,3 090 €,1 600 cm³,N/A,Benzina,Berlina,78 000 km,Negru,2009,Manuala,"Vând renault megane 1.6, 16 valve, benzină
Anul de fabricație 2009
- 78.000 km (în creștere)
- xenon
- pilot automat
- comenzi pe volan
- plafoniere cu led
- jante originale renault din aliaj
- interior full piele crem
- senzori parcare spate
Mașina are km reali 100%, accept test la reprezentanță sau service autorizat (mergem urcăm mașina pe elevator și o inspectam cm cu cm)
Mașina nu bate nimic pe ea, nu are scurgeri de ulei, motor curat, revizii făcute în primăvară
Cutia de viteze schimbă perfect, motorul este foarte silențios
Mașina a fost a mea personală, este înscrisă pe firma mea, se vinde cu factură și fiscal
Pot oferi încă un set de anvelope de iarnă care mai pot fi folosite cel puțin un sezon
Este un model vârf de gamă, model ediție specială, a fost cumpărată de nouă din reprezentanță din România
Ofer și video cu ea în privat
Ofer serie de șasiu pt verificare RAR sau Car vertical
A nu se compara cu mașini din același an, dar cu km peste 200k și obosite
Mașina se poate vedea in Chiajna sau Lujerului sect 6 București, in cursul săptămânii după orele 16:00
Mașina mai are mici defecte optice datorită vârstei, defecte pentru care sunt dispus să mai negociem la fața locului
Pot fi contacta telefonic sau pe whatsap ( in caz că nu răspund)
07********35"
