marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
skoda,RAPID,6 900 €,1 000 cm³,75 CP,Benzina,Berlina,193 498 km,Albastru,2019,Manuala,"Skoda Rapid 1.0
Auto fără avarii.
Unic proprietar în Ro achiziționată de la Porsche București.
Exclus variante.
Preț ușor negociabil,exclus oferte aberante."
skoda,Octavia,14 950 €,1 968 cm³,150 CP,Diesel,Break,193 000 km,Albastru,2022,Automata,"*** Skoda Octavia 4 ***
2.0 TDI / Led / Euro 6 / Digital Cockpit / Apple CarPlay / DSG / 150 cp /
Prima inmatriculare 07.07.2022
Numere  valabile 90 zile
Masina are kilometri reali 100%.
Dotari:
Camera marsarier
Faruri automate Led
Proiectoare ceata LED
Semnalizari dinamice
Servodirectie asistata
Lane assist ( mentine banda )
Front assist ( pune frana singura in caz obstacol
Digital cockpit
Asistenta iesire parcare (franeaza automat in caz de pericol la iesirea din parcare cu spatele.)
Senzor oboseala
Lumini de zi led
Pachet lumini ambientale multicolore
ACC - adaptive cruise control ( se tine dupa masina din fata si pune frana singura in caz de accident )
Sign recognition ( citeste semnele de circulatie )
Senzori presiune anvelope
Senzori ploaie si lumini
Senzori parcare  spate
Volan piele multifunctional
Volan incalzit
Navigatie Mare tableta cu harta Europei inclusiv Romania
Apple Car Play/Android permite conectarea telefonului la navigatie si preia functiile acestuia ( waze youtube maps etc.) fara cablu.
Internet Wifi Hotspot
Climatronic digital pe 2 zone AirCare
Incalzire in scaune fata
Oglinzi electrice cu încalzire si heliomate
Oglinzi rabatabile electric
Hard disk intern 20GB
SD Card, USB, aux
Sistem isofix bancheta spate
Airbag-uri fata (sofer + pasager), laterale fata si cortina
Cotiera fata spate
Torpedou cu racire
Start stop la semafor
Auto hold
Coming home / leaving home
Jante aliaj 16""+Jante de iarna
KEYLESS ENTRY - se deschide pe amprenta cu cheia in buzunar
KEYLESS GO - porneste cu cheia in buzunar
2 Chei
PRET USOR NEGOCIABIL."
skoda,Superb,5 800 €,1 600 cm³,N/A,Diesel,Break,230 000 km,Argintiu,2014,Manuala,"Skoda Superb 2014   1.6 Diesel ,rulaj 230000 km
*Dotări:
-Dublu climatronic cu afișaj și în spate
-Pilot automat
-Computer bord
-Sistem navigație+sistem audio
-Faruri Xenon cu Leduri
-Senzori ploaie
-Senzori lumini
-Senzori parcare față-spate
-Geamuri electrice față-spate
-4 anvelope iarnă
-Cârlig remorcare
-2 chei tip briceag
Mașina arată și merge impecabil ,nu s-a scos nici un rând de nr roșii!"
skoda,Octavia,8 500 €,1 500 cm³,130 CP,Benzina,Break,250 000 km,Negru,2019,Automata,"Skoda Octavia 3 Facelift 2019 Euro 6
1.5 tsi bezina plus gaz CNG
Ca dotari masina are :
Cutie automata dsg 7
Faruri si stopuri led
Interior din piele , scaune fata incalzite
Climatronic
Pachet lumini ambientale
Camera marsalier
Navigatie/android auto
Camera recunoastere semne circulatie
Front assist
Distronic Plus
Senzori parcare fata si spate
Senzori ploaie si lumini
Oglinzi rabatabile electric
Jante R16
Revizie la zi
Import recent Germania
Masina necesita si unele retusuri :
Distronicul trebuie calibrat
Aripa dreapta spate necesita PDR este ff putin atinsa in zona stopului.
Toate aceste mici defecte se reflecta in pret, care este putin negociabil la vizionarea masinii."
skoda,Octavia,12 300 €,1 990 cm³,150 CP,Diesel,Berlina,200 000 km,Maro / Bej,2018,Automata,"SKODA OCTAVIA 2.0 TDI DSG
Distributie + revizie / placute frana toate piesele originale , volanta și ulei cutie revizie
DOTARI:
- Lumini ambientale in diverse culori
- STYLE Edition
- SISTEM AUDIO
- PILOT ADAPTIV
- DAYLIGHT LED
- Volan multifunctional din piele reglabil in inaltime si adancime model VRS
- Oglinzi exterioare electrice , incalzite , heliomate
- Oglinda retrovizoare cu senzor anti-orbire
- Navigatie color mare 3D cu touchscreen SKODA Discover Media
- Radio + CD/DVD + MP3 + 2 SD CARD + Bluetooth Audio + AUX + USB + WIFI
- Bluetooth CarKit – conectare telefon mobil
- Sistem SMARTLINK
- AppleCar Play – conectare IPHONE cu toate functiile sale
- Android Auto – se pot conecta si sinconiza toate telefoanele Android
- Incarcare telefon mobil wireless
- Dublu Climatronic cu afisaj color
- Incalzire in scaune
- KEYLESS GO
- KEYLESS ENTRY
- Buton START-STOP ENGINE – pornire/oprire motor printr-o apasare de buton
- Faruri Full Led
- Spalatoare faruri
- Tehnologie LED – DAYLIGHT faruri + stopuri
- Senzori de lumina + Coming Home + Leaving Home
- Senzori de ploaie + Stergatoare automate
- Senzori de parcare acustici si vizuali
- Sistem PARK ASSIST
- Senzori de presiune in pneuri
- Sistem DRIVER ALERT
- Sistem PROACTIVE OCCUPANT PROTECTION
- AUTO HOLD – asistenta la plecarea din rampa
- Sistem eco START/STOP
- Sistem ISOFIX pentru fixarea scaunului de copil
- Pilot automat
- Proiectoare de ceata cu functie CORNERING
- Lumini ambientale in diverse culori
- Cotiera FATA + SPATE
- 4 geamuri electrice
- Parbriz cu functie de degivrare electrica (incalzit)
- Privacy glass
- Computer de bord
- Inchidere centralizata
- Torpedou refrigerat
- Alarma
- Jante din aliaj cauciucuri noi All Season Pirelli
- 2 chei
Distributie + revizie / placute frana / amortizoare schimbate recent, toate piesele originale - detin facturi."
skoda,Octavia,2 400 €,1 890 cm³,90 CP,Diesel,Berlina,313 000 km,Gri,2004,Manuala,"SKODA OCTAVIA 1:
-MOTOR: 1.9 TDI
-COD MOTOR: ALH
-PUTERE: 90CP
-AN FABRICAȚIE 2004
-ÎNCHIDERE CENTRALIZATA
-PROIECTOARE
-CLIMATRONIC
-CUTIE MANUALA 5 TREPTE
-GEAMURI ELECTRICE FAȚĂ/SPATE
-SERVODIRECTIE
-ABS/ESP
-CONSUM MIC(5,6%MIXT)
-PACHET DRUMURI GRELE-SCUT METALIC
-JANTE TABLA R15 echipate cu cauciucuri de iarna
Mașina a avut următoarele schimbate:
-Ulei, filtre
-Distribuție
-Ferodouri, cilindrii,kit arculete
-Brate complete fata/spate cu amortizoare
-Plăcuțe față
ATENȚIE
-Parbrizul urmează a fi schimbat
-MACARAUA FATA-PASAGER SI SPATE DEFECTE
Mașina, din punct de vedere tehnic, se prezintă foarte bine, nu bate absolut nimic la ea.
Din punct de vedere estetic, masina prezintă urme de uzura interior/exterior.
Țineți cont de faptul ca masina are aproximativ 23 de ani vechime.
Nu se accepta schimburi.
Nu se face vanzarea fără perfectarea actelor!
La cerere se pot da mai multe poze/video.
La vânzare, primiți si un set de 4 jante aliaj originale Skoda cu cauciucuri vara R16."
skoda,Octavia,8 890 €,1 985 cm³,184 CP,Diesel,Break,283 000 km,Alb,2014,Manuala,"Vând Skoda Octavia VRS
An: 2014
Km: 283.000
Motor: 2.0 TDI ~ 184cp
•• Lumini de zi cu led
•• Bi-xenon Adaptiv
•• Senzori de parcare
•• Follow me home
•• Senzori ploaie/lumini
•• Clima pe două zone
•• Încălzire în scaune
•• Scaune Semi piele Sport
•• Navi
•• Bluetooth/Aux/Usb
•• Pilot automat
•• Auto Hold
•• Etc.
Mașina rulează și arată foarte bine !
Toate schimburile efectuate la timp ! Fără probleme ascunse !
Pachet original VRS !
Accept unele variante ."
skoda,Octavia,2 800 €,1 798 cm³,160 CP,Benzina,Break,250 000 km,Maro / Bej,2010,Manuala,"Skoda Octavia -2010- euro5
Scaune incalzite
Senzori parcare fata spate
Senzori ploaie
Senzori lumina
Senzori presiune roti
Jante aliaj - anvelope de iarna
Dublu climatronic
Geamuri electrice fata spate
Oglinzi electrice si incalzite
Proiectoare ceata / cornering
Masina recent adusa in tara !!
Credit doar cu buletinul, fara adeverinta de venit.
Finantare rapida pentru : Persoane fizice/Juridice/Pfa/Întreprinderi individuale.
Avans 0% pana la 16.000 Euro pentru Persoane Fizice/Pfa/Întreprinderi individuale
Dobanda fixa de la 1% pe luna.
Avans 15% pentru Persoane Juridice / Dobanda fixa de la 4.5 %/an.
Se accepta veniturile din pensie, diurna si contractele din afara tarii.
Kilometraj certificat.**Descrierea autovehiculului este cu scop informativ.In cadrul acesteia pot interveni erori de tipar sau erori umane( optiuni , capacitate cilindrica , transmisie , etc)
**In baza seriei de sasiu se poate verifica lista exacta a dotarilor in reprezentantele marcii"
skoda,Octavia,15 000 €,2 000 cm³,150 CP,Diesel,Berlina,165 000 km,Negru,2022,Manuala,"Model: Skoda Octavia IV 2022
Motorizare: 2.0 TDI 150 CP
Transmisie: Manuala in 6+1 trepte
Rulaj: 165.000km Reali
Dotari:
-Faruri Full LED Skoda Crystal Lighting
-Stopuri Full LED
-Semnalizari dinamice
-Volan piele cu comenzi si încălzire
-Bord digital
-Moduri de condus
-Hands free
-Keyless Entry-Keyless Go
-Android Auto/Apple Carplay wireless
-Unitate multimedia cu touch screen
-Clima automata pe 2 zone
-Degivrare parbriz
-Tapiterie stofa
-Incalzire scaune
-Radio/AUX/Bluetooth
-Frana de mana electrica cu Auto hold
-Senzori lumina-ploaie
-Pilot automat inteligent ACC
-Faruri inteligente cu faza lunga automata
-Oglinzi rabatabile electric
-Franare de urgenta(Front Assist)
-Lane Assist(Mentinerea Benzii)
-Senzori parcare fata-spate
-Senzori Presiune Roti
-Jante aliaj R17
-Cauciucuri de iarna noi Michelin 205/55
-2 chei
-Etc Etc
Pret.15000€ neg
Tel: +33642894271 .... 07******03"
skoda,Octavia,5 650 €,1 968 cm³,170 CP,Diesel,Berlina,281 200 km,Albastru,2008,Manuala,"Skoda Octavia II RS De Fabrica An fabricatie 2008 Curat 2.0 tdi BMN 170cp cutie 6+1 Manual
Proprietar de aprx 3 ani , timp in care am intretinut exemplar masina atat interior , exterior cat si legat de partea mecanica , revizii la timp plus intretinere cu piese de calitate .
Nu a suferit nici un eveniment rutier .
Absolut toate dotarile sunt functionale , jantele sunt pe 18 , navigatie aftermarket , scaunele sport rs cu incalzire , dublu climatronic , pilot automat , faruri xenon ,maxidot , geamuri , oglinzi electrice , cotiera etc..
Mai multe detalii la telefon , seria VIN pentru verificat este in descriere."
skoda,RAPID,5 300 lei,1 600 cm³,105 CP,Diesel,Berlina,212 780 km,Alb,2014,Manuala,"Văd Skoda rapid 1.6 TDI din 2014
Mașina este personală am investit în ea următoarele :
Distribuție nouă la 200000 km
Schimb de ulei făcut recent  la 213000
Plafon luminat cu multe culori
Flanse și planetare noi
DPF a fost curățat de vechiul proprietar
Mașina are imperfecțiuni estetice conform vârstei pentru cei interesați o să trimit poze
Precizez ca am făcut bolt cu ea 2 luni, accept si schimbul cu o masina pe gaz / benzina pentru a face ride sharing prețul este negociabil accept orice test la mecanic .
Prețul este în euro 5300"
skoda,Superb,8 750 €,2 000 cm³,170 CP,Diesel,Break,249 000 km,Maro / Bej,2014,Automata,"Vând Skoda Superb
Motor de 2.0 Diesel 170 cai putere
Anul fabricației 2014. 05
Cutie automată
Tracțiune integrală 4x4
Culoare Maro închis
Mașina este fără greșeală !!
Fără elemente revopsit
Fără zgârieturi
Fără rugină
Interior foarte întreținut !
Mașina este recent adusă în țară
Țară de origine Germania
Numere de zoll valabile până 03.12 2025
Dotări:
Sirocou original cu telecomandă
Încălzire în scaune
Scaune electrice
Memorie în scaune
Oglinzi electrice încălzite
Bi-xenon
Spălătoare faruri
Volan piele
Comenzi volan
Pilot automat
Autohold
Senzori de parcare față-spate
Dublu climatronic
Cârlig de remorcare detașabil
Navigație originală
Jante originale Skoda R17 cu cauciucuri aproape noi 2024 (Bridgeston)
Pentru mai multe informații la telefon
Nu fac schimburi  !!!
Prețul este în euro !"
skoda,Superb,16 666 €,1 968 cm³,150 CP,Diesel,Break,199 999 km,Negru,2022,Automata,"Skoda Superb  Sport Line
230000km cu service doar la Skoda
2.0 Tdi
150cp
Fabricație 06/2022
Automat
Faruri led și Stopuri Led
Pilot Automat ACC Distronic
Asistență Menținere Bandă Line Assist
Keyless Go
Parbriz Încălzit
Parbriz Heliomat
Senzori Parcare față spate
Portbagaj Electric cu Soft Close
Jante aliaj R18
Scaune Încălzite
Bord Digital
Navigație Touchscreen
Fără Accident
2 Chei
Volan Model Nou
Istoric complet Skoda
Distribuție schimbată"
skoda,Octavia,11 950 €,1 998 cm³,150 CP,Diesel,Break,298 000 km,Alb,2020,Automata,"### Skoda Octavia III FL ###
*An Fabricație : 2020
*Motorizare : 2,0 TDI 150 CP
*Norma de Poluare :EURO 6
*Cutie de Viteze Automată 7+1 Tepte
*Padele Volan*
*298.000.KM
*Ofer VIN/Certificat Raport CarVertical
OPȚIUNI :
>Interior Piele Integral In Stare Perfecta
>Scaune Electrice cu Memorie
>Scaune Incalzite FATA-SPATE
>Navigatie Mare Color--Inclusiv Romania
>Faruri Matrix--Led Adaptiv
>ACC--Front Assist--Emergency Assist
>Camera Marsarier--Park Tronic
>Senzori Parcare cu Afisaj
>Senzori Presiune-Ploaie-Lumini
>Keyless GO==Pornire la Buton
>Keyless Entre==Inchidere-Deschidere Fara cheie
>Cluster Digital
>Auto Hold-Cruise Control
>Asistenta Plecare din Rampa
>Climatronic Trei Zone
>Lumini ambientale==Led Capitonaje Usi
>Sistem Navigatie Bluetooth(WLAN)==USB==AUX==CARD
>Volan Piele Multifunctional
>Oglinzi Electrice==Incalzite==Rabatabile
>Proiectoare Ceata cu Functie Cornering
>4XGeamuri electrice==Tenta Inchisa (Ionizate de Fabrica)
>Pachet Nichel-Crom Interior-Exterior
>Vopsea Originala 100%
>Jante Aliaj OEM R17==Impecabile
>Anvelope Vara-Dot 2023==Foarte Bune
>Import Recent Germania==Numere TOLL VALABILE
>Autoturismul Este In Stare Perfecta De Functionare
>Mai Multe Detalii Telefonic
>Pret Usor Negociabil"
skoda,Octavia,5 890 €,1 598 cm³,110 CP,Diesel,Break,259 000 km,Gri,2014,Manuala,"Skoda Octavia III GreenLine
1.6tdi 110cp
2014luna7
Euro5
Cutie manuala 6+1trepte
Navigație color inclusiv Ro
Conectare Bluetooth-redare audio/telefon/Usb/aux
4 Geamuri electrice
DubluClimatronic
Senzori parcare cu afișaj navi
Oglinzi electrice și încălzite
Oglinzi rabatabil electric
Cotiera fata spate
Jante aliaj cauciucuri bune
Carlig remorcare
Inchidere centralizata
2chei
Computer bord
Pilot automat
Volan piele reglabil
Comenzi volan
Lumini automate
Proiectoare ceata
Bari cromate
Masina merge si arata bine-necesita un polish
Import Olanda
5999euro
Tg.Neamt"
skoda,RAPID,6 750 €,1 390 cm³,122 CP,Benzina,Berlina,191 000 km,Verde,2013,Automata,"Skoda RAPID 2013 Sedan Benzină Automat DSG
6.750€ - posibilitate rate începând de la 7,9% dobândă pe lună, avans 0, aprobare rapidă doar cu buletinul. Rambursare anticipată fără dobândă.
Transport gratuit la domiciliu sau numere provizorii
Motorizare: 1.4 TSI 122CP (Benzină - Euro 5)
Cutie de viteze: automată DSG (7+1 viteze)
Culoare: Turcoaz
Prima înmatriculare: 12.2012 (2013 în serie)
Rulaj: 191.000km
Țară de proveniență: Germania
Dotări:
Climatronic cu afișaj digital
Încălzire în scaune
4 Geamuri electrice
Sistem navigație + multimedia (radio, cd, aux, usb)
Interior sport, bi-color negru și roșu
Oglinzi încălzite și reglabile electric
Comenzi audio si vocale pe volan
Cornering
Jante aliaj Skoda 17”
Senzori parcare cu afișaj digital
Bord computer
Sistem isofix
Geamuri cu tentă
Start/stop
Proiectoare ceață
Spalator faruri
+ alte dotări
Se poate prezenta autoturismul live, prin apel video pe Whatsapp.
Pentru mai multe poze accesați pagina noastră de facebook NGR Cars."
skoda,Superb,17 500 €,2 000 cm³,190 CP,Diesel,Berlina,220 100 km,Negru,2018,Automata,"SKODA SUPERB 2.0 190cp
LAURIN & KLEMENT
.
*Cutie automata DSG
*Trapa panoramica
*Distronic + urmareste si mentine distanta constanta fata de masina din fata ACC
*Lane Keep Assist - asistenta activa depasire banda cu repunere pe sensul de mers
*Side Assist - asistenta unghi mort
*Rear Assist - asistenta iesire din parcare cu spatele
*Front Assist - franeaza singura pt evitarea unei coliziuni frontale
*Cornering Light (faruri de ceata cu iluminare statica la virare)
*Faruri LED Adaptive
*LED-uri spate
*Dayling LED
*Parktronic fata / spate
*Park Assist - parcheaza singura
*Functie : Follow Me Home / Leaving Home
*Camera marsarier
*Keyless GO - pornire cu cheia in buzunar
*Keyless Entry - inchidere/deschidere masina cu amprenta pe manere
*Jante Aliaj Skoda + roata de rezerva originala
*Portbagaj actionat electric - soft close cu inchidere/deschidere din buton si cheie
*Parbriz heliomat cu tenta verzuie + incalzire in parbriz
.
*Interior Piele Laurin&Klement
*Incalzire + Ventilatie in scaune
*Navigatie Touchscreen
*Perdeluta electrica panorama
*Perdelute laterale + perdeluta luneta
*Incalzire in scaune fata
*Incalzire in scaune spate
*Scaune reglabile electric sofer + pasager
*Senzori ploaie
*Senzori lumini
*Perdelute spate
*Functie AutoHold pentru plecare de pe loc
*Proiectoare ceata
*ServoDirectie : reglabila in functie de viteza
*Dublu climatronic fata
*Clima spate
*ABS/ESP
*MP3
*AUX-IN
*Bluetooth Telefon
*Computer Bord color cu diverse functii
*Pilot Automat tempomat
*Volan Piele Sport, in 3 spite
*Oglinzi make-up în parasolare stânga / dreapta
*Oglinda interioare cu senzor antiorbire
*Oglinzi Electrice / Incalzite
*Oglinzi pliabile electric
*4xGeamuri Electrice
ACCEPTAM SCHIMBURI AUTO
MAȘINA DUMNEVOASTRA POATE CONSTITUI AVASUL PRIN SISTEM BUY-BACK
OFERIM VIDEO LA CERERE
KM TRECUȚI ÎN FACTUTA DE ACHIZIIE"
skoda,Octavia,5 700 €,1 968 cm³,140 CP,Diesel,Break,250 000 km,Gri,2013,Manuala,"Vând Skoda Octavia 2 Facelift
Import Germania
Stare tehnica si estetica excelenta
Informații generale:
An fabricație: 2013
Motorizare: 2.0 TDI, 140 CP
Capacitate cilindrica 1968cm
Normă de poluare: Euro 5
Proveniență: Germania
Dotări:
Închidere centralizată
Dublu climatronic
Încălzire în scaune
Comenzi pe volan
Navigație originală cd player
Bluetooth
Senzori de ploaie
Senzori de lumini
Oglinzi electrice și încălzite
Radio CD original
Patru geamuri electrice
Senzori de parcare față/spate
2 chei originale
Roti vara 225 45 17 stare foarte buna
Pentru mai multe detalii , la telefon"
skoda,Fabia,7 500 €,1 000 cm³,96 CP,Benzina,Break,27 598 km,Gri,2022,Manuala,"Skoda Fabia 2022 27.598 km avariat
- avariat conform foto
- airbag cortină si scaun șofer declansat
- masina parcurge orice distanță
- unic proprietar achiziționat din reprezentanta Skoda RO
- exclus variante schimburi sau oferte aberante
- documentatie fiscala în regula
- se facturează
- tva deductibil"
skoda,Fabia,2 290 €,1 198 cm³,85 CP,Benzina,Hatchback,203 000 km,Gri,2007,N/A,"Prețul Este In Euro
Recent Înmatriculată
Se Oferă Certificat Fiscal
Import Germania...
Dotări!
Geamuri Cu Acționare Electrică
Oglinzi Cu Reglaj Electric
Inchidere Centralizată Din Cheie
Pilot Automat
Proiectoare de Ceață
Cd_player
Cauciucuri De Iarnă M +S
Pentru Mai Multe Detalii Sunați"
skoda,Octavia,12 300 €,2 000 cm³,184 CP,Diesel,Berlina,206 000 km,Albastru,2015,Automata,"Vand sau schimb skoda octavia 2.0tdi 184cp DSG... 206.000km reali..proveniență Germania(tot eu am fost proprietar si acolo).Masina merge bine..nu necesita investiții...plăcute si discuri ventilate,perforate  fata/spate zimmerman.
Acuma masina este cu rotile negre  18 cu cauciucuri allseason Michelin crossclimate2 noi...ofer in pret si rotile pe 19 originale
Masina este full... Radar(pune singura frana daca apar obstacole)/Webasto/lane asist(ia curbele singura)/cruise control/park asist(parchează singura)/kanton/padele/încălzire in scaune electrice cu memorie/faruri adaptive...etc
Pentru mai multe detalii va stau la dispoziție,preț ușor negociabil...schimb cu t5/caddy maxi/vito...etc+diferența....doar de la proprietar."
