marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
suzuki,Grand Vitara,3 200 €,2 700 cm³,173 CP,Benzina,Off-road,318 000 km,Gri,2003,Automata,"De vânzare
•	Suzuki Grand Vitara XL 2.7 V6 benzină
173 CP, 4x4
•	A fost adusă recent din Germania
•	An fabricație 2003
•	Nu a fost solicitat număr roșu
•	Mașina este echipată și cu instalație GPL
•	Scaune încălzite
•	Scaune ventilate
•	Aer condiționat funcționează perfect
•	Cârlig de remorcare
•	4 geamuri electrice
•	Cutie de viteze automată
•	Geamuri fumurii
•	Jante din aluminiu cu anvelope de iarnă bune
•	Fără rugină
•	Preț: 3200€
•	Pentru detalii, scrieți în privat sau sunați la 07******82"
suzuki,Jimny,4 000 €,1 298 cm³,90 CP,Benzina,Off-road,200 000 km,Verde,2002,Manuala,"Suzuki Jimmy 2002
Pusa la punct ( fara rugină )
Stoc pe partea de rulare ( fara inaltari etc) dar întreținută si ținută din scurt.
Schimb ulei filtre omocinetica etc.
Folosită pentru overlanding ( off road ușor )
Ca îmbunătățiri are snorkel ( nu ca am folosit vreodată dar arată fumos)
E o varianta exotica cu hard top  dar efectul vara e senzație decapitata (minim 500 euro )
Troliu , sirocou si portbagaj custom ( doar asta a fost 300 euro)
Mergem in proba de drum și vedeți ce poate mititica !! O vând ca nu am cu cine sa ies pentru overlanding."
suzuki,Vitara,13 500 €,1 400 cm³,140 CP,Benzina,SUV,99 999 km,Albastru,2016,Manuala,"Suzuki Vitara IV 1.4 BOOSTERJET (140 CP) ALLGRIP
- primul proprietar, masina este cumparata din reprezentanta Suzuki Bucuresti
- istoric complet service cu toate reviziile si reparatiile facute in reteaua de service Suzuki Romania
- stare tehnica foarte buna / fara defecte mecanice /  mici imprefectiuni vizuale
- roata de rezerva dimensiuni reduse
- kit ambreiaj nou / baterie 12V noua
- tractiune integrala cu 2 moduri: SNOW/MUD sau SPORT si diferential central blocabil
- multiple dotari de confort ( a fost top de gama la momentul achizitiei ): servo electrica, AC automat,  scaune incalzite, faruri LED, oglinzi pliabile electric, reverse camera, senzori f/s, acces keyless, volan piele
- motorizare 1.4 benzina turbo, 140CP, cutie manuala cu 6 rapoarte
- 103.000 km - pot fi usor verificati
Masina a fost folosita in scop personal 60% urban / 40% extraurban doar pe drumuri asfaltate si nu a fost condusa in offroad .
www.auto-data.net/ro/suzuki-vitara-iv-1.4-boosterjet-140hp-allgrip-23257"
suzuki,SX4 S-Cross,6 900 €,1 400 cm³,130 CP,Hibrid,SUV,32 000 km,Gri,2023,Manuala,"Suzuki SX4 S-Cross 1.4 Hybrid
Unic proprietar achizitie Rom
Avariat dreapta conform foto
Motor cutie directie ok
Documentatie fiscala la zi 2 chei
Detalii la telefon"
suzuki,Vitara,14 500 €,998 cm³,112 CP,Benzina,SUV,75 000 km,Albastru,2019,Automata,"Proprietar, vând Suzuki Vitara cu urmatoarel specificatii:
Consum extrem de mic:4,2-4,5% extraurban. 4,7-5,3% combinat. 6,2-7% urban.
Prima înmatriculare 12.2019.
Suzuki Vitara 1.0/ 112 cp Boosterjet
Dotare nivel:Pasion / Cutie Automata
tractiune 4x2
Rulaj: 75000 km
Provenienta Romania
Pachet Pasion:
- ⁠volan piele cu padele si comenzi
- ⁠scaune cu incalzire
- ⁠navigatie
- ⁠sistem multimedia
- climatronic
- ⁠camera marsarier
- sisteme de avertizare, limitator / pilot automat ; monitorizare presiune în pneuri;
Carte service la zi doar la reprezentanță Suzuki!
Fără accident sau elemente revopsite.
ETC.
- ⁠jante aliaj cu anvelope vara
Stare perfecta!
Accept test reprezentanță!"
suzuki,Jimny,11 200 €,1 328 cm³,85 CP,GPL,SUV,120 000 km,Verde,2013,Manuala,"Suzuki Jimny 2013 – pre, păstrat f bine. Dacă vrei un Jimny care să te ducă oriunde ieftin, dar să fie și întreținut , ăsta e.
Caroseria și șasiul sunt in stare foarte buna, fără rugină, protejate și izolate.
În interior are insonorizare cu folie speciala, ca să fie confortabil și la drum lung. Sunt al doile propietar, o am de la 90 000 km, acum 3 ani, cand i-am si schimbat preventiv si distributia, lantul in cutia de transfer, si i-am pus un abreaj offroad Exedy (cam brutal).
Motorul merge impecabil și are acum un GPL Landi Renzo montat și omologat în 2025, încă în garanție – autonomie mare și costuri de rulare echivalente unui consum de 5 litrii benzina / 100 km.
Pentru stabilitate și gardă la sol, are suspensie noua înălțată, body lift, si bucșe excentrice de poliuretan pentru corectie unghi punte fata + amortizor de direcție plus cârlig remorcare cu priză 6 pini.
În ultimul an am schimbat multe piese  chiar daca nu a fost neaparat necesar : (omocinetica adica ce tine de directie, radiator nou de aluminiu, pompă apă, termostat, rulmenți roti față + spate+ bujii de iridiu. Uleiuri : in motor, in diferentiale, in cutie transfer si cutie de viteze, nu au ramas mai mult de 5000 km niciodata neschimbate, deci nu trebuie să bagi bani aici decat daca vrei sa o pastrezi la fel.
Iar pentru cei cărora le place negocierea si sunt pasionati de intrebarea ""care e ultimul pret"" le spun ca  mai primesc in pret :
Set de 4 roti de noroi cu anvelope MT cvasi noi.
Kit ambreiaj nou (în cutie) si un set de rulmenți roti de rezervă, de schimbat cand o fii cazul.
Cotieră demontabilă și bare portbagaj vizibile in poze, suspensia originala inlocuita  (arcuri si telescoape.)
scut de otel 4mm care acopera tot ce e pe dedesubt vulnerabil, pe care l am demontat ca nu fac offroad cu ea si ma incurca la servisat. Mentionez ca are niste mici zgarieturi acumulate in cei 12 ani de viata nefiind revopsita ""pentru vanzare""
Practic, primesti un Jimny echipat pentru off-road și călătorii, dar și foarte economic datorită GPL."
suzuki,Grand Vitara,7 000 €,2 000 cm³,140 CP,Benzina,Off-road,220 000 km,Gri,2008,Manuala,"Suzuki Grand Vitara, an fabricație , 4x4, motor 2.0 benzina + Gpl omologat
Dotari:
-instalatie Gpl Landi Renzo ,rezervor 50l
-scaune încălzite
-Keyless go/entry
-clima
-cârlig de remorcare
-geamuri electrice față/spate
-reductor mic/mare 4x4
-navigație android 6gb ram, camera fata-spate, difuzoare hertz DSK+insonorizare audio
-geamuri fumurii spate de fabrică
-jante R17+ anvelope Yokohama AT Geolander aproape noi
-suspensie Ironman +5cm montata anul trecut (detin factura)
-mecanica fata , discuri, uleiuri [grup fata-spate , cutie viteze si transefer] schimbate recent
-Led-uri Osram omologate RAR
-interior curat
-FARA RUGINA !
Se prezinta in stare tehnica si estetica impecabila, accept orice test"
suzuki,Jimny,6 700 €,N/A,N/A,Diesel,SUV,250 000 km,Negru,2007,Manuala,"De vânzare suzuki jimny diesel, an 2007,cauciucuri noi + cauciucuri off road suplimentare,vopsea raptor,suprainaltata 5 cm,portbagaj auto de plafon,schimb de ulei si filtre schimbate,kit ambreiaj+pompe schimbate,itp valabil,stare buna de funcționare,tracțiune 4x4 la mare si la mic,se dă in probe,pentru mai multe informații va rog sa sunați."
suzuki,Grand Vitara,4 690 €,1 598 cm³,106 CP,Benzina,SUV,190 000 km,Negru,2007,N/A,"Suzuki Grand Vitara 1.6 benzina recent adus in stare foarte buna, atat mecanic, cat si estetic.
-4x4
-clima
-distributie lant
-geamuri electrice
-carlig remorcare
-scaune incalzite
-jante aliaj cu cauciucuri CONTINENTAL
-etc
Fara variante. Fara numere rosii scoase. La cerere se ofera transport la domiciliu"
suzuki,Grand Vitara,4 499 €,2 000 cm³,109 CP,Diesel,Hatchback,219 000 km,Gri,2005,Manuala,"An fabricație 2005
Km 219000
Ofer fiscal pe loc L-V între orele 09-15
Interior piele ingrijit
Încălzire în scaune
Bord in doua culori cu inserții de mahon
Lumini automate la pornire
Închidere centralizata
Geamuri electrice fata spate
4x4 la maneta mic mare funcțional
Ac clima
Carlig remorcare
Doua rânduri de anvelope trecute în carte 215 65 R16 și 235 65 R16
Nu bate nu troncane
Nu are scurgeri de lichide"
