marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
tesla,Model 3,25 200 €,N/A,497 CP,Electric,Berlina,96 542 km,Albastru,2020,Automata,"Tesla Model 3 Long Range Dual Motor 497 Cp
Baterie de 75 KW,
An fabricatie 09.2020 , 96542 Km - in crestere
Full Self Driving 3
Conectivitate premium
Sistem audio premium
Scaune fata/spate incalzite
Interior foarte bine intretinut.
2 chei(cartele)
Ambele cabluri de incarcare originale
Istoric service Tesla
Garantie baterie si motoare
TVA inclus si deductibil
Mai multe detalii la telefon!"
tesla,Model 3,22 900 €,500 cm³,500 CP,Electric,Coupe,142 000 km,Gri,2020,Automata,"Tesla Model 3 Dual Motor
An 2019 decembrie
4x4
140.000 km
FSD 3
Conectivitatea premium
TVA deductibil
Pret 23200€ cu tva inclus.
Garantie baterie/ motor decembrie 2027 sau 192000 km.
Pilot automat FSD activ (platit ~ 7500€)
Navigare cu Autopilot
Schimbare automata a benzii
Parcare automata
Summon
Smart Sumon
Culoare Interior negru
Carlig tractare
Incarcator priza 220
Accept verificare service autoriza
Pentru mai multe detalii va rog sa ma contactati."
tesla,Model X,60 000 €,N/A,800 CP,Electric,SUV,72 500 km,Gri,2020,Automata,"Se vinde tesla model x- model 2020( raven upgrade) - performance Ludicrous . Ulterior acestui model au scos X Plaid.
Performantele sunt asemanatoare. 800 cai-1140 Nm .0-100 km/h  in doar 2.7 s
Masina se afla in stare exceptionala, toate programarile service fiind efectuate la service Tesla
Garanție a baterie si motoare pana in 2028
Garantia pe 4 ani a expirat anul trecut cand am inlocuit planetarele in baza garantiei
Anul acesta revizie efectuata inclusiv schimb capete de bara
Set roti de vara - 22 inch cu cauciucuri noi( vara 2025)
Set roti de iarna -20 inch
Masina este pe persoana juridica . Se preda atat cu preluare de leasing, 25000 euro cu leasing inca 35000 euro( 1200 euro rata lunara), cat si plata integrala daca nu se doreste preluarea de leasing -60000 euro
Interior alb/ 5 locuri.
Este o masina senzationala din toate punctele de vedere, comfort( suspensie pe perne), surround,  dotarile oferite de tesla cat si trenul de rulare, mers relaxat cat si la pedala grea."
tesla,Model 3,26 000 €,1 000 cm³,325 CP,Electric,Berlina,90 000 km,Alb,2023,N/A,Tesla model 3 anul 2023 stare aproape noua 90.000km  baterie de 60kwh autonomie intre 400-460km accept și variante
tesla,Model 3,23 900 €,N/A,490 CP,Electric,Berlina,90 658 km,N/A,2019,Automata,"Tesla Model 3 Dual Motor – Long Range AWD  | Autopilot | Premium
Mașina este înmatriculată în România.
An fabricație: 06.2019
Kilometraj: 90.658 km  / sanatatea bateriei este de 91.7 %
VIN: 5YJ3E7EB9KF262606
Țara proveniență: Olanda
Computer Autopilot: Full Self-Driving Computer 3
Autopilot: Activat
Conectivitate: Premium activă
Sistem audio: Premium
Raport CarVertical: Curat (fără daune ascunse)
Include set de cauciucuri de iarnă Hankook (an fabricație 2023)
Preț: 24.300 Euro (TVA inclus/deductibil)
2 chei/carduri
2 cabluri de încărcare (Type 2 + CCS)
Garanție baterie și motoare valabilă până în 06.2027 / 192.000 km
Mașina se prezintă într-o stare foarte bună, atât estetic cât și tehnic, fara arusuri sau zgarieturi pe tapiteria din piele.
A fost adusă personal din Olanda și a fost întreținută cu atenție."
tesla,Model 3,20 300 €,N/A,325 CP,Electric,Berlina,220 000 km,Alb,2023,Automata,"Dotări principale:
• Baterie 60kv - range 400km cu 100% baterie
• Sănătate baterie 93%
• Procesor AMD,model facelift(se mișcă de 20 ori mai repede ca intel.)
• Pompa de caldura(este modelul facelift nu confundați cu mașinile 2020)
• Portbagaj electric
• Incarcare wireless telefon
• Conectivitate Premium activă – gratuit
• Încălzire scaune față+ spate
• Geamuri duble , îmbunătățită semnificativ față de modelul sub 2021
• Faruri full led Matrix decupeaza pe faza lunga
• Sentry Mod
• Mașina nu necesită nicio investiție
Prețul este usor negociabil"
tesla,Model Y,Schimb,N/A,300 CP,Electric,SUV,31 500 km,Negru,2024,Automata,"Tesla y SR
19/05/2024
30500km in urcare se circula zilnic
Folie PPF bara fata capota faruri
Jante iarna suplimentar
Accept unele schimburiO767o67388
Încărcată 95/ acasă pfv
34000€. La variante preț dif"
tesla,Model 3,17 200 €,N/A,325 CP,Electric,Berlina,133 000 km,Albastru,2019,Automata,"Tesla Model 3 Standard Range Plus (RWD) – model 2020, culoare Deep Blue Metallic, în stare excelentă, atât tehnic cât și estetic.
133.000 km.
ITP valabil pana in noiembrie 2027
Am raport Carvertical
Motorizare 100% electrică - 325 CP
Baterie 55 kWh, autonomie reală - 320 km
Tracțiune spate, accelerație 0-100 km/h în 5,4 s
Încărcare AC (acasă, Type 2): până la 11 kW
Încărcare DC (Supercharger): până la 170 kW (CCS)
Garanție baterie + motor până la decembrie 2027
Autopilot / Self Driving Computer 3
Faruri Full LED + lumini de zi LED
Camere HD 360° + Mod Sentry (înregistrare video in parcare)
Scaune din piele, reglabile electric și încălzite (față + spate)
Volan din piele reglabil electric, cu comenzi
Plafon panoramic
Climatronic bi-zonă, senzori ploaie și lumină, Auto-Hold
Sistem audio Premium + Spotify / Netflix / YouTube / internet
Keyless Entry / Go
Geamuri fumurii omologate RAR + folie certificată
Oglinzi rabatabile, încălzite, heliomate
Jante aliaj 18”
Parasolar special pentru Model 3 Cadou
Încărcare & accesorii:
Cablu original Tesla 220V (încărcare lentă acasă)
Cablu Type 2 pentru stații publice sau wallbox casnic
Anvelope:
Set vară Michelin – ca noi
Set iarnă Pirelli – oferite cadou, stare foarte bună
Mașina este înmatriculată, pregătită de drum.
Prezintă doar urme minore de uzură, normale pentru rulaj.
Nu fac schimburi.
Mai multe detalii la telefon."
tesla,Model 3,27 000 €,1 000 cm³,500 CP,Electric,Coupe,127 000 km,Rosu,2022,Automata,"TESLA MODEL 3 Long Range 4x4
Facelift cu pompa de caldura
Interior Alb Premium
Culoare ultra Red
Haion actionat electric cu buton
TVA INCLUS si nedeductibil
Faricatie 2021 luna 12
GARANTIE TESLA PANA LA 192000KM SAU 2029
Adusa recent in Romania
- Auto Pilot
- SISTEM AUDIO PROFESIONAL
- CAMERA PARBRIZ ASSIST
- VOLAN REGLABIL ELECTRIC
- Scaune față/spate încălzite
- Navigație
- KEY LESS ENTRY AND GO
- Carlig remorcare
- LANNE ASSIST- TINE BANDA
- SIGHN ASSIST - Citeste indicatoarele rutiere
- LIGHT ASSIST - Camera Care Schimba Faza Lunga Automat
- Faruri led metrix
- PARK ASSIST* PDC FATA/SPATE Optical Display 360*.
-PARCARE ASISTATA LATERAL,CU SPATELE,OBLIC,ASISTARE PIETONI,CAMERE LATERALE STALPI SI ARIPI Pentru DEPASIRE
-Volan Sport Piele Multifunctional,ELECTRIC
-Oglinzi Incalzite-Electrice-Heliomate,
-Pliabile electric
-Geamuri Electrice
-Senzori presiune roti
-2 CARTELE
-2 CABLURI ÎNCĂRCARE
Mai multe detalii la telefon."
tesla,Model 3,23 499 €,N/A,441 CP,Electric,Berlina,119 000 km,Rosu,2018,Automata,"Detalii mașină:
•	An fabricație: 12/2018
•	Kilometraj: 119.000 km
•	Versiune: Long Range Dual Motor – 4x4
•	Putere: 441 CP
•	Accelerație: 0–100 km/h — 4,4 secunde
•	Culoare: Roșu (premium)
•	Unic proprietar – mașină importată și întreținută cu atenție
•	Serie VIN: 5YJ3E1EB0JF119927
Dotări & Extra-opțiuni:
•	Funcția Summon – poți controla și deplasa mașina direct din aplicația Tesla, inclusiv pentru chemare automată.
•	Conectivitate premium pe viață – muzică, internet, actualizări, navigație avansată.
•	Video in Motion – acces la YouTube, Netflix, Prime Video și alte aplicații chiar și în mers.
•	Precondiționare baterie inteligentă – încălzire fără a seta un Supercharger în navigație.
•	Folie spate + lunetă omologată RAR
Motivul vanzarii: Mașina este în posesia mea de un an și se vinde doar pentru că am în plan achiziția unui model mai nou.
Pentru detalii suplimentare sau informații adiționale, vă rog să mă contactați.
Nu fac schimburi!"
