marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
toyota,Land Cruiser,30 000 €,4 200 cm³,N/A,Diesel,Off-road,N/A,Gri,1990,Manuala,Toyota Land Cruiser Hdj 80 an 1990 mai multe detalii la telefon
toyota,Prius,5 000 €,1 800 cm³,N/A,Hibrid,Coupe,246 000 km,Alb,2011,Automata,De vânzare Toyota Prius 1.8 Hibrid an 2011 in starea foarte bună. Nu schimburi
toyota,Land Cruiser,8 500 €,3 000 cm³,170 CP,Diesel,Off-road,390 000 km,Gri,2003,Automata,Adus de o zii din Ollanda nr valabile încă 12 zile interior curat cauciucuri nou nouțe toate 4 motor cutie viteze automată perfecte 3 chei originale km originali 390000 km geam oglinzi centralizare electrice pilot automat navigație Climatronic 4x4 scaune piele încălzite este 2003 curat are motor 3000 cm este utilitară cu două locuri taxa mică la impozit vopsea originală proiectoare ceață cârlig remorcare mai multe detalii la tel !!
toyota,Hilux,11 499 €,2 999 cm³,171 CP,Diesel,Pickup,307 000 km,Negru,2010,Automata,"Toyota Hilux 3.0 D-4D 171CP - cutie automată
Masina personala, nefolosita la offroad,primul proprietar in Romania. NU sunt samsar.
• Tractiune integrala (2H/4H/4L)
• Pilot automat
• Comenzi volan
• Aer conditionat
• Geamuri electrice
• Radio CD
• Vopsea raptor
Funcționează in parametrii normali, motor si cutie fără probleme, toate reviziile la zi cu istoric . Ruleaza bine, an 2010, inmatriculata autoutilitara . Fiscal pe loc.
Nu doresc schimburi ! ( NU L200/ Navara/ Amarok/ Ranger
Va rog sa nu deranjati inutil !  Pt alte informatii raspund si la mesaje pe OLX si la nr. de telefon afisat"
toyota,Land Cruiser,6 350 €,2 990 cm³,N/A,Diesel,SUV,340 000 km,Albastru,2000,Manuala,"Toyota Land Cruiser
An fabricatie:2000
Motor 3.0l diesel
Cutie viteze manuala 5+1
4 x 4
7 locuri
Aer conditionat functional
Tinichigerie facuta de curand
Sasiu terosonat
Stare tehnica,estetica si functionala doarte buna
Accept variante 6800E +/- diferenta"
toyota,RAV-4,2 500 €,1 995 cm³,116 CP,Diesel,SUV,295 000 km,Gri,2002,Manuala,"Toyota RAV4, an fabricație 2002, o mașină solidă, care iși face treaba. Motorul pornește perfect, nu are probleme tehnice majore și oferă o experiență de condus plăcută atât în oraș, cât și pe drumuri mai dificile."
toyota,Aygo,4 500 €,998 cm³,70 CP,Benzina,Hatchback,76 000 km,Negru,2018,Manuala,"Toyota Aygo 2018
1.0 benzina 70cp
manuala"
toyota,Prius,8 490 €,1 798 cm³,136 CP,Hibrid,Hatchback,231 523 km,Albastru,2009,Automata,"Vând Toyota Prius 3 Hybrid 2009 (electric+benzină), 136CP, cutie automată - consum redus, ideală pentru oraș și drumuri lungi.
Mașina este foarte întreținută, funcționează perfect, are ITP valabil și toate actele la zi.
Sunt primul proprietar în România, kilometrajul real este 231.523km.
În octombrie 2024, la 227.000km s-au efectuat următoarele: recondiționare baterie hibrid, schimb pompă apă, curățare EGR, revizie completă, inclusiv schimb ulei la cutia de viteze, operațiuni ce au costat peste 1.500€.
Dețin tot istoricul de service (carte +RDW Olanda).
Mai jos principalele opțiuni:
- 4 moduri de condus: Normal, EV, Eco, Power
- cutie automată
- climatronic
- geamuri electrice față și spate
- keyless entry, keyless go
- HUD (head-up display)
- pilot automat
- comenzi volan
- bluetooth
- sistem audio original
- senzori ploaie
- oglinzi electrice și încălzite
- oglindă retrovizoare senzor antiorbire
- jante aliaj 17"" cu anvelope iarnă Pirelli sottozero
- faruri cu lupă
- etc.
Mașina se poate vedea in Popești-Leordeni / București (sectoarele 3,4)."
toyota,Celica,6 000 €,1 789 cm³,143 CP,Benzina,Coupe,229 000 km,Rosu,2001,Manuala,"Toyota Celica custom, bara față originală cu lip Ms design, praguri unicat, bară spate originală cu lip TRD, motorul refăcut acum 6.000 de km, ambreiaj nou, interior piele, arcuri sport Eibach, jante BBS originale pe 17, radio Sony Bluetooth, Bass Alpine 300, o clasica fără rugină. Nu necesită nici o investiție."
toyota,RAV-4,25 800 €,2 487 cm³,218 CP,Hibrid,SUV,99 000 km,Albastru,2021,Automata,"Toyota RAV4 2.5 Hybrid 2x4 Dynamic / 99.000 km / Full LED / Distronic / Istoric complet Toyota
- An fabricație: 2021
- Motorizare: 2.5 Hybrid benzină-electric – 218 CP
- Tracțiune: 2x4 (tracțiune față)
- Transmisie: Automată eCVT
- Kilometraj: 99.000 km
- VIN: JTMW23FV10D072830
- Istoric complet în rețeaua Toyota
- Carte service + revizii la zi
- Garanție baterie hibrid până în 2031
- Garanție motor + transmisie
- Accept orice test (service sau reprezentanță)
- Autoturism inmatriculat (RAR efectuat)
- Consum 5%
Dotări principale:
- Faruri & stopuri FULL LED
- DRCC – Cruise control adaptiv (Distronic)
- PCS – Asistent pre-coliziune
- LTA – Menținere bandă
- RSA – Recunoaștere semne de circulație
- PKSB – Asistență frânare la parcare
- AHB – Comutare automată fază lungă/scurtă
- Moduri de condus (Eco / Normal / Sport)
- Climatizare automată pe 2 zone
- Haion electric
- Sistem keyless: acces & pornire fără cheie
- Jante aliaj – stare impecabilă
- Oglinzi electrice, încălzite și rabatabile
- Senzori ploaie, lumină și presiune pneuri
- Conectivitate Apple CarPlay & Android Auto
Achizitionata din reprezentanță Toyota"
toyota,Land Cruiser,8 900 €,2 446 cm³,90 CP,Diesel,Off-road,198 500 km,Rosu,1991,Manuala,"Vand Toyota Land Cruiser J70, an fabricatie 1991, km 198.500
90 CP
Achizitionata in dec 2023 din Franta, inmatriculata in 07.2024 ca si autoturism, utilizata exclusiv la vanatoare.
Masina se prezinta f bine pentru anii ei, partea mecanica si motorul functioneaza perfect (porneste la sfert de cheie, motorul nu scoate fum, cutia schimba f bine), vopsita partial raptor, interior intretinut
In 02.2024 s-au schimbat  tot ceea ce inseamna partea mecanica - kit omocinetica, capete bare stanga/dreapta pe ambele bari de directie, cruci cardan fata/spate, bucsi tendoane fata/spate/ stanga/dreapta, simering grup spate placute frana fata, bucsi bara stabilizatoare, bielete antiruliu, cap planetara fata stanga/dreapta, ulei grup fata/spate, ulei cutie viteze, ulei cutie transfer, schimbat conducta frana, reconditionat caseta de directie, schimbat bujii si inlocuit releu, reconditionat contact, reglat directia.
In septembrie 2024 s-au schimbat uleiul motor, filtrele, distributia si simering fata.
Pentru toate investitiile detin devize de reparatie.
Inaltata 5 cm, cauciucuri BF Goodrige AT, 31/10.5/ R15 in stare f buna
Masina a circulat maxim 2500 km de la inmatriculare
Se vinde pentru ca nu se foloseste la adevarata ei valoare
Multumesc
George"
