marca,model,pret,capacitate motor,putere,combustibil,caroserie,rulaj,culoare,an fabricatie,cutie viteza,descriere
volvo,V60,10 600 €,2 400 cm³,190 CP,Diesel,SUV,268 000 km,Negru,2015,Automata,"Volvo V60 Cross Country - AWD!
Motor 2.4 Diesel - 190 Hp!
An fabricatie - 2015!
Kilometri reali: 268000! Cu dovezi care certifica asta!
Dotari:
- Tractiune AWD (4X4)
- Scaune cu memorie
- Faruri bixenon adaptive
- Collision warning
- Padele volan
- Comenzi volan
- Pilot automat
- Bord electronic 3 moduri
- Asistenta coborare panta
- Masina arata si merge foarte bine!
Inmatriculat 2025!"
volvo,XC 90,21 700 €,1 989 cm³,225 CP,Diesel,SUV,244 000 km,Negru,2016,Automata,"Volvo XC90 2.0d 4X4 AWD - INSCRIPTION !  Achizitionata in 28.08.2025 de la Reprezentanta Volvo Flensburg ! - Fab 12.2015 - Mod 2016 !   -7 Locuri !
-Euro 6 fara Adblue
-Motorizare 2.0 D5 - 225 CP 4x4 AWD !
-Cutie viteze automata Geartronic 8+1 rapoarte
-Istoric service la zi si KM certificați în factura de achiziție și de vânzare către DVS!
>Garantie 12 Luni fara likita de km !
Posibilitate credit persoane fizice cu avans 0 , creditul se aproba pe loc!
Posibilitate Leasing BT leasing,Porsche Leasing
Nu comparati acest autoturism cu alte masini fara istoric service cu km modificati sau cu accidente
Oferim garantie scrisa pentru km (Pentru verificare oferim seria sasiu). -
-Echipare full option Inscription :
- Motorizare 1998 cc - 167 KW/225 CP / 460 nm
-Kit Distributie schimbat la 158000 km !
- 244900 km - Fiecare revizie efectuata la timp si numai in reprezentanta Volvo !
-Carlig remorcare
- Head Up Display
-Jante Aliaj 21 Inch cu anvelope vara noi !
- Sistem audio Hifi
-Incalzire pt scaune fata + Incalzire in Volan !
-Bancheta spate cu incalzire
-Blind Spot - Active Side assist - BLIS
- Distronic Plus - Adaptive Cruise Control !
-Active Lane Asist Keeping !
-Portbagaj cu actionare electrica
- Suspensie clasica pe arcuri
- Active pedestrian protection
-Active park exit system
-Traffic sign recognition
-Carlig remorcare electric original
- Faruri Led Performance Thor Lights - adaptive plus lumini de zi !
- Proiectoare ceata + Functie Cornering si Coming Home
- Culoare Exterior Black Pearl
Effect
- Cutie Viteze automata 8+1 rapoarte Geartronic!
- Sistem alarma cu senzor perimetru
- Bord complet digital- Volvo Active Infotainment Display !
- Camere 360 grade + Camera spate + fata pt indicatoare rutiere si pt iluminat inteligent .
- Assistent Plus - Senzor oboseala
- Pre Safe System + Asistenta la franare
- Pachet lumini ambientale interior + Exterior
- Scaune Comfort Dinamice + Suport lombar
- Pachet memorii scaune fata + reglaje complet electrice. .
- Tapiserie Piele Valcona Brown !
-Climatizare 2 zone Volvo Cleanzone Ionic Climate !
- Volan incalzit , imbracat in piele si multifunctional
-Volvo On Call !
- Comenzi vocale pt functiile masinii
- Pachet Multimedia complet - Navigatie + Linguatronic - Hard intern - USB - MP3
- Oglinda interioara cu Compass
- Geamuri Privacy Glass
- Senzori parcare fata + spate + Camera spate si park pilot !
- Oglinzi pliabile electric , Electrocromate si incalzite !
Accept orice verificare! Pretul este negociabil in limita bunului simt !"
volvo,S40,8 000 lei,N/A,109 CP,Benzina,Berlina,164 800 km,Albastru,2003,Manuala,"Volvo S40, benzina 1.6, 109 cp, 2003
Proprietar, fiscal pe loc
Dotari:
- Clima automata functionala
- Scaune fata incalzite, reglabile pe 4 directii si suport lombar (ambele)
- Inchidere centralizata
- Volan reglabil pe inaltime
- Geamuri electrice
- Oglinzi reglabile electric
- Faruri reglabile electric pe inaltime
Recent schimbate:
- amortizoare fata + flanse
- bielete de directie
- bielete antiruliu
- discuri si placute de frana
- bucse timonerie
- senzor habitaclu clima
- anvelope iarna Nokian noi
Masina a fost achizitionata anul trecut ca prima masina pentru baiatul meu.
Motorul si cutia functioneaza impecabil, nu are scurgeri nu consuma ulei.
Scaunele sunt super confortabile avand chiar si un reglaj pentru sustinerea picioarelor."
volvo,XC 90,24 999 €,1 986 cm³,235 CP,Diesel,SUV,182 000 km,Albastru,2018,Automata,"La pretul afisat se ofera garantie 12 luni !
Se emite factura
POSIBILITATE CREDITARE PERSOANE FIZICE INDIFERENT DE VENIT; SE ACCEPTA VENITURI EXTERNE SI DIURNE, CU AVANS MINIM 0 PE O PERIOADA MAXIMA DE 5 ANI
LISTA OPTIUNI:
motorizare 2.0 diesel 235 cai
Transmisie integrala 4x4
Cutie viteze automata 8 Trepte
Tapiterie piele integrala
Trapa electrica panoramica
Climatronic 4 zone
Volvo Sensus Connect cu ecran 9"" touchscreen
Navi mare 3D
Keyless GO
Keyless Entry
Asistenta urcare/coborare panta
Asistenta faza lunga
Asistenta coliziune cu franare de urgenta
Asistenta unghi mort
Pilot Automat Adaptiv
Suspensie adaptiva
Limitator viteza
Lane Assist
City Safety System
Hill Descent Control
Pachet Crom exterior
Insertii Lemn nuc
Park Assist Pilot
InteliSafe Assist
InteliSafe Surround Sound
Scaune fata Comfort, incalzite, full electrice cu memorii si reglaje pe 12 directii
Suport lombar electric
Volan piele electric cu memorie, multifunctional cu comenzi
Haion electric
Sistem sonorizare profesional VOLVO
Conexiune Bluetooth + AUX + USB
Apple Carplay/Android Auto
Senzori parcare fata + spate
Camera  spate
Senzori ploaie
Senzori lumina
Senzori presiune roti
Oglinzi electrice, incalzite rabatabile electric
Faruri FULL LED Active High Beam
Stopuri LED
Lumini de zi LED
Lumini interioare LED
Jante aliaj usor 20"" cu anvelope vara
MRL PREMIUM AUTO SRL depune eforturile necesare pentru ca informaţiile oferite în anunţurile postate să fie corecte şi actuale. MRL PREMIUM AUTO SRL nu isi asuma raspunderea pentru eventualele erori neintentionate sau accidentale, omisiuni sau inexactitati cu referire la specificatiile auto, acestea neputand genera obligatii ferme pentru vanzator, cumparatorul/utilizatorul fiind pe deplin responsabil pentru utilizarea informatiilor si are obligatia de a se asigura de corectitudinea acestora"
volvo,V60,4 950 €,1 600 cm³,130 CP,Diesel,Break,280 000 km,Negru,2013,Manuala,"Volvo V60 an fabricație 2013,interior piele,280.000 km, diesel, manuala, ITP valabil luna 10 2026! Senzori parcare, oglinzi electrice , mașina nu prezintă zgârieturi și merge foarte bine, arata exact că în poze!"
volvo,XC 60,10 490 €,2 400 cm³,N/A,Diesel,SUV,260 200 km,Gri,2012,Automata,"Vă rog să citiți cu atenție tot anunțul
Proprietar persoană fizică
Unic proprietar în România
Achiziționat în 2019
Mașină de familie,întreținută corespunzător și utilizată zilnic
Fără nici un fel de problemă tehnică
Toate schimburile și actele sunt la zi!
NU ACCEPT VARIANTE/SCHIMBURI
Volvo XC 60 R-Design
An fabricație 2012
Motorizare 2.4 Diesel 163 CP
260000 kilometrii
4x4 permanent
Cutie de viteze automată
Plafon panoramic
Faruri Xenon + Spălător
Navigație mare originală Volvo
Volan din piele multifuncțional
Pilot automat
Lumini de zi LED
Stopuri LED
Scaune din piele
Scaune cu reglaj electric+memorii
Bancheta cu înălțător pt copii
Senzori de parcare
Camera marșarier
Senzori de ploaie(pornirea automată a ștergătoarelor pe timpul ploii și ajustarea automată a vitezei lor)
Senzori de lumini(pornirea automată a luminilor la lăsarea întunericului sau intrarea în garaje și parcări subterane)
Geamuri electrice față și spate
Geamuri spate cu tentă,Privacy Glass,fumurii de fabrică
Portbagaj cu acționare electrică
2 chei
Cârlig remorcare
Jante aluminiu originale Volvo echipate cu cauciucuri de vară
BONUS:jante aluminiu echipate cu cauciucuri de iarnă!
Motor,Cutie,Turbo,Bucșe,Articulații în stare foarte bună
Nu are bătăi la direcție
Nu scoate fum(filtru de particule activ)"
volvo,XC 60,12 299 €,2 000 cm³,190 CP,Diesel,SUV,227 000 km,N/A,2016,Automata,"Volvo XC60 D4 2.0 Diesel An 2016
Preț 12.300€
07******02
Se accepta schimburi sau buy-back(vii cu masina ta veche si pleci cu masina dorita)
Posibilitate RATE FARA AVANS, doar cu BULETINUL prin intermediul TBI BANK
-Finantare pana la 60 de luni
-Rate fixe
-Dobanda mica
-Fara adeverinta de venit ( doar cu buletinul)
Detalii auto:
Volvo XC 60 D4
An fabricație 2016
Motor 2.0 Diesel
Putere 190 cai
Cutie Automata
Bord Digital
Navigatie Mare
Mod Eco +
Interior Textil Negru Foarte Bine Ingrijit
Senzori de parcare
Lumini Automate
Comenzi pe volan
Anvelope noi
Masina arata si functioneaza impecabil 10/10
Se accepta orice test sau proba
Recent importata din Italia
Se ofera transport la domiciliul clientului oriunde in Romania
07******02
Preț 12.300€"
volvo,XC 90,22 990 €,2 000 cm³,235 CP,Diesel,SUV,199 000 km,Alb,2016,Automata,"VOLVO XC90~ 2.0 AWD~(4X4)~Diesel 235 CP~D5~R-Design ~ (dotari de varf)
~7 LOCURI
Adusa recent din Germania pe roti!
Distributie schimbata!!
An fabricație: 2016
-Preț:22.990  Euro Negociabil!!
Are un singur proprietar!
DOTARI:
#CULOARE DEOSEBITA ALB CRYSTAL
~7 LOCURI
~Head up display
~Key let entry (deschidere/blocare cu cheia in buzunar)
~ key let go (pornire/oprire cu cheia in buzunar)
~SOFT CLOSE PORTBAGAJ
~PILOT ASSIST
~PACHET R-Design
~ PANORAMA+PLAFON NEGRU
~AUTOMATIK + MOD SPORT
~DRIVE MODE (MODURI DE CONDUS)
~CULOARE DEOSEBITA Negru perlat!!
~LINE ASSSIT (avertizare la încălcarea benzi)
~DRIVER ALERT > (sistem avertizare in caz de oboseala la volan)
~ACTIVE MAIN BEAM > (camera asistenta faza lunga)
~ACTIVE BENDING LIGHT > (farurile urmaresc banda de rulare pe timp de noapte)
~City Safety > (franare automata la obstacole sub 30km)
~ESC SPORT MODE > (sistem de control electronic al stabilitati)
~ROAD SIGN INFORMATION > (camera detectare semne de circulatie
~DISTRONIC( păstrează distanta indiferent de obstacol)
~SCAUNE SPORT PIELE NAPPA CONIAC (ELECTRICE+INCALZITE+)
~VOLAN SPORT
~HILL START ASSIST > (asisitenta la pornirea in panta)
~SONORIZARE PROFESIONALA VOLVO PERFORMANCE
~START\STOP LA SEMAFOR
~FARURI Matrix +LED fata spate!
~CEASURI BORD Virtual cokpit
~LUMINI DE ZI DAYLIGHT LED
~MULTIMEDIA,INTERNET,WIFI,IPOD,HDD,USB, AUX, BLUETOOTH,VIDEO
~APPLE CAR PLAY
~DUBLU CLIMATRONIC CU AFISAJ PE DISPLAY
~CORNERING LIGHT
~PILOT AUTOMAT
~OGLINZI HELIOMATE PLIABILE LA BUTON + CHEIE
~SENZORI > (ploaie + lumina + pneuri)
~PARBRIZ INCALZIT
~PAKET CHROM EXTERIOR
~PRIVICY GLASS (geamuri fumurii din fabrica)
~Frana electrica la buton
~Sistem prindere scaune ISO Fix
~2 CHEI
~Km reali!!!
~ACCEPT TEST AUTORIZAT !!!
~JANTE ALIAJ ORIGINALE VOLVO 20’ cu cauciucuri aproape noi DUNLOP
~NU ACCEPT SCHIMBURI!!!
~Accept orice test la reprezentanta VOLVO sau orice service autorizat!"
volvo,XC 60,7 490 €,2 400 cm³,163 CP,Diesel,SUV,184 000 km,Alta culoare,2010,Automata,"Volvo XC60 2.4 D, 2010
Kilometraj:184.000 km (reali, verificați)
Motor: 2.4 Diesel, 163 CP (5 cilindri) - motor Volvo original
Cutie de viteze: Automată
Vin: YV1DZ7240A2098484
Impozit: 700 lei/an
Dotări complete:
- Cutie automată
- Sistem navigație cu hărți Europa
- Climatronic pe două zone
- Tapițerie piele în stare excelentă
- Computer de bord multifuncțional
- Sistem City Safety (franare automată de urgență)
- Asistență menținere bandă de rulare
- 10 airbag-uri
- Senzori ploaie și lumină automată
- Cruise Control
- Jante Volvo originale 18"" cu anvelope noi
- Sistem de iluminare LED (poziții față/spate)
- ABS/ESP
- Isofix pentru scaune copii
- Geamuri electrice pe toate ușile
- Oglinzi laterale electrice și retractabile
- Oglindă retrovizoare electrocromă (anti-orbire)
- Închidere centralizată cu telecomandă
- Volan reglabil în înălțime și adâncime
- Comenzi pe volan
- Frână de mână electrică
- Sistem audio cu USB, Bluetooth și auxiliar
- Asistență la urcare și coborâre pe pante
- Pachet exterior crom
- Geamuri fumurii
- Senzori de parcare spate
- Sistem Start/Stop
- Faruri automate
Istoric și stare:
- Mașină întreținută conform recomandărilor producătorului
- Revizii efectuate la timp
- Verificată în service autorizat
- Spălată și dezinfectată interior/exterior
Finanțare prin TBI Bank:
- Rata fixă de la 7.9% pe toată perioada
- Persoane fizice (vârstă minimă 20 ani, vechime minimă 6 luni în muncă)
- Acceptă și persoane cu istoric negativ (dacă datoriile sunt achitate)
- Contracte de muncă din străinătate (fluturași de salariu traduse)
- Venituri din diurnă acceptate
- Pensionari (vârstă maximă 75 ani)
- Persoane juridice (SRL, PFA)
Beneficii finanțare:
- Rata fixă - nu se modifică pe durata creditului
- Posibilitate achitare anticipată fără penalități
- Aprobare rapidă online
Proces de cumpărare simplu:
- Test drive în Bacău
- Verificare tehnică în prezența cumpărătorului
- Documente rezolvate în maxim 2 ore
- Livrare la domiciliu disponibilă
Contact:
Telefon:
WhatsApp:poze/video la cerere
Mașinile noastre sunt testate profesional și pregătite pentru drum!
Preț:[7490]
*Anunțul poate conține mici diferențe față de starea reală a mașinii - vă invităm la verificare în persoanăl!*"
volvo,XC 60,16 990 €,2 000 cm³,190 CP,Diesel,SUV,207 000 km,Gri,2017,Automata,"Provoauto Dealer Auto De Top In Romania
Oferim Posibilitatea De Garantie Auto 1–3 Ani
Oferim Livrare Gratuita La  Domiciliul Clientului
Toate Masinile Noastre Sunt Testate-Verificate
Posibilitate De Finantare -Rate Persoane Fizice
Posibilitate De Leasing Auto Persoane  Juridice
_
Volvo XC-60 I D4 Grand Suv Pack Summum
–
Data Inmatricularii 2017/07 Culoare Gri Metalizat
Motor 2.0D-190CP Cutie De Viteza Automata 7+1
207.000Km Garantati Si Justificati Reteaua Volvo
–
Optiuni Importante:
Bord Computer Partial Digital Tehnologie 3D
Geamuri Ajustabile Electrice Fata Si In Spate
Oglinzi Ajustabile Electric Fata Si Rabatabile
Sensori De Parcare Fata Si  Spate Cu Afisaj
Climatronic Automat Bizonal Reglabil Buton
Faruri Cu Bi-Xenon Adaptiv Inteligent Auto
Faruri De Zi Cu Led Si Stopuri Spate Cu Led
Faruri Automate-Parbriz Senzori De Ploaie
Incalzire In Scaune Fata Reglabile La Buton
Scaune Electrice Fata Cu Memori Reglabile
Jante Originale Volvo Pack Summum R-18
Dublu Panoramic Ajustabil Electric Cu Perdea
Camera Video Back Parking Cu Afisaj Video
Cotiera Confort Condus Fata Si Cotiera Spate
Sisteme De Siguranta De Avertizare-Siguranta
Interior Deosebit Fotolii  Piele Pack Summum
Volan Pack Din Piele Cu Multiple Comenzi Auto
Frana De Mana Ajustabila Electrica Automat
Sistem Audio Original Performant Volvo Audio
Pilot Automat-Regulator Viteza Si Limitator
Gps Navigatie Cu Digitalizare-Tehnologie  3D
Gps Navigatie Cu Conectare Bluetooth Telefon"
